Id,EffectType,EffectParam,EffectGrowth1,EffectGrowth2,PointCount
1001,74,,,,
1002,74,,,,
1003,74,,,,
1004,55,,,,
1004,99,"10000, 10000",,,
1005,55,,,,
1005,99,"10000, 10000",,,
1006,74,,,,
1011,74,,,,
10111,74,,,,
10122,62,"-4000,-5000",1,1,
11211,48,"5000,7000",,,
112124,76,,,,
112125,1,"-27,-5764",1.3,1,
112126,76,,,,
11213,127,"3000,5000",1,1,
11213,23,"4000,6000",1.3,1,
11213,24,"4000,6000",1.3,1,
11221,21,"-100,-5150",1.3,1,
11222,74,,,,
112231,104,"3,3",1,1,
112231,7,"300,600",1,1,
11231,31,"-3500,-5000",1,1,
11232,74,,,,
112331,7,"2000,3000",1,1,
112332,27,"4500,6500",1,1,
11242,62,"-2000,-5000",1,1,
11243,103,"400,400",1,1,
11243,3,"3000,5000",1.4,1,
11243,29,"233,5317",1.5,1,
11244,10,"260,14138",1.5,1,
11244,33,"500,1000",1,1,
11244,34,"500,1000",1,1,
11251,44,"12,3016,100,100",1.3,1,
112531,65,"-5000,-2000",1,1,
112531,133,"1000,2000",1,1,
11261,74,,,,
11262,46,"582,34632,1500,2500",1.35,1,
12211,48,"3000,3000",,,
12212,136,"-5000,-5000",1,1,
122131,55,,,,
122132,62,"3000,5000",1,1,
12221,62,"-2000,-4000",1,1,
122231,1,"331,18725",1.5,1,
122231,2,"331,18725",1.5,1,
122231,21,"331,18725",1.5,1,
122231,22,"331,18725",1.5,1,
122241,14,"700,1500",1,1,
122241,9,"1000,2500",1,1,
12231,23,"-1500,-2500",1,1,
12231,24,"-1500,-2500",1,1,
12231,7,"-2000,-3500",1,1,
12231,62,"-5000,-8000",1,1,
12232,74,,,,
12233,7,"2000,4000",1,1,
12233,62,"3000,4500",1,1,
12233,52,"10,100",1,1,
12241,14,"100,2080",1,1,
12242,23,"-500,-1500",1,1,
122431,10,"346,26720",1.5,1,
122441,62,"3500,5000",1,1,
122441,7,"1000,3000",1,1,
12251,62,"-4000,-7000",1,1,
12252,62,"-4000,-7000",1,1,
122521,74,,,,
122614,62,"-1000,-1000",1,1,
122615,38,"-3500,-5000",1,1,
122615,39,"-3500,-5000",1,1,
12263,29,"50,3000",1.35,1,
122631,70,"3000,6000",1,1,
12264,23,"4000,6000",1,1,
12264,24,"4000,6000",1,1,
13211,23,"-2000,-3000",1,1,
13211,24,"-2000,-3000",1,1,
13211,76,,,,
132125,74,,,,
132126,76,,,,
132126,79,"10000,10000",1,1,
13213,23,"2500,2500",1,1,
13213,24,"2500,2500",1,1,
13213,21,"1187,44293",1.5,1,
13213,22,"1187,44293",1.5,1,
13213,114,132132,1.5,1,
132132,62,"-5000,-5000",1,1,
13222,62,"-4000,-5000",1,1,
132221,62,"1000,2500",1,1,
132231,1,"510,28808",1.5,1,
132241,7,"2000,3000",1,1,
13231,43,"504,1152,3000,4000",1.3,1,
13232,43,"11,2306,100,100",1.35,1,
132322,74,,,,
132331,9,"10000,20000",1,1,
132332,14,"10000,10000",1,1,
13242,74,,,,
13243,7,"4000,5000",1,1,
13244,1,"955,40341",1.5,1,
13244,27,"-3000,-3000",1,1,
13251,62,"-1000,-3970",1,1,
13252,23,"-2000,-3000",1.3,1,
13252,24,"-2000,-3000",1.3,1,
13252,62,"-4000,-5000",1,1,
132531,2,"1276,57616",1.5,1,
132623,62,"-3500,-5000",1,1,
132624,33,"100,2100",1,1,
132631,150,"130,9045",1,1,
132632,115,"13264,0",,,
14211,23,"-2000,-3000",1,1,
14211,24,"-2000,-3000",1,1,
14211,76,,,,
14212,74,,,,
14213,3,"-2000,-2000",,,
14213,4,"-2000,-2000",,,
14222,74,,,,
14223,1,"1114,57616",1.5,1,
14223,37,"1000,3500",1,1,
14231,15,"-1500,-3000",1,1,
14232,62,"-2500,-4000",1,1,
142321,128,,,,
142331,89,"2300,4000",1,1,
142331,62,"1000,2000",1,1,
142331,114,24233,,,
242331,43,"2865,25935",1.3,1,
242331,62,"-2500,-4000",1,1,
14241,43,"477,4322,1000,2000",1.3,1,
14242,62,"-4000,-5000",1,1,
142421,114,142422,,,
142422,103,"200,500",1,1,
14251,74,,,,
142531,5,"1500,3000",1,1,
142531,37,"500,1500",1,1,
14261,21,"594,9284",1.3,1,
14261,22,"594,9284",1.3,1,
14262,74,,,,
142631,58,"1028,53939",1.5,1,
20211,21,"445,13130",1.8,1,
20211,22,"445,13130",1.8,1,
20221,1,"383,11411",1.8,1,
20221,2,"383,11411",1.8,1,
20231,62,"1000,2500",1,1,
20241,29,"455,13997",1.5,1,
20251,9,"3000,10000",1,1,
20261,58,"582,17143",1.8,1,
21221,1,"24,1989",1.5,1,
21231,70,"1000,3000",1,1,
212311,1,"268,7987",1.8,1,
21241,62,"-2000,-4000",1,1,
21242,43,"1,1,2000,4000",1,1,
21251,44,"6,1153,10000,10000",1.35,1,
212611,147,"500,1250",1,1,
212621,117,"500,2500",1,1,
212512,2,"57,5763",1.5,1,
222121,21,"380,7512",1,1,
222122,22,"380,7512",1,1,
22211,28,"1500,2500",1,1,
22221,14,"400,1000",1,1,
22232,114,222321,1,1,
22231,7,"100,200",1,1,
22231,62,"100,200",1,1,
22241,62,"2000,3500",1,1,
22261,28,"1500,2500",1,1,
23211,52,"300,800",1,1,
23221,9,"3000,10000",1,1,
23231,23,"-1000,-1500",1,1,
23231,24,"-1000,-1500",1,1,
23231,13,"-500,-1000",1.6,1,
23241,31,"1000,3000",1,1,
23251,9,"3000,10000",1,1,
23261,52,"10,60",1,1,
24211,1,"28,6052",1.35,1,
242121,137,1,,,
24221,1,"54,3265",1.5,1,
24221,104,"1,1",1.5,1,
242231,7,"2000,4000",1,1,
24231,14,"400,1000",1,1,
242321,10,"173,7987",1.5,1,
24241,28,"1200,2000",1,1,
24241,7,"500,1000",1,1,
242421,74,,,,
2424211,3,"-300,-600",1,1,
2424211,4,"-300,-600",1,1,
242422,74,,,,
24251,4,"500,3500",1,1,
24252,21,"362,8943",1.4,1,
24252,22,"362,8943",1.4,1,
242521,55,,,,
24261,136,"500,2000",1,1,
30001,23,"2500,10000",1,1,
30001,24,"2500,10000",1,1,
30001,81,"3000,3000",1,1,
30001,98,"3000,3000",1,1,
30002,62,"2000,5000",1,1,
30004,43,"0,0,8000,30000",1.5,1,
30004,44,"0,0,8000,30000",1.5,1,
30006,74,,,,
30008,23,"500,5000",1.5,1,
30008,24,"500,5000",1.5,1,
30008,114,,,,
30010,117,"500,5000",1,1,
30013,70,"1000,5500",1,1,
31001,62,"-2000,-5000",1,1,
40004,1,"100,5000",1,1,
40005,2,"100,5000",1,1,
