Id,ConditionRoomTypeList,ConditionType,ConditionFireRate,EffectType,EffectParam1,EffectParam2,EquipEffectBuffIcon
7000101,,13,,84,,,
7000201,,13,,84,,,
7000301,,13,,84,,,
7100101,"World,GatheringDungeonWorld",0,10000,87,500,,Icon_Buff_CapeEquipEffect_01
7100102,"World,GatheringDungeonWorld",0,10000,87,550,,Icon_Buff_CapeEquipEffect_01
7100103,"World,GatheringDungeonWorld",0,10000,87,600,,Icon_Buff_CapeEquipEffect_01
7100104,"World,GatheringDungeonWorld",0,10000,87,650,,Icon_Buff_CapeEquipEffect_01
7100105,"World,GatheringDungeonWorld",0,10000,87,700,,Icon_Buff_CapeEquipEffect_01
7100106,"World,GatheringDungeonWorld",0,10000,87,750,,Icon_Buff_CapeEquipEffect_01
7100107,"World,GatheringDungeonWorld",0,10000,87,800,,Icon_Buff_CapeEquipEffect_01
7100108,"World,GatheringDungeonWorld",0,10000,87,850,,Icon_Buff_CapeEquipEffect_01
7100109,"World,GatheringDungeonWorld",0,10000,87,900,,Icon_Buff_CapeEquipEffect_01
7100110,"World,GatheringDungeonWorld",0,10000,87,1000,,Icon_Buff_CapeEquipEffect_01
7100111,"World,GatheringDungeonWorld",0,10000,87,1100,,Icon_Buff_CapeEquipEffect_01
7100112,"World,GatheringDungeonWorld",0,10000,87,1200,,Icon_Buff_CapeEquipEffect_01
7100113,"World,GatheringDungeonWorld",0,10000,87,1300,,Icon_Buff_CapeEquipEffect_01
7100114,"World,GatheringDungeonWorld",0,10000,87,1400,,Icon_Buff_CapeEquipEffect_01
7100115,"World,GatheringDungeonWorld",0,10000,87,1500,,Icon_Buff_CapeEquipEffect_01
7100116,"World,GatheringDungeonWorld",0,10000,87,1600,,Icon_Buff_CapeEquipEffect_01
7100117,"World,GatheringDungeonWorld",0,10000,87,1700,,Icon_Buff_CapeEquipEffect_01
7100118,"World,GatheringDungeonWorld",0,10000,87,1800,,Icon_Buff_CapeEquipEffect_01
7100119,"World,GatheringDungeonWorld",0,10000,87,1900,,Icon_Buff_CapeEquipEffect_01
7100120,"World,GatheringDungeonWorld",0,10000,87,2000,,Icon_Buff_CapeEquipEffect_01
7100121,"World,GatheringDungeonWorld",0,10000,87,2100,,Icon_Buff_CapeEquipEffect_01
7100122,"World,GatheringDungeonWorld",0,10000,87,2200,,Icon_Buff_CapeEquipEffect_01
7100123,"World,GatheringDungeonWorld",0,10000,87,2300,,Icon_Buff_CapeEquipEffect_01
7100124,"World,GatheringDungeonWorld",0,10000,87,2400,,Icon_Buff_CapeEquipEffect_01
7100125,"World,GatheringDungeonWorld",0,10000,87,2500,,Icon_Buff_CapeEquipEffect_01
7100126,"World,GatheringDungeonWorld",0,10000,87,2600,,Icon_Buff_CapeEquipEffect_01
7100127,"World,GatheringDungeonWorld",0,10000,87,2700,,Icon_Buff_CapeEquipEffect_01
7100128,"World,GatheringDungeonWorld",0,10000,87,2800,,Icon_Buff_CapeEquipEffect_01
7100129,"World,GatheringDungeonWorld",0,10000,87,2900,,Icon_Buff_CapeEquipEffect_01
7100130,"World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01
7100201,RegularDungeonWorld,2,1000,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100202,RegularDungeonWorld,2,1100,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100203,RegularDungeonWorld,2,1200,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100204,RegularDungeonWorld,2,1300,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100205,RegularDungeonWorld,2,1400,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100206,RegularDungeonWorld,2,1500,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100207,RegularDungeonWorld,2,1600,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100208,RegularDungeonWorld,2,1700,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100209,RegularDungeonWorld,2,1800,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100210,RegularDungeonWorld,2,2000,96,9900025,,Icon_Buff_CapeEquipEffect_01
