Key,ValueType,Value
Default.AccountLinkRewardCount,UxUInt32,300
Default.PurposefulPopupResetHour,UxInt8,4
Character.MinimumNameLength,UxUInt32,4
Character.MaximumNameLength,UxUInt32,16
Auto.HpPotionUseCondition,UxUInt32,4000
Auto.MpPotionUseCondition,UxUInt32,4000
Auto.SoulshotUseCondition,UxUInt32,3000
Auto.MaxWeightedDistance,UxSingle,1500
Auto.WeightForAngle,UxSingle,1
Auto.WeightForDistance,UxSingle,6
Auto.WeightForLastDamageCauser,UxSingle,0.5
Buff.ReductionRemainedTime,UxUInt32,10000
CharMaxLevel,UxUInt32,180
HpUpdateDuration,UxUInt32,10
MpUpdateDuration,UxUInt32,10
NpcMaxLevel,UxUInt32,400
MaxSkillSlotCount,UxUInt8,5
MaxSkillDeckCount,UxUInt8,3
UniqSkillSlotStartIndex,UxUInt8,4
MaxEquipmentDeckCount,UxUInt8,3
SubCharStatRate,UxInt32,1
SubCharStatRateMax,UxInt32,500
MinimumNameLength,UxUInt32,4
MaximumNameLength,UxUInt32,16
RevivalHpMpRecoveryRate,UxUInt32,4000
StatusRiseTime,UxSingle,0.5
LevelUpVisualEffectInfoID,UxUInt32,100
HotTimeBuffVisualEffectInfoID,UxUInt32,302004
ClassUISkillUseTerm,UxSingle,1
ClassTransferLevel,UxUInt32,31
ClassTransferEffectInfoID,UxUInt32,101
ClassTransferCameraEffectInfoID,UxUInt32,102
SoulShotCoolTime,UxSingle,0.5
ChangeServerNameMarkTerm,UxUInt32,30
Save.LimitExcessAdena,UxUInt32,10000
Save.LimitExcessExp,UxUInt32,5000
Save.LimitTimeSave,UxInt32,100
Chat.MaxChannelCount,UxInt32,10
Chat.MaxLength,UxInt32,80
Chat.NormalCoolTime,UxInt32,3
Chat.PromoteCoolTime,UxInt32,20
Chat.WorldCoolTime,UxInt32,10
Chat.SummonGemCoolTime,UxInt32,10
Chat.ChatDefault,EColorType,ChatDefault
Chat.LocalColor,EColorType,ChatLocal
Chat.FriendColor,EColorType,ChatFriend
Chat.PartyColor,EColorType,ChatParty
Chat.GuildColor,EColorType,ChatGuild
Chat.WorldColor,EColorType,ChatWorld
Chat.SystemColor,EColorType,ChatSystem
Chat.PromotePartyColor,EColorType,ChatPartyPromote
Chat.PromoteGuildColor,EColorType,ChatGuildPromote
Chat.DiceRollingTime,UxInt32,2
Chat.DiceFreezeTime,UxInt32,1
Chat.NewMessageStackCount,UxInt32,20
Chat.QuickTalkCellCount,UxInt32,4
Chat.VoiceGuideTime,UxInt32,10
