Id,ContentShow,Difficulty,RecommendedAttack,RecommendedDefense,RecommendedPower,Type,IntParam,RecommendedPC,RecommendedLevel,EnterLevelRestriction,TutorialInfoId,BackgroundImage,WorldId,RepresentRewardId,RepresentRewardIconPath,RepresentRewardID1,RepresentRewardCount1,RepresentRewardID2,RepresentRewardCount2,RepresentRewardID3,RepresentRewardCount3,AddSubLevel,ResetGemType,ResetGemCount,SubLevelForLight,BGM,ConflictRegular,HardMode,RecommendedAbilityType,RecommendedAbilityPower,SummonMonsterInfo
200,1,1,1605,2174,11600,1,1,,,16,,Texture/Image_Dungeon_Elite_01,200,1,,,,,,,,,20,,,,0,,6,,
201,1,1,4872,6195,26700,1,2,,,20,,Texture/Image_Dungeon_Elite_01,201,3,,,,,,,,,20,,,,0,,6,,
202,1,1,7732,9597,70300,1,3,,,30,,Texture/Image_Dungeon_Elite_02,202,5,,,,,,,,,20,,,,0,,6,,
203,1,1,10974,13466,130700,1,4,,,45,,Texture/Image_Dungeon_Elite_02,203,7,,,,,,,,,20,,,,0,,6,,
204,1,1,15561,18975,205900,1,5,,,65,,Texture/Image_Dungeon_Elite_03,204,9,,,,,,,,,20,,,,0,,6,,
205,1,1,20870,25349,279700,1,6,,,90,,Texture/Image_Dungeon_Elite_03,205,11,,,,,,,,,20,,,,0,,6,,
206,1,1,26875,32560,336200,1,7,,,128,,Texture/Image_Dungeon_Elite_04,206,13,,,,,,,,,20,,,,0,,6,,
207,1,1,33559,40585,384500,1,8,,,140,,Texture/Image_Dungeon_Elite_04,207,15,,,,,,,,,20,,,,0,,6,,
208,1,1,26875,32560,462500,1,9,,,162,,Texture/Image_Dungeon_Elite_04,208,17,,,,,,,,,20,,,,0,,6,,
9000,1,0,577,619,75900,8,0,,,38,,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,,,,,,,OthersideRift_Trigger,20,,,6,0,,6,,
9001,1,1,4567,5828,147600,8,0,,,60,,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,,,,,,,OthersideRift_Trigger,20,,,6,0,,6,,
9002,1,2,8722,10768,243800,8,0,,,100,,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,,,,,,,OthersideRift_Trigger,20,,,6,0,,6,,
9003,0,3,15070,18385,420300,8,0,,,150,,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,,,,,,,OthersideRift_Trigger,20,,,6,0,,6,,
9004,1,0,577,619,52100,9,0,,,0,,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,,,,,,,VaultofChrysos_Trigger,20,,,6,0,,6,,
9005,1,1,4567,5828,127700,9,0,,,0,,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,,,,,,,VaultofChrysos_Trigger,20,,,6,0,,6,,
9006,1,2,8722,10768,228600,9,0,,,0,,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,,,,,,,VaultofChrysos_Trigger,20,,,6,0,,6,,
9008,0,3,15070,18385,478800,9,0,,,0,,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,,,,,,,VaultofChrysos_Trigger,20,,,6,0,,6,,
9009,1,0,577,619,15600,10,0,,,20,,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,,,,,,,WaterTemple_Trigger,20,,,6,0,,6,,
9010,1,1,4567,5828,104400,10,0,,,46,,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,,,,,,,WaterTemple_Trigger,20,,,6,0,,6,,
9011,1,2,8722,10768,216200,10,0,,,89,,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,,,,,,,WaterTemple_Trigger,20,,,6,0,,6,,
9012,1,3,15070,18385,409500,10,0,,,146,,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,,,,,,,WaterTemple_Trigger,20,,,6,0,,6,,
9013,1,0,577,619,130700,14,0,,,51,,Texture/Image_Dungeon_Daily_07,18300,900009,Icon_GachaItem_Transcendence,,,,,,,,20,,,6,0,,6,,
9014,1,1,4567,5828,248900,14,0,,,102,,Texture/Image_Dungeon_Daily_07,18300,900009,Icon_GachaItem_Transcendence,,,,,,,,20,,,6,0,,6,,
9015,1,2,8722,10768,427900,14,0,,,152,,Texture/Image_Dungeon_Daily_07,18300,900009,Icon_GachaItem_Transcendence,,,,,,,,20,,,6,0,,6,,
9016,0,3,15070,18385,702100,14,0,,,236,,Texture/Image_Dungeon_Daily_07,18300,900009,Icon_GachaItem_Transcendence,,,,,,,,20,,,6,0,,6,,
9017,0,0,577,619,86400,13,0,,,41,,Texture/Image_Dungeon_Daily_07,18500,900009,Icon_GachaItem_Transcendence,,,,,,,,20,,,2,0,,6,,
9018,0,1,4567,5828,141400,13,0,,,58,,Texture/Image_Dungeon_Daily_07,18500,900009,Icon_GachaItem_Transcendence,,,,,,,,20,,,2,0,,6,,
9019,0,2,8722,10768,254100,13,0,,,104,,Texture/Image_Dungeon_Daily_07,18500,900009,Icon_GachaItem_Transcendence,,,,,,,,20,,,2,0,,6,,
9020,0,3,15070,18385,367400,13,0,,,136,,Texture/Image_Dungeon_Daily_07,18500,900009,Icon_GachaItem_Transcendence,,,,,,,,20,,,2,0,,6,,
11000,1,5,577,619,2700,2,0,,,0,13,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,,,,,,,E_Sub_001,20,,Sub_Environment_Apostle,2,0,,6,,
11001,1,5,577,619,2700,2,1,,,0,13,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,,,,,,,E_Sub_002,20,,Sub_Environment_Orbis,2,0,,6,,
11002,1,5,577,619,2700,2,2,,,0,13,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,,,,,,,E_Sub_003,20,,Sub_Environment_Marshal,2,0,,6,,
11003,1,5,577,619,2700,2,3,,,0,13,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,,,,,,,E_Sub_004,20,,Sub_Environment_Traikan,2,0,,6,,
11004,1,5,577,619,2700,2,4,,,0,13,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,,,,,,,E_Sub_005,20,,Sub_Environment_BloodyKing,2,0,,6,,
11005,1,5,577,619,2700,2,5,,,0,13,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,,,,,,,E_Sub_006,20,,Sub_Environment_ArchonBamue,2,0,,6,,
11006,1,5,577,619,2700,2,6,,,0,13,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,,,,,,,E_Sub_007,20,,Sub_Environment_Boreas,2,0,,6,,
11100,1,0,577,619,5800,2,0,,,0,,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,,,,,,,E_Sub_001,20,,Sub_Environment_Apostle,2,0,,6,,
11101,1,1,4567,5828,44700,2,0,,,0,,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,,,,,,,E_Sub_001,20,,Sub_Environment_Apostle,2,0,,6,,
11102,1,2,8722,10768,124700,2,0,,,0,,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,,,,,,,E_Sub_001,20,,Sub_Environment_Apostle,2,0,,6,,
11103,1,3,15070,18385,226000,2,0,,,0,,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,,,,,,,E_Sub_001,20,,Sub_Environment_Apostle,2,0,,6,,
11200,1,0,577,619,5800,2,1,,,0,,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,,,,,,,E_Sub_002,20,,Sub_Environment_Orbis,2,0,,6,,
11201,1,1,4567,5828,44700,2,1,,,0,,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,,,,,,,E_Sub_002,20,,Sub_Environment_Orbis,2,0,,6,,
11202,1,2,8722,10768,124700,2,1,,,0,,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,,,,,,,E_Sub_002,20,,Sub_Environment_Orbis,2,0,,6,,
11203,1,3,15070,18385,226000,2,1,,,0,,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,,,,,,,E_Sub_002,20,,Sub_Environment_Orbis,2,0,,6,,
11300,1,0,577,619,5800,2,2,,,0,,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,,,,,,,E_Sub_003,20,,Sub_Environment_Marshal,2,0,,6,,
