Id,DungeonMenuType,DungeonType,IntParam,BackgroundImage,BackgroundImage2,ContentShow,ContentsLockKeyword,RepresentMonsterId
1,1,2,0,UI_Image_Dailydungeon,UI_Image_Dailydungeon,1,DAILY_DUNGEON,
2,1,3,0,UI_Image_Infinitydungeon,UI_Image_Infinitydungeon,1,INFINITY_DUNGEON,
3,1,1,0,UI_Btn_EliteDungeon,UI_Btn_EliteDungeon,1,ELITE_DUNGEON_0,
4,1,4,0,UI_Image_CollectDungeon,UI_Image_CollectDungeon,1,COLLECT_DUNGEON,
5,1,10,0,UI_Image_ItemDungeon,UI_Image_ItemDungeonNoEntry,1,EQUIP_DUNGEON,
6,1,9,0,UI_Image_AdenaDungeon,UI_Image_AdenaDungeon,1,ADENA_DUNGEON,
7,1,8,0,UI_Image_EXPDungeon,UI_Image_EXPDungeon,1,EXP_DUNGEON,
8,1,14,0,UI_Image_UpgradeStoneDungeon,UI_Image_UpgradeStoneDungeon,1,SUMMON_STONE_DUNGEON,
9,1,13,0,UI_Image_UpgradeStoneDungeon,UI_Image_UpgradeStoneDungeon,0,REFINEMENT_DUNGEON,
10,2,5,1,UI_Image_GuildDungeon_01,UI_Image_GuildDungeon_01,1,GUILD_DUNGEON_1,
11,2,5,2,UI_Image_GuildDungeon_02,UI_Image_GuildDungeon_02,1,GUILD_DUNGEON_2,
12,2,5,3,UI_Image_GuildDungeon_03,UI_Image_GuildDungeon_03,1,GUILD_DUNGEON_3,
13,2,5,4,UI_Image_GuildDungeon_04,UI_Image_GuildDungeon_04,0,GUILD_DUNGEON_4,
14,-1,15,1,UI_Image_PartyDungeon_1,UI_Image_PartyDungeon_1,1,PARTY_DUNGEON_1,40055
15,-1,15,2,UI_Image_PartyDungeon_2,UI_Image_PartyDungeon_2,1,PARTY_DUNGEON_2,40113
16,-1,15,3,UI_Image_PartyDungeon_Select_Event_01,UI_Image_PartyDungeon_Select_Event_01,0,COLLABO_PARTY_DUNGEON_1,45000424
18,-1,15,5,UI_Image_PartyDungeon_3,UI_Image_PartyDungeon_3,1,PARTY_DUNGEON_3,40020021
