Type,ActorStatType,IsPercentage,IsTime,Order,ClassInfoIdList,IconTexture,Revision
0,167,0,0,,,,0
1,0,0,0,,,,2.5
2,1,0,0,,,Icon_Stat_03,2.5
3,2,1,0,9,,Icon_Stat_03,0
4,3,1,0,10,,,0
5,4,0,0,,,,0
6,5,1,0,,,,0
7,6,1,0,8,,,0
8,167,0,0,,,,0
9,11,1,0,5,,,0
14,9,1,0,2,,,0
15,10,1,0,4,,,0
16,167,0,0,,,,0
17,167,0,0,,,,0
18,167,0,0,,,,0
19,167,0,0,,,,0
20,167,1,0,,,,0
21,16,0,0,,,,1.5
22,17,0,0,,,Icon_Stat_04,1.5
23,18,1,0,11,,Icon_Stat_04,0
24,19,1,0,12,,,0
26,20,0,0,17,,,1
27,167,1,0,,,,0
28,22,1,0,18,,,0
29,23,0,0,15,,,1
30,167,1,0,,,,0
31,25,1,0,16,,,0
32,26,1,0,6,,,0
33,27,1,0,,,,0
34,28,1,0,,,,0
35,29,1,0,,,,0
36,30,0,0,21,,,2.5
37,31,1,0,7,,,0
38,32,1,0,,,,0
39,33,1,0,,,,0
40,34,0,0,22,,,2.5
41,35,1,0,13,"5,35,95",,0
42,36,1,0,14,"5,35,95",,0
43,167,0,0,,,,0
44,167,0,0,,,,0
45,167,0,0,,,,0
46,167,0,0,,,,0
47,167,0,0,,,,0
48,39,1,0,,,,0
49,40,0,0,,,,0
50,167,1,0,,,,0
51,41,0,0,25,,,0.2
52,42,1,0,27,,,0
53,167,0,0,,,,0
54,167,0,0,,,,0
55,167,0,0,,,,0
56,167,0,0,,,,0
57,167,0,0,,,,0
58,44,0,0,,,Icon_Stat_01,1.5
59,45,1,0,23,,,0
60,46,0,0,,,Icon_Stat_02,1
61,47,1,0,24,,,0
62,52,1,0,29,,,0
63,48,0,0,,,,0
64,167,1,0,,,,0
65,49,1,0,28,,,0
66,167,0,0,,,,0
67,50,0,0,26,,,0.15
68,167,0,0,,,,0
69,167,0,0,,,,0
70,8,0,1,35,,,0
71,167,0,0,,,,0
72,167,0,0,,,,0
73,167,0,0,,,,0
74,167,0,0,,,,0
75,167,0,0,,,,0
76,167,0,0,,,,0
77,167,0,0,,,,0
78,167,0,0,,,,0
79,167,1,0,,,,0
81,167,1,0,,,,0
83,167,0,0,,,,0
84,167,0,0,,,,0
85,167,0,0,,,,0
246,167,0,0,,,,0
86,37,0,0,,,,0
87,38,1,0,34,,,0
88,167,0,0,,,,0
89,59,1,0,33,,,0
90,167,0,0,,,,0
91,167,0,0,,,,0
92,167,0,0,,,,0
93,167,0,0,,,,0
94,167,0,0,,,,0
95,167,0,0,,,,0
96,167,0,0,,,,0
97,53,1,0,31,,,0
98,54,1,0,30,,,0
99,55,1,0,32,,,0
103,167,0,0,,,,0
104,167,0,0,,,,0
100,90,1,1,,,,0
101,80,0,0,19,,,2
102,81,0,0,20,,,2
105,167,0,0,,,,0
106,167,0,0,,,,0
10,12,0,0,1,,,1.5
11,13,0,0,3,,,1.5
12,167,1,0,,,,0
13,167,1,0,,,,0
125,167,0,0,,,,0
133,167,1,0,,,,0
153,110,1,0,,,,0
154,111,1,0,,,,0
155,167,1,0,,,,
140,106,1,0,36,,,0
143,167,0,0,,,,0
144,167,1,0,,,,0
145,167,0,0,,,,0
246,167,1,0,,,,0
148,167,0,0,,,,0
149,167,0,0,,,,0
246,167,0,0,,,,0
136,167,1,0,,,,0
158,167,1,0,,,,0
159,167,1,0,,,,0
160,167,1,0,,,,0
120,167,1,0,,,,0
131,97,1,0,,,,0
132,98,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
25,167,0,0,,,,0
80,167,0,0,,,,0
82,167,0,0,,,,0
107,167,0,0,,,,0
108,167,0,0,,,,0
109,167,1,0,,,,0
110,167,1,0,,,,0
111,167,0,0,,,,0
112,75,0,0,,,,0
113,78,0,0,,,,0
114,167,0,0,,,,0
115,167,0,0,,,,0
116,167,0,0,,,,0
117,86,1,0,,,,0
118,167,0,0,,,,0
119,87,0,0,,,,0
121,167,0,0,,,,0
122,91,1,0,,,,0
123,92,1,0,,,,0
124,89,0,0,,,,0
126,66,0,0,,,,0
127,96,1,0,,,,0
128,167,0,0,,,,0
129,167,0,0,,,,0
130,167,0,0,,,,0
134,100,1,0,,,,0
135,101,1,0,,,,0
137,167,0,0,,,,0
138,167,0,0,,,,0
139,167,0,0,,,,0
141,107,1,0,,,,0
142,108,1,0,,,,0
246,103,0,0,,,,0
246,104,0,0,,,,0
246,105,0,0,,,,0
146,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
151,167,1,0,,,,0
152,167,1,0,,,,0
246,167,0,0,,,,0
163,167,0,0,,,,0
164,167,0,0,,,,0
165,167,0,0,,,,0
166,167,1,0,,,,0
167,124,1,0,,,,0
168,125,1,0,,,,0
156,116,1,0,,,,0
157,117,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
169,120,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,1,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,1,0,,,,0
246,167,0,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
161,167,1,0,,,,0
162,167,1,0,,,,0
246,167,1,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,0,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
233,160,0,0,,,,1.5
234,161,0,0,,,,1.5
246,167,1,0,,,,0
246,167,1,0,,,,0
246,167,1,0,,,,0
