Id,DelayTime,Duration,CollisionUnitType,CollisionUnitParam,AutoIncreaseCollisionArea,Resource,DirAlign,Hide,HideTime,EffectRepeatAble
11222,0,1,0,"""radius"": 400",,,0,0,,0
11242,1350,3000,0,"""radius"": 600",,BP/BP_PTC_SkillArrowrain,0,0,,0
11251,0,1000,0,"""radius"": 300",,BP/BP_PTC_Skillvolcano,0,0,,0
11261,1010,100,0,"""radius"": 450",,,0,0,,0
12212,600,5000,0,"""radius"": 300",,BP/BP_PTC_SkillEvasGrace,0,0,,0
12251,0,100,0,"""radius"": 300",,BP/BP_PTC_SkillIceSpear,0,0,,0
12261,0,800,0,"""radius"": 350",,BP/BP_PTC_SkillHollyFire,0,0,,0
13252,0,4000,0,"""radius"": 400",,BP/BP_PTC_SkillCorruption,0,0,,0
14262,800,4000,0,"""radius"": 400",,BP/BP_PTC_SkillDivineClap,0,0,,0
30005,500,500,0,"""radius"": 300",,BP/BP_PTC_SkillLighteningField,0,0,,0
30007,500,4000,0,"""radius"": 300",,BP/BP_PTC_SkillPoisonSwamp,0,0,,0
30012,250,500,0,"""radius"": 300",,BP/BP_PTC_SkillMeteorStorm,0,0,,0
60096,2400,6000,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,,0,0,,0
60097,2450,4000,0,"""radius"": 200",,BP/BP_PTC_BoreasBossSkill_02,0,0,,0
60100,1940,1500,0,"""radius"": 300",,,0,0,,0
60115,2950,6147,0,"""radius"": 600",,,0,0,,0
60162,2950,6147,0,"""radius"": 600",,,0,0,,0
71032,1940,1500,0,"""radius"": 300",,,0,0,,0
71072,2400,6000,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,,0,0,,0
71073,2450,4000,0,"""radius"": 200",,BP/BP_PTC_BoreasBossSkill_02,0,0,,0
71472,2400,6000,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,,0,0,,0
73012,2220,5000,0,"""radius"": 400",,BP/BP_PTC_GuillotineBossSkill_02,0,0,,0
73032,2970,5000,0,"""radius"": 100",,BP/BP_PTC_OrfenBossSkill_02,0,0,,0
74031,1980,500,0,"""radius"": 750",,,0,0,,0
74032,2677,500,0,"""radius"": 750",,,0,0,,0
74051,3220,5000,0,"""radius"": 500",,BP/BP_PTC_ShelobBossSkill_01,0,0,,0
74062,1280,500,0,"""radius"": 750",,BP/BP_PTC_SkillLighteningField,0,0,,0
74071,2200,30000,0,"""radius"": 170",,BP/BP_PTC_SerpentSlaveBossSkill_01,0,0,,0
74131,0,3000,0,"""radius"": 250",,BP/BP_PTC_SerpentSlaveBossSkill_01,0,0,,0
74132,5500,1000,0,"""radius"": 250",,BP/BP_PTC_MedusaBossSkill_02,0,0,,0
720231,0,8000,0,"""radius"": 200",,BP/BP_PTC_QueenAntBossSkill_02,0,0,,0
1720231,500,12000,0,"""radius"": 200",,BP/BP_PTC_QueenAntBossSkill_02,0,0,,0
1504021,500,500,0,"""radius"": 300",,BP/BP_PTC_SkillLighteningField,0,0,,0
7204311,3000,100,0,"""radius"": 1000",,,0,0,,0
7204321,3000,100,0,"""radius"": 1000",,,0,0,,0
7204331,3000,100,0,"""radius"": 1000",,,0,0,,0
601252,2333,5000,0,"""radius"": 300",,BP/BP_PTC_NymphQueenSkill_02,0,0,,0
601451,1474,3000,0,"""radius"": 500",,,0,0,,0
741352,0,1,0,"""radius"": 400",,,0,0,,0
8010441,0,1,0,"""radius"": 400",,,0,0,,0
805000,500,5000,0,"""radius"":1000",200,,0,0,,0
805001,500,5000,1,"""radius"":500,""angle"":160",100,,0,0,,0
805002,500,5000,2,"""left"":100, ""right"":100, ""front"":500, ""back"":0",100,,0,0,,0
805003,500,5000,4,"""minRadius"":250, ""maxRadius"":500",50,,0,0,,0
72040,500,18000,0,"""radius"": 220",,BP/BP_PTC_DeathKnightBossSkill_08,0,0,,0
1720223,500,10000,0,"""radius"": 150",,BP/BP_PTC_QueenAntBossSkill_08,0,0,,0
17203181,1111,300000,0,"""radius"": 500",,BP/BP_PTC_QueenAntBossSkill_11,0,0,,0
411004,1000,6000,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,0,0,,0
412004,1000,6000,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,0,0,,0
413004,1000,6000,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,0,0,,0
413012,500,5000,0,"""radius"": 150",,BP/BP_PTC_MysticalWeaverSkill_02,0,0,,0
413023,0,2000,0,"""radius"": 200",400,BP/BP_PTC_Trisha_BossSkill_06_01,0,0,,0
414004,1000,6000,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,0,0,,0
414012,500,5000,0,"""radius"": 150",,BP/BP_PTC_MysticalWeaverSkill_02,0,0,,0
414023,0,2000,0,"""radius"": 200",400,BP/BP_PTC_Trisha_BossSkill_06_01,0,0,,0
74113,0,2600,0,"""radius"": 400",,,0,0,,0
401023,500,10000,0,"""radius"": 400",,BP/BP_PTC_Boranta_BossSkill_01_Blaze,0,0,,0
401008,3000,1000,0,"""radius"": 300",,BP/BP_PTC_KetraOrcWarriorSkill_02,0,0,,0
401016,1200,1000,0,"""radius"": 400",,BP/BP_PTC_KetraOrcWarriorSkill_02,0,0,,0
401210,0,1000,0,"""radius"": 5000",,BP/BP_PTC_AlterOfMadness_PaagrioSkill_01,0,0,,0
