Id,Rank,RequiredId,RequiredLevel,TaskType,TaskCount,RewardType,RewardItemInfoId,RewardCount,ContentType
1001,1,,1,90,1,6,440001,20,55
1002,1,1001,1,57,5,2,490003,20,57
1003,1,1002,1,90,1,2,490003,30,55
1004,1,1003,1,23,500,1,490002,10000,72
1005,1,1004,1,29,8000,6,480005,1,84
1006,1,1005,1,141,3,1,490002,10000,1
1007,1,1006,1,57,5,2,490003,30,57
1008,1,1007,1,50,20,6,911123,1,27
1009,1,1008,1,92,3,6,440011,20,9
1010,1,1009,1,21,3,6,480004,1,18
1011,1,1010,1,95,1,1,490002,30000,7
1012,1,1011,1,163,3,6,911133,1,2
2001,2,1012,21,170,1,6,440001,20,41
2002,2,2001,21,100,1,1,490002,30000,6
2003,2,2002,21,58,2,6,910210,1,59
2004,2,2003,21,71,1,6,910211,1,21
2005,2,2004,21,90,1,2,490003,150,55
2006,2,2005,21,91,18,6,490008,1,9
2007,2,2006,21,53,2,2,490003,20,60
2008,2,2007,21,97,10,6,910308,1,5
2009,2,2008,21,52,1,1,490002,50000,20
2010,2,2009,21,90,1,6,490005,1000,55
2011,2,2010,21,15,1,6,910204,1,123
2012,2,2011,21,151,1,2,490003,300,127
3001,3,2012,35,71,2,1,490002,50000,21
3002,3,3001,35,102,1,6,900009,3,10
3003,3,3002,35,61,1,6,490007,2,58
3004,3,3003,35,103,1,6,900005,1,8
3005,3,3004,35,72,1,6,490005,1500,68
3006,3,3005,35,71,3,2,490003,300,21
3007,3,3006,35,81,80,1,490002,80000,6
3008,3,3007,35,101,1,6,910211,1,11
3009,3,3008,35,91,40,1,490002,100000,9
3010,3,3009,35,21,10,6,900009,3,18
3011,3,3010,35,51,1,6,910204,1,27
3012,3,3011,35,151,1,2,490003,500,127
4001,4,3012,50,50,1,6,911002,5,94
4002,4,4001,50,109,1,6,400000,2,92
4003,4,4002,50,13,10,1,490002,100000,22
4004,4,4003,50,255,10,2,490003,200,94
4005,4,4004,50,131,7,6,1000101,1,48
4006,4,4005,50,255,1,6,470005,1,3
4007,4,4006,50,255,1,1,490002,150000,94
4008,4,4007,50,2,60,6,911006,20,19
4009,4,4008,50,255,1,6,470005,5,94
4010,4,4009,50,23,100600,2,490003,300,17
4011,4,4010,50,255,1,6,900011,2,94
4012,4,4011,50,151,1,2,490003,500,127
