Id,GroupId,Type,DisplayLevel,Grade,EquipmentType1,EquipmentType2,WeaponType,ArmorType,Material,GachaInfoId,SoulCrystalType,PetItemType,SummonGemGroupId,AcquirePerformanceType,AuctionSubGroupId,IconTexture,MaxStackableCount,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,BasicOptionGroupId,AbilityInfoGroupId,SellingPrice,ProvidingExp,TotalExpForNextLevelMagnification,RequiredAdena,CoolTime,Resource,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5,ClassType,UseType,UseLevel,MaxUseLevel,Rarity,VisualEffectId,InventoryType,BagType,LootEffect,UseClassTransfer,Usable,UseQuickSlot,GrowCode,UsableGrowCodeListString,PeriodItem,IconMarkTexture,Collabo,MultipleUseAtOnce
10003,10001,11,,9,12,12,6,3,3,,9,4,,0,,Icon_Asset_CompleteTicket,9999,246,,246,,246,,,,10,,,,,,,,,,,0,,,,0,,0,5,0,0,0,0,,,,,0,0
510107,10000,64,,9,12,12,6,3,3,,9,4,,0,,Icon_Firework_01,9999,47,2000001,246,,246,,,,10,,,,1000,,,,,,,0,,,,0,,0,5,0,0,1,1,,,,,0,0
510108,10000,64,,9,12,12,6,3,3,,9,4,,0,,Icon_Firework_02,9999,47,2000002,246,,246,,,,10,,,,1000,,,,,,,0,,,,0,,0,5,0,0,1,1,,,,,0,0
510109,10000,64,,9,12,12,6,3,3,,9,4,,0,,Icon_Firework_03,9999,47,2000003,246,,246,,,,10,,,,1000,,,,,,,0,,,,0,,0,5,0,0,1,1,,,,,0,0
510110,10000,64,,9,12,12,6,3,3,,9,4,,0,,Icon_Firework_04,9999,47,2000004,246,,246,,,,10,,,,1000,,,,,,,0,,,,0,,0,5,0,0,1,1,,,,,0,0
510112,10000,64,,9,12,12,6,3,3,,9,4,,0,,Icon_Firework_05,9999,47,2000005,246,,246,,,,10,,,,1000,,,,,,,0,,,,0,,0,5,0,0,1,1,,,,,0,0
510113,10000,64,,9,12,12,6,3,3,,9,4,,0,,Icon_Firework_06,9999,47,2000006,246,,246,,,,10,,,,1000,,,,,,,0,,,,0,,0,5,0,0,1,1,,,,,0,0
510114,10000,64,,9,12,12,6,3,3,,9,4,,0,,Icon_Firework_07,9999,47,2000007,246,,246,,,,10,,,,,,,,,,,0,,,,0,,0,5,0,0,1,1,,,,,0,0
510115,10000,64,,9,12,12,6,3,3,,9,4,,0,,Icon_Firework_08,9999,47,2000008,246,,246,,,,10,,,,,,,,,,,0,,,,0,,0,5,0,0,1,1,,,,,0,0
110010,110010,10,,1,1,12,0,3,3,,9,4,,0,201,Weapon_Sword_SamuraiLongSword_05,1,1,69,21,8,0,0,,,50,,,,,"SamuraiLongSword_01,SamuraiShield_01",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,101,111",,,0,0
110011,110010,10,,2,1,12,0,3,3,,9,4,,0,201,Weapon_Sword_SamuraiLongSword_05,1,1,188,21,25,0,0,,,100,,,,,"SamuraiLongSword_01,SamuraiShield_02",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,101,111",,,0,0
110012,110010,10,,3,1,12,0,3,3,,9,4,,0,201,Weapon_Sword_SamuraiLongSword_05,1,1,447,21,61,0,0,10101201,,750,,,,,"SamuraiLongSword_02,SamuraiShield_02",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,101,111",,,0,0
110013,110010,10,,4,1,12,0,3,3,,9,4,,0,201,Weapon_Sword_SamuraiLongSword_05,1,1,992,21,137,0,0,10101301,1,2500,,,,,"SamuraiLongSword_03,SamuraiShield_03",1,9,,,,2,,,,0,,0,0,1,0,0,0,1,"1,101,111",,,0,0
110014,110010,10,,5,1,12,0,3,3,,9,4,,1,201,Weapon_Sword_SamuraiLongSword_05,1,1,2041,21,282,0,0,10101401,1,12500,,,,,"SamuraiLongSword_04,SamuraiShield_04",9,,,,,2,,,,0,,0,0,1,0,0,0,1,"1,101,111",,,0,0
110015,110010,10,,6,1,12,0,3,3,,9,4,,1,201,Weapon_Sword_SamuraiLongSword_05,1,1,3874,21,537,0,0,10101501,1,25000,,,,,"SamuraiLongSword_05,SamuraiShield_05",9,,,,,2,,,,0,,0,0,2,0,0,0,1,"1,101,111",,,0,0
110020,110020,10,,1,1,12,0,3,3,,9,4,,0,201,Weapon_Shield_RevolutionShield_06,1,1,67,21,8,0,0,,,50,,,,,"RevolutionSword_01,RevolutionShield_01",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,102,121",,,0,0
110021,110020,10,,2,1,12,0,3,3,,9,4,,0,201,Weapon_Shield_RevolutionShield_06,1,1,184,21,24,0,0,,,100,,,,,"RevolutionSword_01,RevolutionShield_01",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,102,121",,,0,0
110022,110020,10,,3,1,12,0,3,3,,9,4,,0,201,Weapon_Shield_RevolutionShield_06,1,1,438,21,60,0,0,10102201,,750,,,,,"RevolutionSword_02,RevolutionShield_02",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,102,121",,,0,0
110023,110020,10,,4,1,12,0,3,3,,9,4,,0,201,Weapon_Shield_RevolutionShield_06,1,1,971,21,135,0,0,10102301,2,2500,,,,,"RevolutionSword_03,RevolutionShield_03",1,9,,,,2,,,,0,,0,0,1,0,0,0,1,"1,102,121",,,0,0
110024,110020,10,,5,1,12,0,3,3,,9,4,,1,201,Weapon_Shield_RevolutionShield_06,1,1,1998,21,278,0,0,10102401,2,12500,,,,,"RevolutionSword_04,RevolutionShield_04",9,,,,,2,,,,0,,0,0,1,0,0,0,1,"1,102,121",,,0,0
110025,110020,10,,6,1,12,0,3,3,,9,4,,1,201,Weapon_Shield_RevolutionShield_06,1,1,3792,21,529,0,0,10102501,2,25000,,,,,"RevolutionSword_05,RevolutionShield_05",9,,,,,2,,,,0,,0,0,2,0,0,0,1,"1,102,121",,,0,0
110030,110030,10,,1,1,12,0,3,3,,9,4,,0,201,Weapon_Shield_DynastyShield_06,1,1,67,21,8,0,0,,,50,,,,,"DynastySword_01,DynastyShield_01",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,103,131",,,0,0
110031,110030,10,,2,1,12,0,3,3,,9,4,,0,201,Weapon_Shield_DynastyShield_06,1,1,184,21,24,0,0,,,100,,,,,"DynastySword_01,DynastyShield_01",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,103,131",,,0,0
110032,110030,10,,3,1,12,0,3,3,,9,4,,0,201,Weapon_Shield_DynastyShield_06,1,1,438,21,60,0,0,10103201,,750,,,,,"DynastySword_02,DynastyShield_02",1,9,,,,2,,,,0,,0,0,0,0,0,0,1,"1,103,131",,,0,0
110033,110030,10,,4,1,12,0,3,3,,9,4,,0,201,Weapon_Shield_DynastyShield_06,1,1,971,21,135,0,0,10103301,3,2500,,,,,"DynastySword_03,DynastyShield_03",1,9,,,,2,,,,0,,0,0,1,0,0,0,1,"1,103,131",,,0,0
