ItemGrade,EquipmentType,WeaponType,Level,EnchantEfficiency,SuccessRate,SuccessRateBless,FailurePenalty,RequiredAdena,RequiredProtectionJewel,RequiredEnchantScroll
1,1,0,0,0,10000,10000,0,3400,0,1
1,1,0,1,5,10000,10000,0,3400,0,1
1,1,0,2,10,10000,10000,0,3400,0,1
1,1,0,3,15,9000,9000,1,3400,1,1
1,1,0,4,20,8000,8000,1,3400,1,1
1,1,0,5,28,,,,,,
1,1,1,0,0,10000,10000,0,3400,0,1
1,1,1,1,5,10000,10000,0,3400,0,1
1,1,1,2,10,10000,10000,0,3400,0,1
1,1,1,3,15,9000,9000,1,3400,1,1
1,1,1,4,20,8000,8000,1,3400,1,1
1,1,1,5,28,,,,,,
1,1,2,0,0,10000,10000,0,3400,0,1
1,1,2,1,5,10000,10000,0,3400,0,1
1,1,2,2,10,10000,10000,0,3400,0,1
1,1,2,3,15,9000,9000,1,3400,1,1
1,1,2,4,20,8000,8000,1,3400,1,1
1,1,2,5,28,,,,,,
1,1,3,0,0,10000,10000,0,3400,0,1
1,1,3,1,5,10000,10000,0,3400,0,1
1,1,3,2,10,10000,10000,0,3400,0,1
1,1,3,3,15,9000,9000,1,3400,1,1
1,1,3,4,20,8000,8000,1,3400,1,1
1,1,3,5,28,,,,,,
1,1,4,0,0,10000,10000,0,3400,0,1
1,1,4,1,5,10000,10000,0,3400,0,1
1,1,4,2,10,10000,10000,0,3400,0,1
1,1,4,3,15,9000,9000,1,3400,1,1
1,1,4,4,20,8000,8000,1,3400,1,1
1,1,4,5,28,,,,,,
1,1,5,0,0,10000,10000,0,3400,0,1
1,1,5,1,5,10000,10000,0,3400,0,1
1,1,5,2,10,10000,10000,0,3400,0,1
1,1,5,3,15,9000,9000,1,3400,1,1
1,1,5,4,20,8000,8000,1,3400,1,1
1,1,5,5,28,,,,,,
1,2,6,0,0,10000,10000,0,900,0,1
1,2,6,1,5,10000,10000,0,900,0,1
1,2,6,2,10,10000,10000,0,900,0,1
1,2,6,3,15,9000,9000,1,900,1,1
1,2,6,4,20,8000,8000,1,900,1,1
1,2,6,5,28,,,,,,
1,6,6,0,0,10000,10000,0,900,0,1
1,6,6,1,5,10000,10000,0,900,0,1
1,6,6,2,10,10000,10000,0,900,0,1
1,6,6,3,15,9000,9000,1,900,1,1
1,6,6,4,20,8000,8000,1,900,1,1
1,6,6,5,28,,,,,,
1,8,6,0,0,10000,10000,0,900,0,1
1,8,6,1,5,10000,10000,0,900,0,1
1,8,6,2,10,10000,10000,0,900,0,1
1,8,6,3,15,9000,9000,1,900,1,1
1,8,6,4,20,8000,8000,1,900,1,1
1,8,6,5,28,,,,,,
1,0,6,0,0,10000,10000,0,900,0,1
