AchievementLevel,Name
0,冒険家志望者
1,冒険家の卵
2,平凡な冒険家
3,律儀な冒険家
4,不屈の冒険家
5,強い冒険家
6,凡庸な傭兵
7,屈強な傭兵
8,勇敢な傭兵
9,根気のある傭兵
10,根性のある傭兵
11,堂々たる兵士
12,勇敢な兵士
13,剛健な精鋭
14,強靭な戦士
15,熟練の戦士
16,鋭い闘士
17,強壮な闘士
18,勇猛な闘士
19,冷静な騎士
20,決意に満ちた騎士
21,名誉な騎士
22,賢明な男爵
23,明晰な男爵
24,気高き子爵
25,大胆な子爵
26,強靱な伯爵
27,怒濤の伯爵
28,静かな侯爵
29,強大な侯爵
30,高貴な公爵
31,執念の追跡者
32,鋭い監視者
33,誉れ高き挑戦者
34,輝く勝利者
35,嵐の司令官
36,敏腕の血盟主
37,アデンの救助者
38,暴走する破壊者
39,死の虐殺者
40,信実な守護者
41,圧倒的権力者
42,栄光の征服者
43,確固たる救済者
44,正義の審判者
45,断罪の破滅者
46,大陸の支配者
47,酷寒の絶対者
48,冷酷な不滅者
49,伝説の超越者
50,戦場の神
