Id,Name,EffectTypeName,Desc
4,중독,독,중독 되어 지속적으로 피해를 받습니다.
6,몬스터 공통 숨기,숨기,
7,루시퍼 - 절대 방어,,방어력이 믿을 수 없을 만큼 상승합니다. 30회 피격 시 제거됩니다.
8,미로쿠 - 종말의 인도,,10만의 HP가 감소되면 제거됩니다.
1001,共通ノックダウン,ノックダウン,
1002,共通ノックダウン,ノックダウン,通常攻撃乱打用
1003,共通ノックダウン,ノックダウン,
1004,共通無敵,無敵,ダメージを受けない
1005,復活保護の強化効果,無敵,ダメージを受けず、敵を攻撃すると無敵状態が解除される
1006,共通ノックダウン,ノックダウン,通常攻撃乱打用
1011,共通気絶,気絶,気絶
10111,ラッシュインパクトノックダウン,ノックダウン,
10122,アサルトスラッシュ：スロー,スロー,移動速度{1%}%減少
11211,スラム,獲得ヘイト増加,獲得ヘイトが50%増加
112124,ヴェンジェンス,ロックオン,強制的に敵を攻撃
112125,ヴェンジェンス,攻撃力減少,攻撃力{1}減少
112126,ヴェンジェンス,ロックオン（NPC）,
11213,マジェスティ,マジェスティ：ヘイト増加、物理防御力/魔法防御力増加、回避減少,防御力{2%}%増加、攻撃で獲得ヘイト{2%}%増加、ダメージ{1%}%を反射
11221,ジャッジメント,防御減少,
11222,サンダーストーム,スタン,気絶
112231,マジョリティースウィープ,マルチヒット：同時攻撃数増加、攻撃速度増加,一度に攻撃できる敵の数が{1}体増加、攻撃速度{2%}%増加
11231,サンドクラウド,ブラインド,命中率{1%}%減少
11232,バックステップ：スタン,スタン,気絶
112331,ヘイスト,ヘイスト：攻撃速度増加,攻撃速度{1%}%増加
112332,ヘイスト,ヘイスト：回避増加,回避{1%}%増加
11242,アローレイン,移動速度減少,移動速度{1%}%減少
11243,スナイプ,スナイプ：射程増加、攻撃、命中増加,攻撃力{2%}%、命中{3}増加、攻撃距離増加
11244,ホークアイ,ホークアイ：クリティカル増加、防御減少,クリティカル{1}増加、ダメージ{2%}%増加
11251,モルテンボウル,持続ダメージ,一定時間にわたってダメージを与える
