Id,Name,Desc
1,冒険家,無限の可能性を秘めた初心者でウォリアー、ローグ、メイジに転職できます。
2,ウォリアー,接近戦を得意とする戦士
3,ローグ,短剣と弓の使いに長けたアタッカー
4,メイジ,魔法で敵を攻撃するアタッカー
5,パラディン,高い防御力と防御スキルを備えたディフェンダー
6,ウォーロード,敵を持続的に弱体化させながら戦うアタッカー
7,トレジャーハンター,敵を気絶させて連続攻撃を浴びせるアタッカー
8,ホークアイ,範囲ダメージとスロースキルを持つ遠距離アタッカー
9,ソーサラー,持続的な炎ダメージを与えるアタッカー
10,ビショップ,ヒールと気絶スキルで味方を支援するヒーラー
31,冒険家,無限の可能性を秘めた初心者でウォリアー、ローグ、メイジに転職できます。
32,ウォリアー,接近戦を得意とする戦士
33,ローグ,短剣と弓の使いに長けたアタッカー
34,メイジ,魔法で敵を攻撃するアタッカー
35,テンプルナイト,広範囲を攻撃する攻撃型ディフェンダー
36,ソードシンガー,中距離攻撃を得意とするアタッカー
37,プレインズウォーカー,素早い攻撃で敵を追い込むアタッカー
38,シルバーレンジャー,素早く敵を攻撃する遠距離アタッカー
39,スペルシンガー,敵の動きを遅くしたり、凍らせたりする補助型アタッカー
40,エルダー,味方のHPを大幅に回復させるヒーラー
61,冒険家,無限の可能性を秘めた初心者でウォリアー、ローグ、メイジに転職できます。
62,ウォリアー,接近戦を得意とする戦士
63,ローグ,短剣と弓の使いに長けたアタッカー
64,メイジ,魔法で敵を攻撃するアタッカー
65,シリエンナイト,敵のHPを吸収しながら戦う攻撃型ディフェンダー
66,ブレードダンサー,高い攻撃力で周りを荒らしながら戦うアタッカー
67,アビスウォーカー,素早い攻撃で出血ダメージを与えるアタッカー
68,ファントムレンジャー,強烈な一撃を持つアタッカー
69,スペルハウラー,呪いと広範囲の持続ダメージを与えるアタッカー
70,シリエンエルダー,各パーティメンバーの回復力を引き上げて戦闘をサポートする攻撃型ヒーラー
91,冒険家,無限の可能性を秘めた初心者でウォリアー、ローグ、メイジに転職できます。
92,ウォリアー,接近戦を得意とする戦士
93,ローグ,短剣と弓の使いに長けたアタッカー
94,メイジ,魔法で敵を攻撃するアタッカー
95,ガーディアン,広範囲の敵を移動不可にする魔法型ディフェンダー
96,スレイヤー,強烈な一撃を持つアタッカー
97,スカベンジャー,素早い移動スキルで敵を弄ぶアタッカー
98,ウォーレンジャー,回避スキルを得意とする遠距離型アタッカー
99,クォーラルウィザード,短い間隔で狭い範囲にスキルを浴びせるアタッカー
100,セイジ,パーティの防御力を高める補助型ヒーラー
