Id,Name,Description
1,曜日ダンジョン,"育成に必要な
材料アイテムが集められる"
2,傲慢の塔,"高く、より高く
己の限界に挑める"
3,エリートダンジョン,"強力な魔物を倒して
大量の経験値を獲得できる"
4,採集ダンジョン,"エリクサー製作に必要な
魔法の薬草を集められる"
5,装備ダンジョン,"主要拠点の聖物を守り抜くと
装備を獲得できる"
6,アデナダンジョン,"貪欲なドラゴンの棲み処で
アデナを獲得できる"
7,経験値ダンジョン,"より多くの経験値を
獲得できる"
8,召喚石ダンジョン,"聖物の封印を解除して
召喚石を獲得できる"
9,洗練石ダンジョン,"モンスターが守る次元の扉を
破壊して報酬を獲得できる"
10,バールカルロンの痕跡,"バールカルロンの鋭い剣は
大量の出血ダメージを与えます。"
11,クイーンアントの洞窟,"闇の洞窟のクイーンアントは
自在に毒を使います。"
12,クルマコアの間,"精神を支配するクルマの塔の
監視者です。"
13,メリサ,誘惑のメリサ
14,狂気の祭壇,"狂気に満ちている
オークの村に向かえ！"
15,血の女伯爵の寝所,"行方不明のギラン先発隊と
女伯爵を見つけろ！"
16,滅亡の城砦,"ミロクの計画を阻止し、
世界を守れ！"
18,創造の神殿,"フェルネル発掘団を救出し、
グランカインの秘密を暴け！"
