Type,Name
0,武器に付く
1,物理攻撃力
2,魔法攻撃力
3,物理攻撃力の増加率
4,魔法攻撃力の増加率
5,通常攻撃の攻撃力
6,パーティメンバーによる攻撃力増加率
7,攻撃速度の増加率
8,強化効果
9,ｸﾘﾃｨｶﾙダメージ増加率
14,ｸﾘﾃｨｶﾙ命中率増加
15,ｸﾘﾃｨｶﾙ抵抗率増加
16,物理ダメージ
17,魔法ダメージ
18,防御力無視
19,敵のHP減少
20,敵のHP割合減少
21,物理防御力
22,魔法防御力
23,物理防御力の増加率
24,魔法防御力の増加率
26,回避
27,回避の増加率
28,回避率増加
29,命中
30,命中の増加率
31,命中率増加
32,ダメージ増加率
33,物理ダメージ増加率
34,物理ダメージ増加率
35,スローの相手に対するダメージ増加率
36,防御無視ダメージ
37,ダメージ減少率
38,物理ダメージ減少率
39,魔法ダメージ減少率
40,固定ダメージ減少
41,ブロック確率
42,ブロックダメージ減少率
43,持続物理ダメージ
44,持続魔法ダメージ
45,攻撃力に応じてHP回復
46,持続ヒール
47,地形効果
48,脅威値の増加率
49,HP
50,最大HPに比例してHP%増加
51,HP回復量
52,HP吸収率
53,HP吸収（アクティブ）
54,HP吸収（自分とパーティメンバーに吸収）
55,無敵
56,透明
57,アイテム獲得確率の増加
58,最大HP
59,最大HP増加率
60,最大MP
61,最大MP増加率
62,移動速度増加率
63,MP
64,MPが最大MPに比例して増加
65,消費MP減少率
66,消費MP減少
67,MP回復量
68,ワンキル（敵が一撃で倒れる）
69,発射体
70,スキルクールタイム短縮
71,スマート（スキル使用時の消費MPが必ず1）
72,SS攻撃ボーナス
73,ストロング（受けるダメージが必ず1）
74,スタン
75,挑発（敵視率を最大にする）
76,ロックオン
77,敵の強制移動
78,敵の引き寄せ
79,引き寄せ抵抗率
81,ノックバック抵抗率
83,エリクサー
84,効果なし
85,スキルテーブル情報識別子
246,範囲強化効果（オーラトーテム）
86,経験値
87,経験値獲得量の増加率
88,アデナ
89,アデナ獲得量の増加率
90,無料ダイヤ
91,有料ダイヤ
92,血盟コイン
93,ルーンの欠片
94,スキルポイント
95,掃討券
96,アイテムドロップ
97,スロー抵抗率
98,スタン抵抗率
99,状態異常の抵抗率
103,スキルの範囲増加
104,スキルヒット数の増加
100,コンボ持続時間増加
101,貫通
102,弾力
105,採集速度増加
106,採集量増加
10,クリティカル
11,クリティカル抵抗
12,クリティカル増加率
13,ｸﾘﾃｨｶﾙ抵抗の増加率
125,精神支配
133,攻撃型通常スキルのダメージ増加
153,ダメージ増加率
154,ダメージ減少率
155,攻撃型通常スキルのダメージ増加
140,スキルクールタイム短縮（％）
143,敵のMP減少
144,敵のMP％減少
145,攻撃力に応じてMP回復
246,パーティメンバーによる防御力増加率
148,状態異常を解除
149,敵の強化効果を解除
246,特定HP以下になるとダメージ無効
136,HP回復量増加率
158,ｸﾘﾃｨｶﾙ抵抗率増加
159,スロー抵抗率
160,スタン抵抗率
120,モンスターコア獲得率
131,モンスターに与えるダメージが増加
132,モンスターから受けるダメージが減少
246,モンスターに与える通常スキルダメージが増加
246,モンスターに与える通常スキルダメージが増加
25,自殺
80,ノックバック
82,HPMP転換
107,刻印時間増加
108,トラップ攻撃力増加
109,持続最大HP比率ダメージ
110,持続現在HP比率ダメージ
111,持続最大HP比率回復
112,功績ポイント
113,PVP名誉ポイント
114,条件に応じてスキル発動（強化効果用：EffectFireCondition）
115,特定の時間毎にスキル発動（強化効果）
116,装備の特性効果を獲得（強化効果）
117,マナシールド率（マナによるダメージ吸収率）
118,PKポイント減少
119,PK防止
121,スクロールクエスト
122,HPポーション効率増加
123,MPポーション効率増加
124,戦闘力
126,友情ポイント
127,ダメージ反射率
128,沈黙
129,物理/魔法攻撃力に応じてHPを回復
130,物理/魔法攻撃力に応じてHPを持続回復
134,魔物ダメージ増加率
135,魔法ダメージ減少率
137,スキルクールタイムリセット
138,ペット経験値
139,ペットロック解除（または経験値）
141,出血対象に対するダメージ増加率
142,中毒対象に対するダメージ増加率
246,名誉コイン
246,勇猛コイン
246,古代コイン
146,物理/魔法攻撃力に応じてMP回復
246,釣り餌スロット
246,
246,
246,アタリまでの時間短縮
246,
246,大物アタリ率
246,물고기속임수상태일때대미지증가
151,最終ダメージ増加率
152,最終ダメージ減少率
246,グリーンダイヤ
163,npcSpawn
164,ダメージ分散（固定ダメージ）
165,回復不可
166,NPCランク種族に応じたダメージ増加率
167,通常スキルダメージ減少率
168,レアスキルダメージ減少率
156,採集ダンジョンのマンドラゴラ出現率増加
157,
246,ログインポイント
246,パーティメンバーに応じてクリティカル抵抗値増加
246,対象を指定した座標へ移動
246,
246,復活
169,名人コイン
246,バリア量
246,最大バリア量
246,バリア吸収（アクティブで吸収するスキル）
246,召喚獣召喚
246,ダメージ伝達
246,HP平均値回復
246,身隠し
246,コンボで物理ダメージ
246,最大HPに応じてバリアを生成（アクティブ）
246,バリア時に物理攻撃力増加
246,バリア時に魔法攻撃力増加
246,コンボカウントが増減
246,コンボ数に応じたダメージ増加率
246,出血にかかった対象に出血ダメージに応じて追加ダメージ
246,命中値に応じた物理攻撃力増加率
246,命中値に応じた魔法攻撃力増加率
246,沈黙対象によるダメージ増加率
246,通常攻撃を変更
246,
246,
246,
246,スキル使用時に獲得するヘイトから指定比率が減少
161,対象の特定強化効果有無に応じたダメージ増加率
162,対象の特定強化効果有無に応じたダメージ減少率
246,
246,
246,
246,
246,装備中のタリスマンに与えられた物理攻撃力がN％増加
246,装備中のタリスマンに与えられた魔法攻撃力がN％増加
246,装備中のタリスマンに与えられた物理防御力がN％増加
246,装備中のタリスマンに与えられた魔法防御力がN％増加
246,装備中のタリスマンに与えられたHPがN％増加
246,装備中のタリスマンに与えられたMPがN％増加
246,装備中のタリスマンに与えられたクリティカルがN％増加
246,装備中のタリスマンに与えられたクリティカル抵抗がN％増加
246,装備中のタリスマンに与えられた命中がN％増加
246,装備中のタリスマンに与えられた回避がN％増加
246,装備中のタリスマンに与えられた貫通がN％増加
246,装備中のタリスマンに与えられた弾力がN％増加
246,装備中のタリスマンに与えられたHP回復がN％増加
246,装備中のタリスマンに与えられたMP回復がN％増加
246,装備中のタリスマンに与えられたヘイト増加がN％増加
246,装備中のタリスマンに与えられたヘイト減少がN％増加
246,装備中のタリスマンに与えられたレアスキルダメージ増加がN％増加
246,装備中のタリスマンに与えられたレアスキルダメージ減少がN％増加
233,レアスキルダメージ軽減
234,レアスキルダメージ軽減無効
246,レアスキルダメージ軽減％増加（装備中のタリスマン）
246,レアスキルダメージ軽減無効％増加（装備中のタリスマン）
246,通常攻撃増加率
