GuildRecordType,GuildRecordString
0,血盟員[Param1]さんが[Param2]アデナを寄付しました。
1,血盟員[Param1]さんが[Param2]個の血の証を寄付しました。
2,血盟強化効果[Param1]がレベル[Param2]になりました。
3,<FontYellow>血盟レベルがレベル[Param1]になりました。</>
4,[Param1]血盟との<FontRed>戦争が宣言</>されました。
6,[Param1]血盟と同盟関係を<FontBlue>締結</>しました。
7,[Param1]血盟との同盟関係が<FontRed>解除</>されました。
8,血盟員[Param1]さんがランク[Param2]になりました。
10,[Param1]さんが血盟に<FontBlue>参加</>しました。
11,[Param1]さんが血盟から<FontRed>退会</>しました。
12,<FontYellow>[Param1]さんから税金としてダイヤボックス[Param2]個を徴収しました。</>
13,"血盟ダンジョン<FontBlue>[Param1]</>をクリアしました。
活躍した血盟員 :  "
14,血盟功績<FontGreen>[Param1]</>を達成しました。
15,<FontYellow>[Param1]の主になりました。</>
16,<FontYellow>[Param1]の主になりました。</>
17,血盟員[Param1]さんに[Param2][Param3]個を<FontGreen>プレゼント</>しました。
18,血盟員[Param1]さんに[Param2][Param3]個を<FontBlue>褒賞</>しました。
19,すべての血盟員に[Param1][Param2]個を<FontBlue>褒賞</>しました。
20,[Param1]血盟との戦いで<FontBlue>勝利</>しました。
21,[Param1]血盟との戦いで<FontRed>敗北</>しました。
22,[Param1]血盟との戦いは引き分けになりました。
23,血盟主[Param1]さんが攻城ショップにて[Param2]を購入しました。
24,血盟員[Param1]さんが[Param2]個のレッドスターストーンを寄付しました。
9,[Param1]さんが[Param2]さんに<FontRed>血盟主を自動委任</>
25,<FontYellow>血盟アジトを購入しました。</>
26,<FontYellow>血盟アジトがレベル[Param1]になりました。</>
27,<FontYellow>結束のクリスタルがレベル[Param1]に成長しました。</>
28,[Param1]の所有権を放棄する予定です。
29,[Param1]の所有権を放棄しました。
30,[Param1]血盟との戦争は相互の合意により終了しました。
