Id,Title,Desc
1001,即時,即時
1002,レベル10プレゼント,レベル10を達成しよう
1003,レベル20プレゼント,レベル20を達成しよう
1004,レベル30プレゼント,レベル30を達成しよう
1005,レベル45プレゼント,レベル45を達成しよう
1006,レベル70プレゼント,レベル70を達成しよう
1007,レベル120プレゼント,レベル120を達成しよう
10011,即時,即時
10012,1日目のログイン,1日ログイン
10013,2日目のログイン,2日ログイン
10014,3日目のログイン,3日ログイン
10015,4日目のログイン,4日ログイン
10016,5日目のログイン,5日ログイン
10017,6日目のログイン,6日ログイン
10018,7日目のログイン,7日ログイン
10021,即時,
10022,URランク武器獲得,URランクの武器を獲得しよう
10023,URランクヘルム獲得,URランクのヘルムを獲得しよう
10024,URランクアーマー獲得,URランクのアーマーを獲得しよう
10025,URランクグローブ獲得,URランクのグローブを獲得しよう
10026,URランクブーツ獲得,URランクのブーツを獲得しよう
10027,URランクリング獲得,URランクのリングを獲得しよう
10028,URランクイヤリング獲得,URランクのイヤリングを獲得しよう
10029,URランクネックレス獲得,URランクのネックレスを獲得しよう
10031,即時,
10032,話せる島東部,話せる島東部のシナリオクリア
10033,話せる島西部,話せる島西部のシナリオクリア
10034,グルーディン街道,グルーディン街道のシナリオクリア
10035,グルーディオ平原,グルーディオ平原のシナリオクリア
10036,ウィンダウッド荘園,ウィンダウッド荘園のシナリオクリア
10037,荒地,荒地のシナリオクリア
10038,ディオン牧草地,ディオン牧草地のシナリオクリア
10039,クルマ湿地,クルマ湿地のシナリオクリア
10040,闘争の峰,闘争の峰のシナリオクリア
10041,絶叫の地,絶叫の地のシナリオクリア
1101,即時,即時
1102,130レベルプレゼント,レベル130を達成してください。
1103,140レベルプレゼント,レベル140を達成してください。
1104,150レベルプレゼント,レベル150を達成してください。
1105,160レベルプレゼント,レベル160を達成してください。
1106,170レベルプレゼント,レベル170を達成してください。
1107,180レベルプレゼント,レベル180を達成してください。
11041,即時,
11042,ギラン自治領,ギラン自治領のシナリオクリア
11043,死霧の海岸,死霧の海岸のシナリオクリア
11044,悪魔の島,悪魔の島のシナリオクリア
11045,死の沿道,死の沿道のシナリオクリア
