Id,Vlue
1,\ 
2,bitch
3,clitoris
4,fuck
5,Gスポット 
6,penis
7,porno
8,sex
9,sperm
10,vagina
11,xvideo
12,ш
13,ъ
14,ь
15,あいえき
16,アイヌ
17,あいのこ
18,あおかん
19,アオカン
20,ｱｵｶﾝ
21,アダルト
22,ｱﾅﾙ
23,アナル
24,アヌス
25,ｱﾇｽ
26,イラマチオ
27,いんかく
28,いんけい
29,インケイ
30,ｲﾝｹｲ
31,いんしん
32,インシン
33,ｲﾝｼﾝ
34,いんのう
35,いんばい
36,インバイ
37,ｲﾝﾊﾞｲ
38,いんぽ
39,インポ
40,ｲﾝﾎﾟ
41,いんらん
42,インラン
43,ｲﾝﾗﾝ
44,う゛ぁぎな
45,ヴァギナ
46,うんこ
47,ウンコ
48,オシッコ
49,おちんちん
50,オチンチン
51,ｵﾁﾝﾁﾝ
52,オナチン
53,おなちん
54,おなに
55,オナニ
56,ｵﾅﾆ
57,オナホ
58,おまんこ
59,オマンコ
60,ｵﾏﾝｺ
61,おまんちょ
62,オマンチョ
63,ｵﾏﾝﾁｮ
64,おまんちん
65,オマンチン
66,ｵﾏﾝﾁﾝ
67,おまんまん
68,おめこ
69,オメコ
70,ｵﾒｺ
71,カウパー
72,キチガイ
73,きちがい
74,きんたま
75,キンタマ
76,クソ
77,くりとりす
78,ｸﾘﾄﾘｽ
79,クリトリス
80,クンニ
81,ｸﾝﾆ
82,ざーめん
83,ザーメン
84,ｻﾞｰﾒﾝ
85,シコシコ
86,しっくすないん
87,シックスナイン
88,ｼｯｸｽﾅｲﾝ
89,シネ
90,すかとろ
91,ｽｶﾄﾛ
92,スカトロ
93,スケマン
94,すけまん
95,すぺるま
96,スペルマ
97,ｽﾍﾟﾙﾏ
98,すまた
99,スマタ
100,ｽﾏﾀ
101,せっくす
102,ｾｯｸｽ
103,セックス
104,セフレ
105,せんずり
106,センズリ
107,ｾﾝｽﾞﾘ
108,ソープランド
109,ｿｰﾌﾟﾗﾝﾄﾞ
110,ソリマン
111,そりまん
112,タダマン
113,ただまん
114,たまきん
115,タマキン
116,ﾀﾏｷﾝ
117,ちんかす
118,チンカス
119,ちんげ
120,チンゲ
121,ﾁﾝｹﾞ
122,ちんこ
123,チンコ
124,チンチン
125,ちんちん
126,ﾁﾝﾁﾝ
127,ちんぽ
128,チンポ
129,ﾁﾝﾎﾟ
130,ちんぽこ
131,チンポコ
132,ﾁﾝﾎﾟｺ
133,ちん毛
134,デカチン
135,でかちん
136,てこき
137,テコキ
138,ﾃｺｷ
139,てまん
140,テマン
141,ﾃﾏﾝ
142,デリバリーヘルス
143,ﾃﾞﾘﾊﾞﾘｰﾍﾙｽ
144,デリヘル
145,ﾃﾞﾘﾍﾙ
146,テレクラ
147,なまほんばん
148,ナマ本番
149,ヌレマン
150,ぬれまん
151,ぱいずり
152,パイズリ
153,ﾊﾟｲｽﾞﾘ
154,パイパン
155,ハミチン
156,はみちん
157,ハメ撮り
158,ピンクローター
159,ファック
160,ふぇら
161,フェラ
162,ﾌｪﾗ
163,ふぇらちお
164,ﾌｪﾗﾁｵ
165,フェラチオ
166,ぺにす
167,ペニス
168,ヘルス
169,ヘロイン
170,ぽこちん
171,ポコチン
172,ﾎﾟｺﾁﾝ
173,ぼっき
174,ボッキ
175,ﾎﾞｯｷ
176,マソコ
177,マンゲ
178,ﾏﾝｹﾞ
179,マンコ
180,まんこ
181,マンズリ
182,まんずり
183,まんちつ
184,マンビラ
185,まんびら
186,マン開
187,マン汁
188,マン拓
189,マン毛
190,まん毛
191,もりマン
192,もりまん
193,モリマン
194,ﾓﾘﾏﾝ
195,やりちん
196,ヤリチン
197,ﾔﾘﾁﾝ
198,やりまん
199,ヤリマン
200,ﾔﾘﾏﾝ
201,ラブジュース
202,ﾗﾌﾞｼﾞｭｰｽ
203,れいぷ
204,ﾚｲﾌﾟ
205,レイプ
206,れずびあん
207,レズビアン
208,ﾚｽﾞﾋﾞｱﾝ
209,ローター
210,ロリコン
211,ろりこん
212,ロリロリ
213,ろりろり
214,愛液
215,愛撫
216,淫姦
217,淫売
218,淫縛
219,淫蜜
220,淫毛
221,淫乱
222,陰核
223,陰茎
224,陰唇
225,陰嚢
226,陰毛
227,姦
228,姦淫
229,姦通
230,顔射
231,亀頭
232,菊門
233,虐殺
234,虐犯
235,巨チン
236,巨根
237,強姦
238,近親相姦
239,金玉
240,愚鈍
241,殺す
242,指マン
243,死姦
244,自慰
245,自閉症児
246,失禁
247,射精
248,手コキ
249,手マン
250,受精
251,獣姦
252,女陰
253,女傑
254,女中
255,女郎
256,娼婦
257,小陰唇
258,小便
259,上陰唇
260,親近相姦
261,性感
262,性交
263,性行為
264,性欲
265,生セラ
266,生ハメ
267,生フェラ
268,精液
269,精子
270,青姦
271,粗チン
272,素股
273,早漏
274,相姦
275,大陰唇
276,脱糞
277,男汁
278,男性器
279,恥姦
280,痴女
281,中出し
282,潮吹き
283,童貞
284,肉ビラ
285,肉便器
286,肉棒
287,肉壺
288,尿道
289,濡れマン
290,排便
291,排泄
292,買春
293,売春
294,売春婦
295,売女
296,発情液
297,糞
298,糞尿
299,文盲
300,変態
301,包茎
302,放尿
303,暴姦
304,勃起
305,本気汁
306,欲情
307,乱姦
308,乱交
309,裏ビデオ
310,凌虐
311,凌辱
312,凌犯
313,陵辱
314,輪姦
315,和姦
316,浣腸
317,睾丸
318,肛門
319,膣
