Id,Value,ButtonString1,ButtonString2
1,[ChatString],,
2,サーバーから切断されたため、再接続しました。,,
3,パーティが作成されました。,,
4,パーティに参加しました。,,
5,<FontGreen>[Name]</>さんがパーティに参加しました。,,
6,パーティを退会しました。,,
7,<FontGreen>[Name]</>さんがパーティを退会しました。,,
8,パーティから追放されました。,,
9,<FontGreen>[Name]</>さんがパーティから追放されました。,,
10,パーティリーダーになりました。,,
11,<FontGreen>[Name]</>さんにパーティリーダーが委任されました。,,
12,パーティが解散されました。,,
13,"<FontGreen>[Name]</>さんからパーティに招待されました。
参加しますか？<FontRed>[Seconds]</>秒",拒否,参加
14,パーティへの参加が断られました。,,
15,"パーティの承認要請があります。
承認しますか？<FontRed>[Seconds]</>秒",拒否,承認
16,自動パーティがキャンセルされました。,,
17,"場所：<FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontBlue>[Name]</>さんの冒険に参加しますか？<FontRed>[Seconds]</>秒",拒否,承認
18,"場所：<FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontRed>[Seconds]</>秒後<FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
に入場します。戦闘に備えてください。",,
19,"場所：<FontGreen>[WorldName]</>
<FontBlue>[Name]</>さんに招集されました。
移動しますか？<FontRed>[Seconds]</>秒",徒歩で移動,ポータルで移動
20,"場所：<FontGreen>[WorldName]</>
<FontBlue>[Name]</>さんに招集されました。
移動しますか？<FontRed>[Seconds]</>秒",閉じる,入場
21,"場所：<FontGreen>[WorldName]</>
パーティの集合場所に移動しますか？<FontRed>[Seconds]</>秒",徒歩で移動,ポータルで移動
22,"場所：<FontGreen>[WorldName]</>
パーティの集合場所に移動しますか？<FontRed>[Seconds]</>秒",閉じる,入場
23,"<FontYellow>[Battlefield]</>パーティを作成しました。
<FontGreen>1人で</>もしくは他のプレイヤーと<FontGreen>パーティ</>を構成して戦場に参加しましょう。",,
24,<FontYellow>[Battlefield]</>パーティに合流しました。,,
25,<FontGreen>[Name]</>さんが<FontYellow>[Battlefield]</>パーティに合流しました。,,
26,<FontYellow>[Battlefield]</>パーティが解散しました。,,
27,<FontYellow>[Battlefield]</>パーティを退会しました。,,
28,<FontGreen>[Name]</>さんが<FontYellow>[Battlefield]</>パーティを退会しました。,,
29,"<FontGreen>[Name]</>([Power])さんが戦場パーティに招待しました。
<FontYellow>[Battlefield]</>パーティを承認しますか？<FontRed>[Seconds]</>秒",拒否,承認
30,"<FontYellow>[BattlefieldType]</>マッチングが成立しました。
<FontRed>[Seconds]</>秒後に戦場に入場します。戦闘に備えてください。",,
31,[Name]さんからフレンド申請されました。,フレンド,
32,[Name]さんとフレンドになりました。,フレンド,
33,<FontYellow>血盟主が血盟のシンボルを変更しました。</>,,
34,血盟員の[Name]さんが<FontGreen>[Name2]</>さんにキャラクター名を変更,,
35,<FontGreen>[Param1]</>さんがログインしました。,,
36,血盟員<FontGreen>[Name]</>さんが<FontGreen>[Count][AssetsType]</>{[AssetsType]|を}寄付しました。,,
37,<FontGreen>[Param1]</>さんが血盟に<FontBlue>参加</>しました。,,
38,<FontGreen>[Param1]</>さんが血盟から<FontRed>退会</>しました。,,
39,<FontGreen>[Name]</>さんが血盟から<FontRed>追放</>されました。,,
40,<FontBlue>[GuildName]</>血盟に招待されました。,拒否,承認
41,<FontBlue>[Name]</>さんが招待を断りました。,,
42,<FontYellow>血盟への加入申請があります。</>,血盟,
43,<FontBlue>[GuildName]</>血盟に加入しました。,血盟,
44,<FontBlue>[GuildName]</>血盟への加入が<FontRed>断られました。</>,,
45,血盟から退会させられました。,,
46,<FontGreen>[Param1]</>さんのランクが<FontBlue>[Param2]</>{[Param2]|に} なりました。,,
47,<FontGreen>[Param1]</>さんが新しい血盟主に任命されました。,,
48,血盟主が長らくログインしていないため<FontGreen>[Param1]</>さんが新しい血盟主に任命されました。,,
49,[Param1]さんが<FontGreen>[Param2]</>さんを褒賞しました。,,
50,[Param1]さんが<FontGreen>全血盟員</>を褒賞しました。,,
