Id,LightningEffectResource,Type,FireSocket,OffsetX,OffsetY,OffsetZ
1,Common/SkillTargetingBeam_01,Chain,FX_TOP,0,0,0
2,Common/SkillTargetingBeam_01,Chain,Socket_Fire_2,0,0,0
3,Common/SkillTargetingBeam_01,Chain,Bip01-L-Hand,0,0,0
4,Common/SkillTargetingBeam_01,Chain,Bip01-R-Hand,0,0,0
5,Common/SkillTargetingBeam_01,Chain,WeaponL,0,0,0
6,Common/SkillTargetingBeam_01,Chain,WeaponR,0,0,0
7,Common/SkillTargetingBeam_01,Forked,FX_TOP,0,0,0
8,Common/SkillTargetingBeam_01,Forked,Socket_Fire_2,0,0,0
9,Common/SkillTargetingBeam_01,Forked,Bip01-L-Hand,0,0,0
10,Common/SkillTargetingBeam_01,Forked,Bip01-R-Hand,0,0,0
11,Common/SkillTargetingBeam_01,Forked,WeaponL,0,0,0
12,Common/SkillTargetingBeam_01,Forked,WeaponR,0,0,0
13,Common/SkillTargetingBeam_02,Chain,Socket_Center,0,0,0
14,Common/SkillTargetingBeam_03,Chain,Bone_InDeco_04_G02_Part_017,0,0,0
15,Common/Shelob_skill02_Beam,Forked,Socket_Bottom,0,0,0
16,Common/TargetingBeam,Chain,ArtifactCaptureEnd,0,0,0
17,Common/SkillTargetingBeam_03,Chain,ArtifactCaptureEnd,0,0,0
