Id,MssionGrade,TaskType,TaskCount,AutoCompleteTime,PassCost,RewardExp,RewardAdena,RewardIcon,MissionIcon
1,1,80,50,3600,5000,0,0,UI_Icon_RankC_RE,50
2,1,14,100,3600,5000,0,0,UI_Icon_RankC_RE,50
3,1,41,30,3600,5000,0,0,UI_Icon_RankC_RE,50
4,1,50,3,3600,5000,0,0,UI_Icon_RankC_RE,50
5,1,50,50,3600,5000,0,0,UI_Icon_RankC_RE,50
6,2,55,1,7200,10000,0,0,UI_Icon_RankB_RE,51
7,2,81,70,7200,10000,0,0,UI_Icon_RankB_RE,51
8,2,80,100,7200,10000,0,0,UI_Icon_RankB_RE,51
9,2,50,3,7200,10000,0,0,UI_Icon_RankB_RE,51
10,2,94,1,7200,10000,0,0,UI_Icon_RankB_RE,51
11,3,55,1,10800,15000,0,0,UI_Icon_RankA_RE,52
12,3,80,150,10800,15000,0,0,UI_Icon_RankA_RE,52
13,3,14,200,10800,15000,0,0,UI_Icon_RankA_RE,52
14,3,41,60,10800,15000,0,0,UI_Icon_RankA_RE,52
15,4,140,2,14400,20000,0,0,UI_Icon_RankS_RE,53
16,4,80,200,14400,20000,0,0,UI_Icon_RankS_RE,53
17,4,50,5,14400,20000,0,0,UI_Icon_RankS_RE,53
18,4,50,2,14400,20000,0,0,UI_Icon_RankS_RE,53
19,4,50,2,14400,20000,0,0,UI_Icon_RankS_RE,53
20,5,57,5,18000,25000,0,0,UI_Icon_RankR_RE,54
21,5,41,1000,18000,25000,0,0,UI_Icon_RankR_RE,54
22,5,11,2000,18000,25000,0,0,UI_Icon_RankR_RE,54
23,5,140,3,18000,25000,0,0,UI_Icon_RankR_RE,54
24,5,80,250,18000,25000,0,0,UI_Icon_RankR_RE,54
25,5,14,300,18000,25000,0,0,UI_Icon_RankR_RE,54
26,1,80,50,3600,5000,0,0,UI_Icon_RankC_RE,50
27,1,14,100,3600,5000,0,0,UI_Icon_RankC_RE,50
28,1,41,30,3600,5000,0,0,UI_Icon_RankC_RE,50
29,1,50,3,3600,5000,0,0,UI_Icon_RankC_RE,50
30,1,50,50,3600,5000,0,0,UI_Icon_RankC_RE,50
31,2,55,1,7200,10000,0,0,UI_Icon_RankB_RE,51
32,2,81,70,7200,10000,0,0,UI_Icon_RankB_RE,51
33,2,80,100,7200,10000,0,0,UI_Icon_RankB_RE,51
34,2,50,3,7200,10000,0,0,UI_Icon_RankB_RE,51
35,2,94,1,7200,10000,0,0,UI_Icon_RankB_RE,51
36,3,55,1,10800,15000,0,0,UI_Icon_RankA_RE,52
37,3,80,150,10800,15000,0,0,UI_Icon_RankA_RE,52
38,3,14,200,10800,15000,0,0,UI_Icon_RankA_RE,52
39,3,41,60,10800,15000,0,0,UI_Icon_RankA_RE,52
40,4,140,2,14400,20000,0,0,UI_Icon_RankS_RE,53
41,4,80,200,14400,20000,0,0,UI_Icon_RankS_RE,53
42,4,50,5,14400,20000,0,0,UI_Icon_RankS_RE,53
43,4,50,2,14400,20000,0,0,UI_Icon_RankS_RE,53
44,4,50,2,14400,20000,0,0,UI_Icon_RankS_RE,53
45,5,57,5,18000,25000,0,0,UI_Icon_RankR_RE,54
46,5,41,1000,18000,25000,0,0,UI_Icon_RankR_RE,54
47,5,11,2000,18000,25000,0,0,UI_Icon_RankR_RE,54
48,5,140,3,18000,25000,0,0,UI_Icon_RankR_RE,54
49,5,80,250,18000,25000,0,0,UI_Icon_RankR_RE,54
50,5,14,300,18000,25000,0,0,UI_Icon_RankR_RE,54
51,1,80,50,3600,5000,0,0,UI_Icon_RankC_RE,50
52,1,14,100,3600,5000,0,0,UI_Icon_RankC_RE,50
53,1,41,30,3600,5000,0,0,UI_Icon_RankC_RE,50
54,1,50,3,3600,5000,0,0,UI_Icon_RankC_RE,50
55,1,50,50,3600,5000,0,0,UI_Icon_RankC_RE,50
56,2,55,1,7200,10000,0,0,UI_Icon_RankB_RE,51
57,2,81,70,7200,10000,0,0,UI_Icon_RankB_RE,51
58,2,80,100,7200,10000,0,0,UI_Icon_RankB_RE,51
59,2,50,3,7200,10000,0,0,UI_Icon_RankB_RE,51
60,2,94,1,7200,10000,0,0,UI_Icon_RankB_RE,51
61,3,55,1,10800,15000,0,0,UI_Icon_RankA_RE,52
62,3,80,150,10800,15000,0,0,UI_Icon_RankA_RE,52
63,3,14,200,10800,15000,0,0,UI_Icon_RankA_RE,52
64,3,41,60,10800,15000,0,0,UI_Icon_RankA_RE,52
65,4,140,2,14400,20000,0,0,UI_Icon_RankS_RE,53
66,4,80,200,14400,20000,0,0,UI_Icon_RankS_RE,53
67,4,50,5,14400,20000,0,0,UI_Icon_RankS_RE,53
68,4,50,2,14400,20000,0,0,UI_Icon_RankS_RE,53
69,4,50,2,14400,20000,0,0,UI_Icon_RankS_RE,53
70,5,57,5,18000,25000,0,0,UI_Icon_RankR_RE,54
71,5,41,1000,18000,25000,0,0,UI_Icon_RankR_RE,54
72,5,11,2000,18000,25000,0,0,UI_Icon_RankR_RE,54
73,5,140,3,18000,25000,0,0,UI_Icon_RankR_RE,54
74,5,80,250,18000,25000,0,0,UI_Icon_RankR_RE,54
75,5,14,300,18000,25000,0,0,UI_Icon_RankR_RE,54
76,1,80,50,3600,5000,0,0,UI_Icon_RankC_RE,50
77,1,14,200,3600,5000,0,0,UI_Icon_RankC_RE,50
78,1,41,40,3600,5000,0,0,UI_Icon_RankC_RE,50
79,1,50,5,3600,5000,0,0,UI_Icon_RankC_RE,50
80,1,50,50,3600,5000,0,0,UI_Icon_RankC_RE,50
81,2,55,2,7200,10000,0,0,UI_Icon_RankB_RE,51
82,2,81,70,7200,10000,0,0,UI_Icon_RankB_RE,51
