Leve,MissionGrade,RewardExp,RewardAdena
1,1,680,330
1,2,820,400
1,3,1020,500
1,4,1380,670
1,5,2060,1000
2,1,880,330
2,2,1060,400
2,3,1320,500
2,4,1760,670
2,5,2640,1000
3,1,980,330
3,2,1180,400
3,3,1480,500
3,4,1960,670
3,5,2940,1000
4,1,1080,330
4,2,1300,400
4,3,1620,500
4,4,2160,670
4,5,3240,1000
5,1,1380,330
5,2,1640,400
5,3,2060,500
5,4,2740,670
5,5,4120,1000
6,1,1660,330
6,2,2000,400
6,3,2500,500
6,4,3340,670
6,5,5000,1000
7,1,2260,330
7,2,2700,400
7,3,3380,500
7,4,4500,670
7,5,6760,1000
8,1,3140,330
8,2,3760,400
8,3,4700,500
8,4,6280,670
8,5,9400,1000
9,1,4220,330
9,2,5060,400
9,3,6320,500
9,4,8420,670
9,5,12640,1000
10,1,5880,330
10,2,7000,400
10,3,8800,500
10,4,11800,670
10,5,17600,1000
11,1,8400,330
11,2,10200,400
11,3,12600,500
11,4,16800,670
11,5,25200,1000
12,1,10600,330
12,2,12600,400
12,3,15800,500
12,4,21000,670
12,5,31600,1000
13,1,2600,330
13,2,3000,400
13,3,3800,500
13,4,5000,670
13,5,7600,1000
14,1,2800,330
14,2,3400,400
14,3,4200,500
14,4,5600,670
14,5,8200,1000
15,1,3400,330
15,2,4000,400
15,3,5200,500
15,4,6800,670
15,5,10200,1000
16,1,4200,330
16,2,5000,400
16,3,6400,500
16,4,8400,670
16,5,12600,1000
17,1,5200,330
17,2,6200,400
17,3,7600,500
17,4,10200,670
17,5,15400,1000
18,1,6200,330
18,2,7400,400
18,3,9200,500
18,4,12200,670
18,5,18400,1000
19,1,7200,330
19,2,8600,400
19,3,10800,500
19,4,14400,670
19,5,21600,1000
20,1,8400,330
20,2,10000,400
20,3,12600,500
20,4,16600,670
20,5,25000,1000
21,1,9400,330
21,2,11200,400
21,3,14000,500
21,4,18800,670
21,5,28000,1000
22,1,10400,330
22,2,12600,400
22,3,15800,500
22,4,21000,670
22,5,31400,1000
23,1,11600,330
23,2,13800,400
23,3,17200,500
23,4,23000,670
23,5,34600,1000
24,1,12400,330
24,2,14800,400
24,3,18600,500
24,4,24800,670
24,5,37200,1000
25,1,13000,330
25,2,15600,400
25,3,19600,500
25,4,26200,670
25,5,39200,1000
26,1,13200,330
26,2,15800,400
26,3,19800,500
26,4,26400,670
26,5,39600,1000
27,1,13200,330
27,2,15800,400
27,3,19600,500
27,4,26200,670
27,5,39400,1000
28,1,12400,330
28,2,14800,400
28,3,18600,500
28,4,24800,670
28,5,37200,1000
29,1,14600,330
29,2,17400,400
29,3,21800,500
29,4,29000,670
29,5,43600,1000
30,1,17000,330
30,2,20400,400
30,3,25400,500
30,4,34000,670
30,5,51000,1000
31,1,17400,330
31,2,21000,400
31,3,26200,500
31,4,34800,670
31,5,52400,1000
32,1,18600,330
32,2,22400,400
32,3,28000,500
32,4,37200,670
32,5,55800,1000
33,1,19400,330
33,2,23200,400
33,3,29000,500
33,4,38800,670
33,5,58000,1000
34,1,19800,330
34,2,23600,400
34,3,29600,500
34,4,39400,670
34,5,59200,1000
35,1,19800,500
35,2,23800,600
35,3,29600,750
35,4,39600,1000
35,5,59200,1500
36,1,20800,500
36,2,25000,600
36,3,31400,750
36,4,41800,1000
36,5,62600,1500
37,1,21800,500
37,2,26200,600
37,3,32800,750
37,4,43800,1000
37,5,65600,1500
38,1,22000,500
38,2,26400,600
38,3,33000,750
38,4,44000,1000
38,5,66000,1500
39,1,22800,500
39,2,27400,600
39,3,34200,750
39,4,45600,1000
39,5,68200,1500
40,1,23400,500
40,2,28000,600
40,3,35200,750
40,4,46800,1000
40,5,70200,1500
41,1,24000,500
41,2,28800,600
41,3,36000,750
41,4,48000,1000
41,5,72000,1500
42,1,24400,500
42,2,29400,600
42,3,36600,750
42,4,49000,1000
42,5,73400,1500
43,1,24800,500
43,2,29800,600
43,3,37400,750
43,4,49800,1000
43,5,74600,1500
44,1,24800,500
44,2,29800,600
44,3,37400,750
44,4,49800,1000
44,5,74600,1500
45,1,25200,500
45,2,30200,600
45,3,37800,750
