Id,Type,WorldMove,ActivateType,ActivateValue,BpName,ControlPath,QuestPanelControlBlock,ItemRecommendPopup,Skippable
1,0,1,0,,,,1,,1
2,0,1,9,1,,,0,,1
3,0,1,9,3,,,0,,1
4,1,0,4,1001,,,0,,1
6,1,0,4,1002,,,0,,1
11,1,1,5,,,,0,,1
12,1,1,5,,,,0,,1
13,1,0,5,,,,0,,0
14,1,1,5,,,,0,,1
15,1,1,5,,,,0,1,1
16,1,1,5,,,,0,,1
17,1,1,5,,,,0,,1
18,1,1,5,,,,0,,1
19,1,1,5,,,,0,,1
20,1,1,1,14,BP_GuildEntranceUI,,0,,1
21,1,1,5,,,,0,,1
22,1,1,5,,,,0,,1
23,1,1,5,,,,0,,1
24,1,1,5,,,,0,,1
25,1,1,1,17,BP_EquipmentEnhancementUI,CheckBoxUpgrade,0,,1
26,1,1,1,13,BP_EquipmentEnhancementUI,CheckBoxEnchant,0,,1
27,1,1,5,,,,0,,1
28,1,1,5,,,,0,,1
29,1,1,5,,,,0,,1
30,1,1,5,,,,0,,1
101,1,1,1,,BP_FriendUI,,0,,1
102,1,1,1,,BP_PartyMenuUI,,0,,1
104,1,1,1,,BP_AuctionHouseUI,,0,,1
112,1,1,1,19,BP_TotalQuestMenuUI,CheckBoxDailyQuest,0,,1
113,1,1,1,20,BP_TotalQuestMenuUI,CheckBoxWeeklyQuest,0,,1
114,1,1,8,1,BP_MainMenuUI,,0,,1
115,1,1,6,20,BP_MainMenuUI,,0,,1
116,1,1,8,2,BP_MainMenuUI,,0,,1
117,1,1,1,,BP_SelectGuildDungeonUI,,0,,1
118,1,1,1,,BP_TotalQuestMenuUI,,0,,1
201,1,1,2,31,BP_ClassTransferQuestUI,,0,,1
202,1,1,5,,,,0,,1
203,1,1,5,,,,0,,1
205,1,1,5,,,,0,,1
206,1,1,1,,BP_CharacterTitleUI,,0,,1
31,1,1,4,33,,,0,,1
32,1,1,5,,,,0,,1
