TutorialId,Step,Id,ProcessRequest,SystemMessagePosition,NpcPortrait,TaskType,UIType,SkillActivateType,TaskParam,TaskTargetPosX,TaskTargetPosY,BPName,WidgetName,ControlName,ControlIndexType,ControlIndex,MoviePath,Sound,SkipFadeOutKeep,LogIndex,CloseAllUi
1,1,1001,0,3,,10,5,,,,,,,,4,,./Movies/Lineage2_Intro_720P.mp4,,0,5,0
1,2,1002,1,3,,16,5,,500,,,,,,4,,,,0,,0
2,1,2001,0,3,,2,5,,Tutor_Scene04_01,,,,,,4,,,,1,7,0
2,2,2002,1,3,,16,5,,500,,,,,,4,,,,0,,0
3,1,3001,0,3,,2,5,,CutScene,,,,,,4,,,,0,,0
3,2,3002,1,2,Noble_03,0,4,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_03_1,0,,0
4,1,4001,0,3,,16,4,,1500,,,,,,4,,,,0,,0
4,2,4002,1,2,Resident_04_03,0,4,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_04_1,0,,0
6,1,6001,1,2,Resident_04_03,0,4,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_06_1,0,,0
11,1,11001,0,2,Officer,0,4,,,,,BP_GameUI,MainToolbar,ButtonInventory,4,,,Tutorial_Dialogue_11_1,0,,0
11,2,11002,1,3,,16,4,,,,,,,,4,,,,0,,0
11,3,11003,0,2,Officer,0,4,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,ButtonAutoEquip,4,,,,0,,0
11,4,11004,0,3,,16,4,,2000,,,,,,4,,,,0,,0
11,5,11005,0,3,Officer,24,4,,,,,,,,4,,,,0,,0
11,6,11006,1,3,,19,4,,,,,,,,4,,,,0,,0
12,1,12001,1,3,Fernel,24,4,,,,,,,,4,,,Tutorial_Dialogue_12_1,0,,0
12,2,12002,0,1,Fernel,0,4,,,,,BP_GameUI,PotionUI,ButtonSoulshot,4,,,,0,,0
12,3,12003,0,3,Fernel,24,4,,,,,,,,4,,,,0,,0
12,4,12004,0,3,Fernel,24,4,,,,,,,,4,,,,0,,0
12,5,12005,0,3,Fernel,24,4,,,,,,,,4,,,,0,,0
12,6,12006,0,3,Fernel,24,4,,,,,,,,4,,,,0,,0
12,7,12007,1,3,,19,4,,,,,,,,4,,,,0,,0
13,1,13001,0,1,Student_01_02,0,4,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_13_1,0,,0
13,2,13002,0,1,Student_01_02,0,4,,,,,BP_MainMenuUI,,CheckBoxDungeon,4,,,,0,,0
13,3,13003,0,1,Student_01_02,0,4,,,,,BP_MainMenuUI,,ButtonDungeonMain,4,,,,0,,0
13,4,13004,0,3,Student_01_02,24,4,,,,,,,,4,,,,0,,0
13,5,13005,0,3,Student_01_02,24,4,,,,,,,,4,,,,0,,0
13,6,13006,0,0,Student_01_02,0,4,,,,,BP_SelectDungeonUI,,TileViewDungeonList,4,0,,,0,,0
13,7,13007,1,3,Student_01_02,24,4,,,,,,,,4,,,,0,,0
13,8,13008,0,3,Student_01_02,24,4,,,,,,,,4,,,,0,,0
13,9,13009,0,3,Student_01_02,24,4,,,,,,,,4,,,,0,,0
13,10,13010,0,0,Student_01_02,0,4,,,,,BP_DailyDungeonUI,CanvasPanelLeft,TableViewDifficulty,4,0,,,0,,0
