Id,GroupId,Name,UnusedGrade,ItemGrade,ItemMaxGrade
1,10,AUCTION_HOUSE_TYPE_ALL,1,18,18
2,11,AUCTION_HOUSE_TYPE_ALL,1,18,18
201,20,AUCTION_SUB_GROUP_SWORD,0,4,7
202,20,AUCTION_SUB_GROUP_DUALSWORD,0,4,7
203,20,AUCTION_SUB_GROUP_DAGGER,0,4,7
204,20,AUCTION_SUB_GROUP_SPEAR,0,4,7
205,20,AUCTION_SUB_GROUP_BOW,0,4,7
206,20,AUCTION_SUB_GROUP_STAFF,0,4,7
207,21,AUCTION_SUB_GROUP_WEAPONMATERIAL,0,4,7
301,30,AUCTION_SUB_GROUP_HELMET,0,4,7
302,30,AUCTION_SUB_GROUP_ARMOR,0,4,7
303,30,AUCTION_SUB_GROUP_GLOVES,0,4,7
304,30,AUCTION_SUB_GROUP_BOOTS,0,4,7
305,31,AUCTION_SUB_GROUP_ARMORMATERIAL,0,4,7
401,40,AUCTION_SUB_GROUP_EARRING,0,4,7
402,40,AUCTION_SUB_GROUP_RING,0,4,7
403,40,AUCTION_SUB_GROUP_NECKLACE,0,4,7
404,41,AUCTION_SUB_GROUP_ACCESSORYMATERIAL,0,4,7
501,50,AUCTION_SUB_GROUP_ATTACKPOWER,0,4,7
502,50,AUCTION_SUB_GROUP_DEFENSEPOWER,0,4,7
503,50,AUCTION_SUB_GROUP_HP,0,4,7
504,50,AUCTION_SUB_GROUP_HIT,0,4,7
505,50,AUCTION_SUB_GROUP_DODGE,0,4,7
506,50,AUCTION_SUB_GROUP_CRITICAL,0,4,7
507,50,AUCTION_SUB_GROUP_ANTICRITICAL,0,4,7
508,50,AUCTION_SUB_GROUP_PENETRATION,0,4,7
509,50,AUCTION_SUB_GROUP_RESILIENCE,0,4,7
511,51,AUCTION_SUB_GROUP_SOULCRYSTALMATERIAL,0,4,6
605,60,AUCTION_SUB_GROUP_REDHERB,1,18,18
606,60,AUCTION_SUB_GROUP_BLUEHERB,1,18,18
607,60,AUCTION_SUB_GROUP_PURPLEHERB,1,18,18
608,60,AUCTION_SUB_GROUP_YELLOWHERB,1,18,18
609,60,AUCTION_SUB_GROUP_REDRECIPE,1,18,18
610,60,AUCTION_SUB_GROUP_BLUERECIPE,1,18,18
611,60,AUCTION_SUB_GROUP_PURPLERECIPE,1,18,18
612,60,AUCTION_SUB_GROUP_YELLOWRECIPE,1,18,18
701,70,AUCTION_SUB_GROUP_WEAPONENCHANTSCROLL,1,18,18
702,70,AUCTION_SUB_GROUP_ARMORENCHANTSCROLL,1,18,18
703,70,AUCTION_SUB_GROUP_ACCESSORYENCHANTSCROLL,1,18,18
704,70,AUCTION_SUB_GROUP_BLESSEDWEAPONENCHANTSCROLL,1,18,18
705,70,AUCTION_SUB_GROUP_BLESSEDARMORENCHANTSCROLL,1,18,18
706,70,AUCTION_SUB_GROUP_BLESSEDACCESSORYENCHANTSCROLL,1,18,18
707,70,AUCTION_SUB_GROUP_WEAPONUPGRADESTONE,1,18,18
708,70,AUCTION_SUB_GROUP_ARMORUPGRADESTONE,1,18,18
709,70,AUCTION_SUB_GROUP_ACCESSORYUPGRADESTONE,1,18,18
710,70,AUCTION_SUB_GROUP_PROTECTIONJEWEL,1,18,18
711,70,AUCTION_SUB_GROUP_ABILITYSTONE,0,4,7
712,70,AUCTION_SUB_GROUP_LIMITBREAK,0,6,7
801,80,AUCTION_SUB_GROUP_TALKINGSISLANDEASTERN,0,1,2
802,80,AUCTION_SUB_GROUP_TALKINGSISLANDEASWESTERN,0,1,4
803,80,AUCTION_SUB_GROUP_ELVENRUINS1,0,3,3
804,80,AUCTION_SUB_GROUP_ELVENRUINS2,0,3,5
805,80,AUCTION_SUB_GROUP_GLUDINMAINROAD,0,1,4
806,80,AUCTION_SUB_GROUP_GLUDIOPLAIN,0,1,4
807,80,AUCTION_SUB_GROUP_WINDAWOOD,0,1,4
808,80,AUCTION_SUB_GROUP_WASTELAND,0,1,4
809,80,AUCTION_SUB_GROUP_ANTTUNNEL1,0,3,3
810,80,AUCTION_SUB_GROUP_ANTTUNNEL2,0,3,5
811,80,AUCTION_SUB_GROUP_PASTURE,0,1,4
812,80,AUCTION_SUB_GROUP_CRUMASWAMP,0,1,4
813,80,AUCTION_SUB_GROUP_PEAKSOFSTRUGGLE,0,1,4
814,80,AUCTION_SUB_GROUP_SCREAM,0,1,5
815,80,AUCTION_SUB_GROUP_CRUMATOWER2,0,3,3
816,80,AUCTION_SUB_GROUP_CRUMATOWER3,0,3,5
