Id,Name,BuffType,ClientType,Param,EffectTypeName,Group,StackCount,Duration,Period,VisualEffectId,ExtendVisualEffectId,ExcpetRoomType,IconTexture,CameraShake,CameraShakeIntensity,Sound,Desc,DescAddBuffId,GetBuffVisible
4,중독,7,0,,독,,1,6000,2000,5,,,Icon_Debuff_Poison,,,,중독 되어 지속적으로 피해를 받습니다.,,0
6,몬스터 공통 숨기,7,5,,숨기,,1,3600000,,,,,Icon_Debuff_Poison,,,,,,0
7,루시퍼 - 절대 방어,7,6,"{""Color"":{""R"":1,""G"":1,""B"":1},
""Intensity"":1,
""Speed"":1}",,,1,6000000,,40020482,,,,,,,방어력이 믿을 수 없을 만큼 상승합니다. 30회 피격 시 제거됩니다.,,0
8,미로쿠 - 종말의 인도,7,6,"{""Color"":{""R"":255,""G"":1,""B"":1},
""Intensity"":10,
""Speed"":1}",,,1,6000000,,40020482,,,,,,,10만의 HP가 감소되면 제거됩니다.,,0
1000,보물 수호자,7,6,"{""Color"":{""R"":76,""G"":40,""B"":0},
""Intensity"":25,
""Speed"":7}",보물 수호자 글로우,,1,3600000,,1000,,,,,,,,,0
1001,공통 넉다운,7,2,,넉다운,1003,1,2000,,,,,,,,,,,0
1002,공통 넉다운,7,2,,넉다운,1003,1,2000,,,,,,,,,일반공격 막타용,,0
1003,공통 넉다운,7,2,,넉다운,1003,1,2500,,,,,,,,,,,0
1004,공통 무적,7,0,,무적,,1,10000,,,,,Icon_Buff_Invincible,,,,피해를 받지 않습니다.,,0
1005,부활 보호 버프,7,0,,무적,,1,10000,,,,,Icon_Buff_Invincible,,,,피해를 받지 않습니다. 적을 공격하면 무적 버프가 해제됩니다.,,0
1011,공통 기절,7,4,,기절,1002,1,2000,,1,,,Icon_Skill_Active_10122,,,,기절,,0
1012,공통 기절,7,4,,기절,1002,1,3500,,1,,,,,,,기절,,0
1013,공통 기절,7,4,,기절,1002,1,3000,,1,,,,,,,기절,,0
1014,공통 기절,7,4,,기절,1002,1,1501,,1,,,,,,,기절,,0
1015,공통 기절,7,4,,기절,1002,1,1501,,1,,,,,,,기절,,0
10111,러시 임팩트:넉다운,7,2,,넉다운,1003,1,2000,,,,,,,,,,,0
10122,어설트 슬래쉬:슬로우,7,0,,슬로우,1001,1,4000,,,,,Icon_Skill_Active_10122,,,,이동속도 {1%}% 감소,,0
11211,슬램,7,0,,어그로 획득량 증가,,1,8000,,,,,Icon_Skill_Active_11211,,,,어그로 획득량 50% 증가,,0
112124,벤젼스,7,10,,목표 고정(PC),,1,4000,,,,,Icon_Skill_Active_11212,,,,강제 공격,,0
112125,벤젼스,7,0,,공격력 감소,,1,8001,,,,,Icon_Skill_Active_11212,,,,공격력 {1} 감소,,0
112126,벤젼스,7,0,,목표 고정(NPC),,1,8000,,,,,,,,,,,0
11213,마제스티,7,0,,"마제스티:어그로증폭,물방/마방증폭,회피감소",,1,15001,,,,,Icon_Skill_Active_11213,,,,"방어력 {2%}% 증가, 모든 공격에 어그로 {1%}% 증가, 피해 {1%}% 반사",,0
11214,쉴드 오브 페이스,7,0,,쉴드 오브 페이스 : 버프 대상자가 피해 대신 흡수,,1,20001,,403,,,Icon_Skill_Active_11214,,,,피격 대미지의 50%를 버프를 부여한 대상 대신 흡수,,0
112141,쉴드 오브 페이스,7,0,,쉴드 오브 페이스 : 자신에게 피해 감소 버프,,1,20001,,,,,Icon_Skill_Active_11214,,,,피격 대미지 감소 {1%}%,,0
112142,쉴드 오브 페이스,7,0,,쉴드 오브 페이스 : 버프 대상자 숫자만큼 거는 버프,,5,20001,,,,,,,,,,,0
11221,저지먼트,7,0,,방어 감소,,1,6000,,,,,Icon_Skill_Active_11221,,,,,,0
11222,썬더 스톰,7,4,,스턴,1002,1,2000,,1,,,Icon_Skill_Active_11222,,,,기절,,0
112231,메이저러티 스위프,7,0,,"멀티히트:동시타격증폭, 공속증가",,1,15001,,,,,Icon_Skill_Active_11223,,,,"한번에 타격되는 적의 수 {1}인 증가, 공격속도 {2%}% 증가",,0
112241,버서커,7,6,"{""Color"":{""R"":255,""G:""12:,""B"":0},
""Intensity"":70,
""Overlay Exponent"":1.0}","버서커:동시타격증폭, 공격력증가, 크리티컬 확률 증가, 방어력 감소",,1,20001,,402,,,Icon_Skill_Active_11224,,,,"타격가능 적 {1}인 증가, 공격력 {2} 증가, 크리티컬 확률 {3%}% 증가, 방어력 {4} 감소",,0
11231,샌드 클라우드,7,0,,블라인드,,1,10001,,,,,Icon_Skill_Active_11231,,,,명중률 {1%}% 감소,,0
11232,백스텝:스턴,7,4,,스턴,1002,1,3000,,1,,,Icon_Skill_Active_11232,,,,기절,,0
112331,헤이스트,7,0,,헤이스트:공격 속도 증폭,,1,15001,,,,,Icon_Skill_Active_11233,,,,공격속도 {1%}%증가,,0
112332,헤이스트,7,0,,헤이스트:회피 증폭,,1,15001,,,,,Icon_Skill_Active_11233,,,,회피 {1%}%증가,,0
112341,섀도우 하이드,7,14,,"섀도우하이드 : 하이드 상태, 일반 공격증가",,1,8001,,,,,Icon_Skill_Active_11234,,,,"일반공격 대미지 {1%}% 증가, 이동속도 {2%}% 증가, 회피율 {3%}% 증가, 크리티컬 확률 {4%}% 증가, 공격속도 {5%}% 증가, 일반 공격 사거리 증가,",,0
11242,애로우 레인,7,0,,이동 속도 감소,,1,3000,,,,,Icon_Skill_Active_11242,,,,이동 속도 {1%}% 감소,,0
112424,애로우 레인,5,0,,출혈 추가피해,,1,3000,500,,,,Icon_Skill_Active_13231,,,,출혈을 통해 지속 피해를 입습니다.,,0
11243,스나이프,7,0,,"스나이프:사거리증가,공격,명중증가,이동불가",,1,15001,,,,,Icon_Skill_Active_11243,,,,"공격력 {2%}%, 명중 {3} 증가. 공격거리 증가.",,0
11244,호크아이,7,0,,"호크아이:치명증가, 방어감소",,1,20001,,,,,Icon_Skill_Active_11244,,,,"크리티컬 {1} 증가, 대미지 {2%}% 증가",,0
11245,라이트닝 애로우,7,0,,라이트닝 애로우 : 감전(이동불가),1001,1,4501,,,,,Icon_Skill_Active_11245,,,,이동 속도 {1%}% 감소,,0
11251,몰튼보울,7,0,,도트,,1,3000,1000,,,,Icon_Skill_Active_14241,,,,일정 시간동안 대미지,,0
112531,부스트 마나,7,0,,"부스트마나:마나 소모량 증가, 스킬 대미지 증가, 마법 공격력 증가",,1,40001,,,,,Icon_Skill_Active_11253,,,,"MP 소모량 {1%}% 증가, 스킬 대미지 {2%}% 증가, 마법 공격력 {3} 증가",,0
112542,프로미넌스,7,0,,"프로미넌스 : 상태이상 면역, 방어력 증가",,1,3501,,,,,,,,,,,0
112541,공통 기절,7,4,,기절,112541,1,3501,,1,,,,,,,기절,,0
112544,공통 기절,7,4,,기절,112541,1,2501,,1,,,,,,,기절,,0
