GroupId,Id,Name,Desc,NpcAutoMoveID,TaskType,TaskCount,RewardExp,RewardAdena,RewardItemGroup,RewardCount
1,1,엘프의 유적지 지하 1층 공략,라이칸 스로프 20회 처치,20001,83,20,10000,3000,13100,1
1,2,엘프의 유적지 지하 1층 공략,라이칸 스로프 20회 처치,20001,83,20,10000,3000,13100,1
1,3,엘프의 유적지 지하 1층 공략,라이칸 스로프 20회 처치,20001,83,20,10000,3000,13100,1
1,4,엘프의 유적지 지하 1층 공략,데스모두스 20회 처치,20002,83,20,10000,3000,13100,1
1,5,엘프의 유적지 지하 1층 공략,데스모두스 20회 처치,20002,83,20,10000,3000,13100,1
1,6,엘프의 유적지 지하 1층 공략,데스모두스 20회 처치,20002,83,20,10000,3000,13100,1
1,7,엘프의 유적지 지하 1층 공략,호러 윙 1회 처치,20003,83,1,10000,3000,13100,1
1,8,엘프의 유적지 지하 1층 공략,류카온 1회 처치,20004,83,1,10000,3000,13100,1
1,9,엘프의 유적지 지하 1층 공략,아라크네 1회 처치,20005,83,1,10000,3000,13100,1
1,10,엘프의 유적지 지하 1층 공략,몬스터 코어 2개 획득,20008,50,2,10000,3000,13100,1
1,11,엘프의 유적지 지하 1층 공략,몬스터 코어 2개 획득,20009,50,2,10000,3000,13100,1
1,12,엘프의 유적지 지하 1층 공략,던전 몬스터 20회 처치,20006,81,20,10000,3000,13100,1
1,13,엘프의 유적지 지하 1층 공략,던전 몬스터 20회 처치,20007,81,20,10000,3000,13100,1
2,14,엘프의 유적지 지하 2층 공략,스파토이 광전사 20회 처치,20101,83,20,20000,3000,13200,1
2,15,엘프의 유적지 지하 2층 공략,스파토이 척후병 20회 처치,20102,83,20,20000,3000,13200,1
2,16,엘프의 유적지 지하 2층 공략,폐허 강철 거미 20회 처치,20103,83,20,20000,3000,13200,1
2,17,엘프의 유적지 지하 2층 공략,폐허 송곳니 거미 20회 처치,20104,83,20,20000,3000,13200,1
2,18,엘프의 유적지 지하 2층 공략,스파토이 추격자 20회 처치,20105,83,20,20000,3000,13200,1
2,19,엘프의 유적지 지하 2층 공략,스파토이 습격자 20회 처치,20106,83,20,20000,3000,13200,1
