Id,GroupId,ConditionType,ConditionValue,TaskType,Repeat,ShowRateGroup,ShowRate,RequireQuest,CharLevel,Name,PortraitTexture,Message,Duration,Delay,Sound,LimitPeriod,LimitCount,AllowWorld,PvPLimit
100001,100001,6,2,149,0,,100,1042,1,Erika,Erika_02,장착하고 계신 장비가 <YellowBold>(플레이어 이름)</>님의 실력을 모두 담아내지 못하는 것 같아요.,1000,5000,Announce_001_1,1,1,World;RegularDungeonWorld,1
100002,100001,6,2,149,0,,100,1042,1,Erika,Erika_03,상점'을 통해서 더 좋은 장비를 구해보는 것은 어떨까요?,3000,1000,Announce_001_2,1,1,World;RegularDungeonWorld,1
100011,100011,5,2,149,0,,100,1012,1,Erika,Erika_02,장착하고 계신 장비가 강화가 덜 된 것 같아요.,1000,1000,Announce_002_1,1,1,World;RegularDungeonWorld,1
100012,100011,5,2,149,0,,100,1012,1,Erika,Erika_03,대장간'을 열고 '레벨업'을 선택하면 장비를 강화할 수 있답니다.,3000,1000,Announce_002_2,1,1,World;RegularDungeonWorld,1
100101,100101,10,2,149,0,,100,1121,1,Erika,Erika_02,룬의 힘을 조금 더 끌어내는 것이 좋을 것 같아요.,1000,5000,Announce_003_1,1,1,World;RegularDungeonWorld,1
100102,100101,10,2,149,0,,100,1121,1,Erika,Erika_03,캐릭터'를 열고 '룬'을 선택하면 룬 각인을 각인할 수 있어요.,3000,1000,Announce_003_2,1,1,World;RegularDungeonWorld,1
100201,100201,9,2,149,0,,100,2123,1,Erika,Erika_02,"몬스터의 코어를 모아, 도감을 완성하면 더 강해질 수 있어요.",1000,5000,Announce_004_1,1,1,World;RegularDungeonWorld,1
100202,100201,9,2,149,0,,100,2123,1,Erika,Erika_03,도전'을 열고 '몬스터 도감'을 선택하면 몬스터 도감을 완성할 수 있으니,1000,1000,Announce_004_3,1,1,World;RegularDungeonWorld,1
100203,100201,9,2,149,0,,100,2123,1,Erika,Erika_01,잊지말고 도전해 보세요!,3000,1000,Announce_004_4,1,1,World;RegularDungeonWorld,1
100301,100301,4,2,149,0,,100,3325,1,Erika,Erika_02,엘릭서는 힘을 강화시켜주는 신비한 물약이에요.,1000,5000,Announce_005_1,1,1,World;RegularDungeonWorld,1
100302,100301,4,2,149,0,,100,3325,1,Erika,Erika_03,캐릭터'를 열고 '엘릭서'를 선택하면 엘릭서를 만들 수 있어요.,3000,1000,Announce_005_2,1,1,World;RegularDungeonWorld,1
100401,100401,1,2,149,0,,100,1037,1,Erika,Erika_02,업적은 달성하는 만큼 힘(능력치)을(를) 얻을 수 있어요.,1000,5000,Announce_006_1,1,1,World;RegularDungeonWorld,1
100402,100401,1,2,149,0,,100,1037,1,Erika,Erika_03,도전'을 열고 '업적'을 선택하면 <YellowBold>(플레이어 이름)</>님의 업적을 확인할 수 있답니다.,1000,1000,Announce_006_3,1,1,World;RegularDungeonWorld,1
100501,100501,7,2,149,0,,100,2119,1,Erika,Erika_02,집혼석은 장비에 새로운 힘을 부여하는 신비로운 혼의 조각이에요.,1000,5000,Announce_007_1,1,1,World;RegularDungeonWorld,1
100502,100501,7,2,149,0,,100,2119,1,Erika,Erika_03,아이템'을 열고 '집혼석'을 선택하면 집혼석을 장착할 수 있으니,1000,1000,Announce_007_2,1,1,World;RegularDungeonWorld,1
100503,100501,7,2,149,0,,100,2119,1,Erika,Erika_01,지금 시도해 보시는건 어떨까요?,3000,1000,Announce_007_3,1,1,World;RegularDungeonWorld,1
100601,100601,11,2,149,0,,100,1102,1,Erika,Erika_02,"스킬을 갈고 닦으면, 생사가 오가는 상황에서도 살아남을 가능성이 높아져요.",1000,5000,Announce_008_1,1,1,World;RegularDungeonWorld,1
100602,100601,11,2,149,0,,100,1102,1,Erika,Erika_03,캐릭터'를 열고 '스킬'을 선택하면 스킬 레벨을 올릴 수 있답니다.,3000,1000,Announce_008_2,1,1,World;RegularDungeonWorld,1
100701,100701,8,2,149,0,,100,1107,1,Erika,Erika_02,명예는 그에 걸맞은 실력자들에게 주어지는 영광이자 자격이에요.,1000,5000,Announce_009_1,1,1,World;RegularDungeonWorld,1
100702,100701,8,2,149,0,,100,1107,1,Erika,Erika_03,전장'을 열고 '결투장'을 선택하면 명예를 쌓을 수 있답니다.,3000,1000,Announce_009_2,1,1,World;RegularDungeonWorld,1
200001,200001,3,,149,0,,,,1,Erika,Erika_03,와아! 정말 축하드려요~,1000,6000,Announce_101_1,1,1,World;RegularDungeonWorld,1
200002,200001,3,,149,0,,,,1,Erika,Erika_03,이제 당당한 은빛용병단의 일원이 되셨네요!,1000,1000,Announce_101_2,1,1,World;RegularDungeonWorld,1
200003,200001,3,,149,0,,,,1,Erika,Erika_03,에리카가 항상 옆에서 응원한 덕분인거 아시죠? 우후훗.,1000,1000,Announce_101_3,1,1,World;RegularDungeonWorld,1
200004,200001,3,,149,0,,,,1,Erika,Erika_01,이제부터 모두에게 희망의 빛을 전해주세요.,1000,1000,Announce_101_4,1,1,World;RegularDungeonWorld,1
200005,200001,3,,149,0,,,,1,Erika,Erika_03,"에리카, 기대할께요!",5000,1000,Announce_101_5,1,1,World;RegularDungeonWorld,1
300001,300001,12,1001,149,1,,100,,1,Erika,Erika_03,말하는 섬은 항상 사람들로 북적북적하네요!,1500,3000,Announce_201_1,0,0,World,0
300002,300001,12,1001,149,1,,100,,1,Erika,Erika_03,"다들 엣된 얼굴에 상기된 표정을 보니, <YellowBold>(플레이어 이름)</>님처럼 이제 막 도착한 모양이에요.",1500,1000,Announce_201_2,0,0,World,0
300003,300001,12,1001,149,1,,100,,1,Erika,Erika_01,모두 힘을 합쳐 이곳에 평화를 가져오길.,1500,1000,Announce_201_3,0,0,World,0
300004,300001,12,1001,149,1,,100,,1,Erika,Erika_01,물론 에리카는 <YellowBold>(플레이어 이름)</>님을 계속 지켜보고 있을거랍니다~,1500,1000,Announce_201_4,0,0,World,0
300101,300101,13,2002,149,1,,100,,1,Erika,Erika_02,이곳은 엘프의 흔적이 가득한 말하는 섬 서부랍니다.,1500,3000,Announce_202_1,0,0,World,0
300102,300101,13,2002,149,1,,100,,1,Erika,Erika_03,아름다운 옛 모습을 그대로 간직하길 바랬는데…지금은 유적들만 남았네요.. ,1500,1000,Announce_202_2,0,0,World,0
300103,300101,13,2002,149,1,,100,,1,Erika,Erika_01,"저 오크들을 몰아내고, 다시 신비로운 기운이 가득한 곳으로 만들 수 있도록, 힘을 보태주세요!",1500,1000,Announce_202_3,0,0,World,0
300104,300101,13,2002,149,1,,100,,1,Erika,Erika_01,<YellowBold>(플레이어 이름)</>님이라면 할 수 있어요!,1500,1000,Announce_202_4,0,0,World,0
300201,300201,12,3002,149,1,,100,,1,Erika,Erika_03,"글루딘 가도에는 한 때 수많은 무역 상인들이 오가던 곳이었는데, ",1500,3000,Announce_203_1,0,0,World;QuestWorld,0
300202,300201,12,3002,149,1,,100,,1,Erika,Erika_02,지금은 무덤만 가득하네요.,1500,1000,Announce_203_2,0,0,World;QuestWorld,0
300203,300201,12,3002,149,1,,100,,1,Erika,Erika_01,"역병이 휩쓸고 간 뒤에 이곳에 남은 것은 슬픔, 그리고 과거에 대한 향수뿐.",1500,1000,Announce_203_3,0,0,World;QuestWorld,0
300204,300201,12,3002,149,1,,100,,1,Erika,Erika_01,글루딘이 다시 활기를 찾을 수 있도록 <YellowBold>(플레이어 이름)</>님의 도움이 필요할 것 같아요.,1500,1000,Announce_203_4,0,0,World;QuestWorld,0
300205,300201,12,3002,149,1,,100,,1,Erika,Erika_01,에리카도 계속 기도하며 응원할께요.,1500,1000,Announce_203_5,0,0,World;QuestWorld,0
300301,300301,13,4004,149,1,,100,,1,Erika,Erika_03,글루디오 평원에는 농부의 모습보다는 병사들의 모습이 더 많이 보이네요.,1500,3000,Announce_204_1,0,0,World,0
300302,300301,13,4004,149,1,,100,,1,Erika,Erika_03,저 많은 리자드맨과 오크들은 계속 어디에서 나타나는 건지.,1500,1000,Announce_204_2,0,0,World,0
300303,300301,13,4004,149,1,,100,,1,Erika,Erika_01,"<YellowBold>(플레이어 이름)</>님, 글루디오의 병사들을 도와주세요.",1500,1000,Announce_204_3,0,0,World,0
300304,300301,13,4004,149,1,,100,,1,Erika,Erika_01,그리고 이들에게 평화의 빛을 보여주세요.,1500,1000,Announce_204_4,0,0,World,0
300401,300401,12,5001,149,1,,100,,1,Erika,Erika_02,"윈다우드 장원은 엘프와 인간, 그리고 오크들이 서로 치열한 전쟁을 벌였던 곳이랍니다.",1500,3000,Announce_205_1,0,0,World,0
300402,300401,12,5001,149,1,,100,,1,Erika,Erika_03,그래서 그런지 폐허가 된 마을들의 모습이 여기저기서 많이 보이네요.,1500,1000,Announce_205_2,0,0,World,0
