Id,DisplayOrder,ItemName,MarketId,HighendEffect,TableInfoldList,ConditionFortressGrade,ItemType,ItemId,UnBindType,CostType,CostPropertyType,Cost,ProductValue,RequiredGuildLevel,GradeLimit,PurchaseLimit,PurchaseLimitValue,PurchaseLimitAddValueType,PurchaseLimitAddValueStartLevel,PurchaseLimitAddValue,RewardGuildCoin,IconTexture,Desc1,Desc2,EventItemPeriodId
1,100,경험치,0,0,,8,6,490008,0,3,0,15,1,1,0,2,10,1,0,,0,Icon_Box_Exp_02,경험치를 획득합니다.,,
2,200,엘릭서 정수 선택 상자,0,0,,8,100,910214,0,3,0,16,1,3,0,2,2,1,0,,0,Icon_Gacha_HerbPotion,사용 시 엘릭서 정수 중 1종을 선택하여 획득할 수 있습니다.,혈맹 레벨 3 달성 시 구매 가능,
5,500,고급 경험치,0,0,,8,6,490009,0,3,0,70,1,7,0,2,1,1,0,,0,Icon_Box_Exp_03,대량의 경험치를 획득합니다.,혈맹 레벨 7 달성 시 구매 가능,
6,300,연마제 상자,0,0,,8,100,911174,0,3,0,16,1,5,0,2,1,1,0,,0,Icon_Box_EquipLevelMaterial,"C~S등급의 무기, 방어구, 장신구 연마제 중 1개를 획득할 수 있는 연마제 상자",혈맹 레벨 5 달성 시 구매 가능,
7,700,소환석 조각 상자,0,0,,8,100,911005,0,3,0,32,1,13,0,2,2,1,0,,0,Item_Box_SummonStone_01,사용 시 다양한 탑승펫의 소환석 조각을 랜덤하게 획득할 수 있습니다.,혈맹 레벨 13 달성 시 구매 가능,
8,400,강화주문서 상자,0,0,,8,100,900010,0,3,0,20,1,5,0,3,3,1,0,,0,Icon_Gacha_EnchantScroll,랜덤하게 강화주문서를 획득합니다.,혈맹 레벨 5 달성 시 구매 가능,
9,600,고급 장비 상자,0,0,,8,100,900008,0,3,0,64,1,10,0,4,3,1,0,,0,Icon_Shop_Gacha_Equipment_01,랜덤하게 A-SR등급의 장비를 획득합니다.,혈맹 레벨 10 달성 시 구매 가능,
10,700,고급 재료 상자,0,0,,8,100,900007,0,3,0,48,1,15,0,4,3,1,0,,0,Icon_Shop_Gacha_Material_01,랜덤하게 고급 재료를 획득합니다.,혈맹 레벨 15 달성 시 구매 가능,
17,800,찢어진 레시피 조각,0,1,,8,100,510103,0,3,0,50,1,15,0,2,1,1,0,,0,Icon_Combine_Unidentifiy_Material01_Shop,찢어진 레시피 조각입니다. 조각 10개로 미확인 레시피 1개를 조합할 수 있습니다.,혈맹 레벨 15 달성 시 구매 가능,
11,1200,말하는 섬 - 희귀 몬스터 소환석,0,1,,2,100,1000100,0,3,0,50,1,1,0,2,1,1,0,,0,Icon_SummonGem_Gludio_01_Shop,사용시 말하는 섬의 희귀 몬스터가 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,요새 점령 시 구매 가능,
