Id,DisassembleType,ItemInfoId,ItemType,EquipmentType,ItemGrade,CostType,CostValue
110013,1,110013,113,12,18,25,
110023,1,110023,113,12,18,25,
110033,1,110033,113,12,18,25,
110043,1,110043,113,12,18,25,
110053,1,110053,113,12,18,25,
110063,1,110063,113,12,18,25,
120013,1,120013,113,12,18,25,
120023,1,120023,113,12,18,25,
120033,1,120033,113,12,18,25,
120043,1,120043,113,12,18,25,
120053,1,120053,113,12,18,25,
120063,1,120063,113,12,18,25,
130013,1,130013,113,12,18,25,
130023,1,130023,113,12,18,25,
130033,1,130033,113,12,18,25,
130043,1,130043,113,12,18,25,
130053,1,130053,113,12,18,25,
130063,1,130063,113,12,18,25,
140013,1,140013,113,12,18,25,
140023,1,140023,113,12,18,25,
140033,1,140033,113,12,18,25,
140043,1,140043,113,12,18,25,
140053,1,140053,113,12,18,25,
140063,1,140063,113,12,18,25,
150013,1,150013,113,12,18,25,
150023,1,150023,113,12,18,25,
150033,1,150033,113,12,18,25,
150043,1,150043,113,12,18,25,
150053,1,150053,113,12,18,25,
150063,1,150063,113,12,18,25,
160013,1,160013,113,12,18,25,
160023,1,160023,113,12,18,25,
160033,1,160033,113,12,18,25,
160043,1,160043,113,12,18,25,
160053,1,160053,113,12,18,25,
160063,1,160063,113,12,18,25,
210013,1,210013,113,12,18,25,
220013,1,220013,113,12,18,25,
230013,1,230013,113,12,18,25,
240013,1,240013,113,12,18,25,
210023,1,210023,113,12,18,25,
220023,1,220023,113,12,18,25,
230023,1,230023,113,12,18,25,
240023,1,240023,113,12,18,25,
210033,1,210033,113,12,18,25,
220033,1,220033,113,12,18,25,
230033,1,230033,113,12,18,25,
240033,1,240033,113,12,18,25,
210043,1,210043,113,12,18,25,
220043,1,220043,113,12,18,25,
230043,1,230043,113,12,18,25,
240043,1,240043,113,12,18,25,
210053,1,210053,113,12,18,25,
220053,1,220053,113,12,18,25,
230053,1,230053,113,12,18,25,
240053,1,240053,113,12,18,25,
210063,1,210063,113,12,18,25,
220063,1,220063,113,12,18,25,
230063,1,230063,113,12,18,25,
240063,1,240063,113,12,18,25,
210073,1,210073,113,12,18,25,
220073,1,220073,113,12,18,25,
230073,1,230073,113,12,18,25,
240073,1,240073,113,12,18,25,
210083,1,210083,113,12,18,25,
220083,1,220083,113,12,18,25,
230083,1,230083,113,12,18,25,
240083,1,240083,113,12,18,25,
210093,1,210093,113,12,18,25,
220093,1,220093,113,12,18,25,
230093,1,230093,113,12,18,25,
240093,1,240093,113,12,18,25,
210103,1,210103,113,12,18,25,
220103,1,220103,113,12,18,25,
230103,1,230103,113,12,18,25,
240103,1,240103,113,12,18,25,
210113,1,210113,113,12,18,25,
220113,1,220113,113,12,18,25,
230113,1,230113,113,12,18,25,
240113,1,240113,113,12,18,25,
210123,1,210123,113,12,18,25,
220123,1,220123,113,12,18,25,
230123,1,230123,113,12,18,25,
240123,1,240123,113,12,18,25,
310004,1,310004,113,12,18,25,
320004,1,320004,113,12,18,25,
330004,1,330004,113,12,18,25,
310014,1,310014,113,12,18,25,
320014,1,320014,113,12,18,25,
330014,1,330014,113,12,18,25,
310024,1,310024,113,12,18,25,
320024,1,320024,113,12,18,25,
330024,1,330024,113,12,18,25,
310034,1,310034,113,12,18,25,
320034,1,320034,113,12,18,25,
330034,1,330034,113,12,18,25,
310044,1,310044,113,12,18,25,
320044,1,320044,113,12,18,25,
330044,1,330044,113,12,18,25,
310054,1,310054,113,12,18,25,
320054,1,320054,113,12,18,25,
330054,1,330054,113,12,18,25,
310064,1,310064,113,12,18,25,
320064,1,320064,113,12,18,25,
330064,1,330064,113,12,18,25,
110014,1,110014,113,12,18,25,
110024,1,110024,113,12,18,25,
110034,1,110034,113,12,18,25,
110044,1,110044,113,12,18,25,
110054,1,110054,113,12,18,25,
110064,1,110064,113,12,18,25,
120014,1,120014,113,12,18,25,
120024,1,120024,113,12,18,25,
120034,1,120034,113,12,18,25,
120044,1,120044,113,12,18,25,
120054,1,120054,113,12,18,25,
120064,1,120064,113,12,18,25,
130014,1,130014,113,12,18,25,
130024,1,130024,113,12,18,25,
130034,1,130034,113,12,18,25,
130044,1,130044,113,12,18,25,
130054,1,130054,113,12,18,25,
130064,1,130064,113,12,18,25,
140014,1,140014,113,12,18,25,
140024,1,140024,113,12,18,25,
140034,1,140034,113,12,18,25,
140044,1,140044,113,12,18,25,
140054,1,140054,113,12,18,25,
140064,1,140064,113,12,18,25,
150014,1,150014,113,12,18,25,
150024,1,150024,113,12,18,25,
150034,1,150034,113,12,18,25,
150044,1,150044,113,12,18,25,
150054,1,150054,113,12,18,25,
150064,1,150064,113,12,18,25,
160014,1,160014,113,12,18,25,
160024,1,160024,113,12,18,25,
160034,1,160034,113,12,18,25,
160044,1,160044,113,12,18,25,
160054,1,160054,113,12,18,25,
160064,1,160064,113,12,18,25,
210014,1,210014,113,12,18,25,
220014,1,220014,113,12,18,25,
230014,1,230014,113,12,18,25,
240014,1,240014,113,12,18,25,
210024,1,210024,113,12,18,25,
220024,1,220024,113,12,18,25,
230024,1,230024,113,12,18,25,
240024,1,240024,113,12,18,25,
210034,1,210034,113,12,18,25,
220034,1,220034,113,12,18,25,
230034,1,230034,113,12,18,25,
240034,1,240034,113,12,18,25,
210044,1,210044,113,12,18,25,
220044,1,220044,113,12,18,25,
230044,1,230044,113,12,18,25,
240044,1,240044,113,12,18,25,
210054,1,210054,113,12,18,25,
220054,1,220054,113,12,18,25,
230054,1,230054,113,12,18,25,
240054,1,240054,113,12,18,25,
210064,1,210064,113,12,18,25,
220064,1,220064,113,12,18,25,
230064,1,230064,113,12,18,25,
240064,1,240064,113,12,18,25,
210074,1,210074,113,12,18,25,
220074,1,220074,113,12,18,25,
230074,1,230074,113,12,18,25,
240074,1,240074,113,12,18,25,
210084,1,210084,113,12,18,25,
220084,1,220084,113,12,18,25,
230084,1,230084,113,12,18,25,
240084,1,240084,113,12,18,25,
210094,1,210094,113,12,18,25,
220094,1,220094,113,12,18,25,
230094,1,230094,113,12,18,25,
240094,1,240094,113,12,18,25,
210104,1,210104,113,12,18,25,
220104,1,220104,113,12,18,25,
230104,1,230104,113,12,18,25,
240104,1,240104,113,12,18,25,
210114,1,210114,113,12,18,25,
220114,1,220114,113,12,18,25,
230114,1,230114,113,12,18,25,
240114,1,240114,113,12,18,25,
210124,1,210124,113,12,18,25,
220124,1,220124,113,12,18,25,
230124,1,230124,113,12,18,25,
240124,1,240124,113,12,18,25,
310005,1,310005,113,12,18,25,
320005,1,320005,113,12,18,25,
330005,1,330005,113,12,18,25,
310015,1,310015,113,12,18,25,
320015,1,320015,113,12,18,25,
330015,1,330015,113,12,18,25,
310025,1,310025,113,12,18,25,
320025,1,320025,113,12,18,25,
330025,1,330025,113,12,18,25,
310035,1,310035,113,12,18,25,
320035,1,320035,113,12,18,25,
330035,1,330035,113,12,18,25,
310045,1,310045,113,12,18,25,
320045,1,320045,113,12,18,25,
330045,1,330045,113,12,18,25,
310055,1,310055,113,12,18,25,
320055,1,320055,113,12,18,25,
330055,1,330055,113,12,18,25,
310065,1,310065,113,12,18,25,
320065,1,320065,113,12,18,25,
330065,1,330065,113,12,18,25,
110015,1,110015,113,12,18,25,
110025,1,110025,113,12,18,25,
110035,1,110035,113,12,18,25,
110045,1,110045,113,12,18,25,
110055,1,110055,113,12,18,25,
110065,1,110065,113,12,18,25,
120015,1,120015,113,12,18,25,
120025,1,120025,113,12,18,25,
120035,1,120035,113,12,18,25,
120045,1,120045,113,12,18,25,
120055,1,120055,113,12,18,25,
120065,1,120065,113,12,18,25,
130015,1,130015,113,12,18,25,
130025,1,130025,113,12,18,25,
130035,1,130035,113,12,18,25,
130045,1,130045,113,12,18,25,
130055,1,130055,113,12,18,25,
130065,1,130065,113,12,18,25,
140015,1,140015,113,12,18,25,
140025,1,140025,113,12,18,25,
140035,1,140035,113,12,18,25,
140045,1,140045,113,12,18,25,
140055,1,140055,113,12,18,25,
140065,1,140065,113,12,18,25,
150015,1,150015,113,12,18,25,
150025,1,150025,113,12,18,25,
150035,1,150035,113,12,18,25,
150045,1,150045,113,12,18,25,
150055,1,150055,113,12,18,25,
150065,1,150065,113,12,18,25,
160015,1,160015,113,12,18,25,
160025,1,160025,113,12,18,25,
160035,1,160035,113,12,18,25,
160045,1,160045,113,12,18,25,
160055,1,160055,113,12,18,25,
160065,1,160065,113,12,18,25,
210015,1,210015,113,12,18,25,
220015,1,220015,113,12,18,25,
230015,1,230015,113,12,18,25,
240015,1,240015,113,12,18,25,
210025,1,210025,113,12,18,25,
220025,1,220025,113,12,18,25,
230025,1,230025,113,12,18,25,
240025,1,240025,113,12,18,25,
210035,1,210035,113,12,18,25,
220035,1,220035,113,12,18,25,
230035,1,230035,113,12,18,25,
240035,1,240035,113,12,18,25,
210045,1,210045,113,12,18,25,
220045,1,220045,113,12,18,25,
230045,1,230045,113,12,18,25,
240045,1,240045,113,12,18,25,
210055,1,210055,113,12,18,25,
220055,1,220055,113,12,18,25,
230055,1,230055,113,12,18,25,
240055,1,240055,113,12,18,25,
210065,1,210065,113,12,18,25,
220065,1,220065,113,12,18,25,
230065,1,230065,113,12,18,25,
240065,1,240065,113,12,18,25,
210075,1,210075,113,12,18,25,
220075,1,220075,113,12,18,25,
230075,1,230075,113,12,18,25,
240075,1,240075,113,12,18,25,
210085,1,210085,113,12,18,25,
220085,1,220085,113,12,18,25,
230085,1,230085,113,12,18,25,
240085,1,240085,113,12,18,25,
210095,1,210095,113,12,18,25,
220095,1,220095,113,12,18,25,
230095,1,230095,113,12,18,25,
240095,1,240095,113,12,18,25,
210105,1,210105,113,12,18,25,
220105,1,220105,113,12,18,25,
230105,1,230105,113,12,18,25,
240105,1,240105,113,12,18,25,
210115,1,210115,113,12,18,25,
220115,1,220115,113,12,18,25,
230115,1,230115,113,12,18,25,
240115,1,240115,113,12,18,25,
210125,1,210125,113,12,18,25,
220125,1,220125,113,12,18,25,
230125,1,230125,113,12,18,25,
240125,1,240125,113,12,18,25,
310006,1,310006,113,12,18,25,
320006,1,320006,113,12,18,25,
330006,1,330006,113,12,18,25,
310016,1,310016,113,12,18,25,
320016,1,320016,113,12,18,25,
330016,1,330016,113,12,18,25,
310026,1,310026,113,12,18,25,
320026,1,320026,113,12,18,25,
330026,1,330026,113,12,18,25,
310036,1,310036,113,12,18,25,
320036,1,320036,113,12,18,25,
330036,1,330036,113,12,18,25,
310046,1,310046,113,12,18,25,
320046,1,320046,113,12,18,25,
330046,1,330046,113,12,18,25,
310056,1,310056,113,12,18,25,
