Id,GipType,ContentsLockKeyword,TipText,Texture
1,3,,"<FontBlue>31레벨</>에 전직 퀘스트를 통해
<FontBlue>전직</>할 수 있습니다.",LoadingImage/World_001.jpg
2,3,,"<FontBlue>성을 점령한 혈맹</>은
<FontBlue>진귀한 보상</>을 얻을 수 있습니다.",LoadingImage/World_002.jpg
3,3,AUTO_COMBAT,"<FontBlue>공성전 축제 티켓</>으로
<FontBlue>상품권을 획득</>할 수 있습니다.",LoadingImage/World_003.jpg
4,3,,"일요일은 <FontBlue>공성전 축제!</>
몬스터를 잡아 축제 티켓을 획득하세요!",LoadingImage/World_004.jpg
5,3,,"<FontBlue>장착한 모든 장비</>를 <FontBlue>8강 이상</> 달성하면
<FontBlue>동반 강화 효과</>가 발동됩니다.",LoadingImage/World_005.jpg
6,3,,"<FontBlue>룬 각인</>을 통해 <FontBlue>능력치</>를
<FontBlue>대폭 상승</>시킬 수 있습니다.",LoadingImage/World_006.jpg
7,3,,"<FontBlue>몬스터 도감</>을 제작하면
다양한 <FontBlue>캐릭터 능력치가 상승</>합니다.",LoadingImage/World_007.jpg
8,3,,"<FontBlue>요새전 승리 혈맹</>은
<FontBlue>지역 사냥에 유리한 버프</>를 얻습니다.",LoadingImage/World_008.jpg
11,3,,"<FontBlue>필드 보스</>를 사냥하면
<FontBlue>특별한 보상</>을 얻을 수 있습니다.",LoadingImage/World_011.jpg
12,3,,<FontBlue>혈맹 주화</>는 <FontBlue>혈맹 활동</>으로 획득할 수 있습니다.,LoadingImage/World_012.jpg
13,3,,<FontBlue>혈맹 주화</>를 얻어 <FontBlue>혈맹 버프</>를 구입해 보세요.,LoadingImage/World_013.jpg
15,3,,최강 <FontYellow>UR 등급</> 장비를 제작해 보세요!,LoadingImage/World_015.jpg
16,3,,"강화 등급을 지켜드립니다.
<FontYellow>강화 배리어 시스템!</>",LoadingImage/World_016.jpg
17,3,,"<FontGreen>그린 다이아</>를 사용해
<FontYellow>거래소</>를 이용할 수 있습니다.",LoadingImage/World_017.jpg
18,3,,"<FontYellow>공성전</>은 <FontYellow>오후 9시 30분</>부터
<FontYellow>10시</>까지 진행됩니다.",LoadingImage/World_018.jpg
19,3,,"<FontYellow>공용마을 마그나딘</>에서
다양한 콘텐츠를 이용하세요!",LoadingImage/World_019.jpg
20,3,,"<FontYellow>망토</>를 착용하면 화려함은 물론
강력한 <FontGreen>착용 효과</>를 얻을 수 있습니다.",LoadingImage/World_020.jpg
21,3,,"<FontYellow>대규모 공성전</>을 통해 성을 점령하여
혈맹의 힘을 과시할 수 있습니다.",LoadingImage/World_021.jpg
22,3,,"<FontYellow>요새전</>은 <FontYellow>오후 9시 30분</>부터
<FontYellow>10시</>까지 진행됩니다.",LoadingImage/World_022.jpg
23,3,,"힘을 합쳐 강력한 <FontYellow>월드 보스</>를 처치하세요!
<FontYellow>특별한 보상</>을 획득할 수 있습니다.",LoadingImage/World_023.jpg
24,3,,"<FontYellow>자유 요새전</>은 매주 금요일 오후
<FontYellow>8시 30분</>에 시작됩니다.",LoadingImage/World_024.jpg
25,3,,"<FontYellow>전투 덱 설정</>을 통해
상황에 맞는 <FontGreen>효율적인 전투</>가 가능합니다.",LoadingImage/World_025.jpg
