Id,GroupId,UseType,StringKey,DefaultValueForAOS,DefaultValueForIOS,UserData,StartValue,IsPercentage,Description
1,Dev,Quality,OPTION_DEV_RESOLUTION,-1,-1,,,0,게임 해상도를 설정합니다. 옵션 성능이 낮을수록 게임 성능이 높아질 수 있습니다
2,Dev,Quality,OPTION_DEV_VIEW_DISTANCE,3,3,,,0,화면에서 보이는 거리를 설정합니다. 옵션 성능이 낮을수록 게임 성능이 높아질 수 있습니다
3,Dev,Quality,OPTION_DEV_ANTI_ALIASING,0,0,,,0,"경계선을 부드럽게 처리합니다. 옵션을 낮추면 사물이 거칠게 묘사되지만, 성능이 높아질 수 있습니다."
4,Dev,Quality,OPTION_DEV_POST_PROCESSING,1,1,,,0,텍스쳐 마감을 설정합니다. 옵션 성능이 낮을수록 게임 성능이 높아질 수 있습니다
5,Dev,Quality,OPTION_DEV_SHADOWS_QUALITY,1,1,,,0,그림자 품질을 설정합니다. 옵션 성능이 높아질 수록 사실적인 그래픽이 출력됩니다.
6,Dev,ToggleButton,OPTION_DEV_VSYNC,0,0,,,0,화면 수직동기화를 설정합니다. 옵션을 켜면 더욱 부드럽게 그래픽이 출력됩니다.
7,Dev,Quality,OPTION_DEV_SHADOWS_RESOLUTION,1,1,,,0,그림자 품질을 설정합니다. 옵션 성능이 높아질 수록 사실적인 그래픽이 출력됩니다.
8,Dev,Quality,OPTION_DEV_TEXTUES,-1,-1,,,0,텍스쳐 품질을 설정합니다. 옵션 성능이 낮을수록 게임 성능이 높아질 수 있습니다
9,Dev,Quality,OPTION_DEV_TEXTURE_LOD_LEVEL,0,0,,,0,텍스쳐 LOD 레벨
10,Dev,Quality,OPTION_DEV_RESOLUTION_RATIO,1,1,,,0,해상도 비율을 설정합니다.
11,Dev,ToggleButton,OPTION_DEV_SLATE_SKIP_SECOND_PREPASS,0,0,,,0,슬레이트에서 Prepass를 한 번만 수행합니다.
12,Dev,ToggleButton,OPTION_DEV_MY_SHADOW_ONLY,0,0,,,0,내 그림자만 보이기 여부를 설정합니다.
