Id,GroupId,QuestId,MaxPlayer,ExpRestrictRate,AdenaRestrictRate,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3,RewardParam4,RewardCount4,RandomSeedRewardItemID,RandomSeedReward,RandomSeedRewardValue
100001,100000,130001,5,0,0,1301001,10,473001,1,,,,,,,
100002,100000,130002,5,0,0,1301001,25,473001,2,,,,,490200,130100,1
100003,100000,130003,5,0,0,1301001,50,1301002,10,473001,4,,,490200,130110,1
100004,100000,130004,5,0,0,1301001,100,1301002,50,473001,8,,,490200,130120,2
100005,100001,130005,5,0,0,489003,10,473002,1,1301002,100,,,490200,130105,1
100101,100100,130101,5,0,0,1301001,10,473011,1,,,,,,,
100102,100100,130102,5,0,0,1301001,25,473011,2,,,,,490200,130200,1
100103,100100,130103,5,0,0,1301001,50,1301003,10,473011,4,,,490200,130210,1
100104,100100,130104,5,0,0,1301001,100,1301003,50,473011,8,,,490200,130220,2
100105,100101,130105,5,0,0,489001,10,473012,1,1301003,100,,,490200,130205,1
100200,100200,130201,5,0,0,1301001,20,473021,1,,,,,,,
100201,100200,130202,5,0,0,1301001,40,1301005,1,473021,2,,,490200,130300,1
100202,100200,130203,5,0,0,1301001,80,1301005,10,473021,4,,,490200,130310,1
100203,100200,130204,5,0,0,1301001,150,1301005,50,473021,8,,,490200,130320,2
