PetInfoId,Grade,UpgradeSummonStoneCount,UpgradeAdenaCost,MaxLevel
1,1,1,10000,20
1,2,5,30000,20
1,3,15,70000,20
1,4,30,120000,20
1,5,45,200000,20
1,6,100,500000,20
2,1,1,10000,20
2,2,5,30000,20
2,3,15,70000,20
2,4,30,120000,20
2,5,45,200000,20
2,6,100,500000,20
3,1,1,10000,20
3,2,5,30000,20
3,3,15,70000,20
3,4,30,120000,20
3,5,45,200000,20
3,6,100,500000,20
4,1,1,10000,20
4,2,2,20000,20
4,3,3,30000,20
4,4,5,450000,20
4,5,15,700000,20
4,6,30,950000,20
5,1,1,10000,20
5,2,2,20000,20
5,3,3,30000,20
5,4,5,450000,20
5,5,15,700000,20
5,6,30,950000,20
6,1,1,10000,20
6,2,2,20000,20
6,3,3,30000,20
6,4,5,450000,20
6,5,15,700000,20
6,6,30,950000,20
7,1,1,10000,20
7,2,2,20000,20
7,3,3,30000,20
7,4,5,450000,20
7,5,15,700000,20
7,6,30,950000,20
8,1,0,0,20
8,2,0,0,20
8,3,0,0,20
8,4,0,0,20
8,5,0,0,20
8,6,0,0,20
9,1,0,0,20
9,2,0,0,20
9,3,0,0,20
9,4,0,0,20
9,5,0,0,20
9,6,0,0,20
10,1,1,10000,20
10,2,2,20000,20
10,3,3,30000,20
10,4,5,450000,20
10,5,15,700000,20
10,6,30,950000,20
