Id,Name,MoveType,MoveSpeed,Distance,Angle,Count,HitCount,ExplosionCollisionUnitType,ExplosionCollisionUnitParam,Resource,SocketName,DirAlign
11131,에너지 볼트,0,1650,650,0,1,1,0,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2,1
11125,더블 샷,2,2000,800,0,1,3,0,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL,1
11132,플레임 스트라이크,2,1800,650,0,1,1,0,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2,1
11133,윈드 스트라이크,0,1500,650,0,1,4,0,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2,1
12131,에너지 볼트,0,1650,650,0,1,1,0,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2,1
12125,더블 샷,2,2000,800,0,1,3,0,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL,1
12132,플레임 스트라이크,2,1800,650,0,1,1,0,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2,1
12133,윈드 스트라이크,0,1500,650,0,1,4,0,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2,1
13131,에너지 볼트,0,1650,650,0,1,1,0,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2,1
13125,더블 샷,2,2000,800,0,1,3,0,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL,1
13132,플레임 스트라이크,2,1800,650,0,1,1,0,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2,1
13133,윈드 스트라이크,0,1500,650,0,1,4,0,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2,1
14131,에너지 볼트,0,1650,650,0,1,1,0,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2,1
14125,더블 샷,2,2000,800,0,1,3,0,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL,1
14132,플레임 스트라이크,2,1800,650,0,1,1,0,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2,1
14133,윈드 스트라이크,0,1500,650,0,1,4,0,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2,1
11245,라이트닝 애로우,0,2000,1150,0,1,1,0,"""radius"": 350",BP_PROJ_SkillLightingArrow,Socket_Fire_2,1
11252,몰튼 보울,0,500,700,0,1,1,0,"""radius"": 350",BP_PROJ_MoltenBowl01,Socket_Fire_2,1
12221,소닉 블래스터,0,2000,700,0,1,4,0,"""radius"": 250",BP_PROJ_SonicBlaster,Socket_Fire_2,1
12222,소닉 스톰,0,1800,700,0,1,1,0,"""radius"": 270",BP_PROJ_SonicStorm,Socket_Fire_2,1
12242,더블 와이드 샷,0,1500,800,0,1,4,2,"""left"":200, ""right"":200, ""front"":110, ""back"":110",BP_PROJ_DoubleWideShot,Socket_Fire_2,1
1205,스피릿 오브 문라이트-기본공격,0,1500,750,0,1,1,0,"""radius"": 150",BP_PROJ_SpiritOfMoonlight,Socket_Fire_2,1
12251,아이스 스피어,2,1500,650,0,1,1,0,"""radius"": 230",BP_PROJ_IceSpear,Socket_Fire_2,1
13241,데스 스팅어,2,900,700,0,1,4,0,"""radius"": 230",BP_PROJ_DeathStinger,Socket_Fire_2,1
132451,파이널 데스 스팅어,2,750,700,0,1,3,5,"""left"":100, ""right"":100, ""front"":800, ""back"":0200",BP_PROJ_None,Socket_Fire_2,0
132452,파이널 데스 스팅어,2,750,700,76,1,3,5,"""left"":100, ""right"":100, ""front"":800, ""back"":0, ""angle"" : 65200",BP_PROJ_None,Socket_Fire_2,0
132453,파이널 데스 스팅어,2,750,700,-76,1,3,5,"""left"":100, ""right"":100, ""front"":800, ""back"":0, ""angle"" : -65200",BP_PROJ_None,Socket_Fire_2,0
30004,블러드 애로우,2,1000,800,0,1,4,0,"""radius"": 250",BP_PROJ_BloodArrow,WeaponL,1
30006,미사일 볼트,2,1000,800,0,1,1,0,"""radius"": 150",BP_PROJ_MissileBolt,Socket_Fire_2,1
31003,그레이트 슬램,2,400,600,0,1,-1,0,"""radius"": 250",BP_PROJ_HumanSkillTutorial_02,Socket_Fire_2,1
50001,몬스터:화염구,2,2000,800,0,1,1,0,"""radius"": 130",BP_PROJ_FlameBurst,Socket_Center,1
50002,몬스터:얼음창,2,2000,800,0,1,1,0,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center,1
50003,몬스터:대지마법,2,2000,800,0,1,1,0,"""radius"": 130",BP_PROJ_Earth,Socket_Center,1
50004,몬스터:바람마법,2,2000,800,0,1,1,0,"""radius"": 130",BP_PROJ_Windstrike,Socket_Center,1
50005,몬스터:암흑마법,2,2000,800,0,1,1,0,"""radius"": 130",BP_PROJ_Dark,Socket_Center,1
50006,몬스터:에너지 볼트,2,1600,800,0,1,3,0,"""radius"": 130",BP_PROJ_EnergyBolt,Socket_Center,1
50007,몬스터:더블 샷,2,2000,800,0,1,2,0,"""radius"": 130",BP_PROJ_DoubleShot,Socket_Center,1
50224,SerpentSlave,2,2000,800,0,1,1,0,"""radius"": 130",BP_PROJ_SerpentSlave,Socket_Center,1
60107,플레임 스트라이크,2,1600,800,0,1,1,0,"""radius"": 130",BP_PROJ_FlameBurst,Socket_Fire_2,1
60109,파워 샷,2,2000,800,0,1,1,0,"""radius"": 130",BP_PROJ_PowerShot,WeaponL,1
73022,자켄 스킬2,2,1800,1000,0,1,-1,0,"""radius"": 130",BP_PROJ_Zaken,Socket_Center,1
77085,퀘스트 보스 자켄의 환영 스킬,2,1800,1000,0,1,-1,0,"""radius"": 130",BP_PROJ_Zaken,Socket_Center,1
74061,일렉트릭 웨이브,2,300,2000,0,3,20,0,"""radius"": 130",BP_PROJ_Drake,Socket_BossSkill_01,1
74101,MTG_DullahanBossSkill_01,2,1600,2000,0,1,20,0,"""radius"": 150",BP_PROJ_Dullahan,Socket_Center,1
74111,MTG_DarkLordBossSkill_01,2,1600,2000,0,1,20,0,"""radius"": 150",BP_PROJ_DarkLord,Socket_Fire_2,1
74121,끓어오르는 진흙,2,300,2000,360,4,20,2,"""left"":100, ""right"":100, ""front"":200, ""back"":200",BP_PROJ_Sahara_03,Socket_Bottom,1
