MArketType,ShopId,CurrencyType,Cost,DisplayCost,OriginCost,SaleRatio,ProductId
1,2001,2,2.99,3.29,,,
1,2002,2,3.99,4.39,,,
1,2003,2,8.99,9.89,,,
1,2004,2,2.99,3.29,,,
1,2005,2,3.99,4.39,,,
1,2006,2,8.99,9.89,,,
1,2007,2,26.99,29.69,,,
1,2008,2,44.99,49.49,,,
1,2009,2,89.99,98.99,,,
1,2020,2,2.99,3.29,,,
1,2021,2,3.99,4.39,,,
1,2022,2,8.99,9.89,,,
1,2023,2,3.99,4.39,,,
1,2024,2,8.99,9.89,,,
1,2025,2,26.99,29.69,,,
1,2026,2,44.99,49.49,,,
1,2027,2,89.99,98.99,,,
1,7001,2,3.99,4.39,,,
1,7002,2,8.99,9.89,,,
1,7003,2,8.99,9.89,,,
1,7004,2,8.99,9.89,,,
1,9001,2,26.99,29.69,,,
1,9008,2,26.99,29.69,,,
1,9009,2,89.99,98.99,,,
1,9010,2,89.99,98.99,,,
1,9019,2,8.99,9.89,,,
1,9020,2,44.99,49.49,,,
1,9021,2,89.99,98.99,,,
1,9022,2,26.99,29.69,,,
1,8003,2,26.99,29.69,,,
1,8004,2,26.99,29.69,,,
1,8014,2,26.99,29.69,,,
1,9051,2,89.99,98.99,,,
1,9052,2,89.99,98.99,,,
1,9053,2,89.99,98.99,,,
1,9054,2,44.99,49.49,,,
1,9501,2,44.99,49.49,,,
1,9502,2,89.99,98.99,,,
1,9503,2,89.99,98.99,,,
1,9601,2,44.99,49.49,,,
1,9604,2,8.99,9.89,,,
1,11001,2,2.99,3.29,,,
1,9605,2,89.99,98.99,,,
1,9606,2,89.99,98.99,,,
1,9607,2,89.99,98.99,,,
1,9608,2,89.99,98.99,,,
1,9609,2,44.99,49.49,,,
1,9610,2,44.99,49.49,,,
1,9611,2,89.99,98.99,,,
1,8011,2,26.99,29.69,,,
1,999999,2,0,0,,,
1,999998,2,0,0,,,
1,9613,2,26.99,29.69,,,
1,9614,2,26.99,29.69,,,
