EquipType,Grade,Socket1Type,Socket2Type,Socket3Type,Socket4Type,Socket5Type,Socket6Type
1,1,1,253,253,253,253,253
1,2,1,10,253,253,253,253
1,3,1,10,1,253,253,253
1,4,1,10,1,10,253,253
1,5,1,10,1,10,1,253
1,6,1,10,1,10,1,10
1,7,1,10,1,10,1,10
0,1,21,253,253,253,253,253
0,2,21,58,253,253,253,253
0,3,21,58,21,253,253,253
0,4,21,58,21,58,253,253
0,5,21,58,21,58,21,253
0,6,21,58,21,58,21,58
0,7,21,58,21,58,21,58
2,1,21,253,253,253,253,253
2,2,21,58,253,253,253,253
2,3,21,58,21,253,253,253
2,4,21,58,21,58,253,253
2,5,21,58,21,58,21,253
2,6,21,58,21,58,21,58
2,7,21,58,21,58,21,58
6,1,1,253,253,253,253,253
6,2,1,10,253,253,253,253
6,3,1,10,1,253,253,253
6,4,1,10,1,10,253,253
6,5,1,10,1,10,1,253
6,6,1,10,1,10,1,10
6,7,1,10,1,10,1,10
8,1,29,253,253,253,253,253
8,2,29,26,253,253,253,253
8,3,29,26,29,253,253,253
8,4,29,26,29,26,253,253
8,5,29,26,29,26,29,253
8,6,29,26,29,26,29,26
8,7,29,26,29,26,29,26
4,1,11,253,253,253,253,253
4,2,11,102,253,253,253,253
4,3,11,102,11,253,253,253
4,4,11,102,11,102,253,253
4,5,11,102,11,102,11,253
4,6,11,102,11,102,11,102
4,7,11,102,11,102,11,102
5,1,11,253,253,253,253,253
5,2,11,102,253,253,253,253
5,3,11,102,11,253,253,253
5,4,11,102,11,102,253,253
5,5,11,102,11,102,11,253
5,6,11,102,11,102,11,102
5,7,11,102,11,102,11,102
7,1,29,253,253,253,253,253
7,2,29,26,253,253,253,253
7,3,29,26,29,253,253,253
7,4,29,26,29,26,253,253
7,5,29,26,29,26,29,253
7,6,29,26,29,26,29,26
7,7,29,26,29,26,29,26
9,1,101,253,253,253,253,253
9,2,101,101,253,253,253,253
9,3,101,101,101,253,253,253
9,4,101,101,101,101,253,253
9,5,101,101,101,101,101,253
9,6,101,101,101,101,101,101
9,7,101,101,101,101,101,101
10,1,101,253,253,253,253,253
10,2,101,101,253,253,253,253
10,3,101,101,101,253,253,253
10,4,101,101,101,101,253,253
10,5,101,101,101,101,101,253
10,6,101,101,101,101,101,101
10,7,101,101,101,101,101,101
