Id,GroupId,ItemAbilityId,ItemAbilityParamMin,ItemAbilityParamMax,SelectedRate
10001001,10001,10011,1,10,1
10002001,10002,10012,1,10,1
10003001,10003,10013,1,10,1
10004001,10004,10014,1,10,1
10005001,10005,10021,1,10,1
10006001,10006,10022,1,10,1
10007001,10007,10023,1,10,1
10008001,10008,10024,1,10,1
10009001,10009,10031,1,10,1
10010001,10010,10032,1,10,1
10011001,10011,10033,1,10,1
10012001,10012,10034,1,10,1
10013001,10013,10041,1,10,1
10014001,10014,10042,1,10,1
10015001,10015,10043,1,10,1
10016001,10016,10044,1,10,1
20001001,20001,20011,1,2,1500
20001002,20001,20011,2,4,4000
20001003,20001,20011,4,6,6000
20001004,20001,20011,6,8,900
20001005,20001,20011,8,9,400
20001006,20001,20011,9,10,100
20001007,20001,20051,1,2,1500
20001008,20001,20051,2,4,4000
20001009,20001,20051,4,6,6000
20001010,20001,20051,6,8,900
20001011,20001,20051,8,9,400
20001012,20001,20051,9,10,100
20002001,20002,20012,1,2,1500
20002002,20002,20012,2,4,4000
20002003,20002,20012,4,6,6000
20002004,20002,20012,6,8,900
20002005,20002,20012,8,9,400
20002006,20002,20012,9,10,100
20002007,20002,20052,1,2,1500
20002008,20002,20052,2,4,4000
20002009,20002,20052,4,6,6000
20002010,20002,20052,6,8,900
20002011,20002,20052,8,9,400
20002012,20002,20052,9,10,100
20002013,20002,20012,1,2,1500
20002014,20002,20012,2,4,4000
20002015,20002,20012,4,6,6000
20002016,20002,20012,6,8,900
20002017,20002,20012,8,9,400
20002018,20002,20012,9,10,100
20002019,20002,20052,1,2,1500
20002020,20002,20052,2,4,4000
20002021,20002,20052,4,6,6000
20002022,20002,20052,6,8,900
20002023,20002,20052,8,9,400
20002024,20002,20052,9,10,100
20003001,20003,20013,1,2,1500
20003002,20003,20013,2,4,4000
20003003,20003,20013,4,6,6000
20003004,20003,20013,6,8,900
20003005,20003,20013,8,9,400
20003006,20003,20013,9,10,100
20003007,20003,20053,1,2,1500
20003008,20003,20053,2,4,4000
20003009,20003,20053,4,6,6000
20003010,20003,20053,6,8,900
20003011,20003,20053,8,9,400
20003012,20003,20053,9,10,100
20003013,20003,20013,1,2,1500
20003014,20003,20013,2,4,4000
20003015,20003,20013,4,6,6000
20003016,20003,20013,6,8,900
20003017,20003,20013,8,9,400
20003018,20003,20013,9,10,100
20003019,20003,20053,1,2,1500
20003020,20003,20053,2,4,4000
20003021,20003,20053,4,6,6000
20003022,20003,20053,6,8,900
20003023,20003,20053,8,9,400
20003024,20003,20053,9,10,100
20004001,20004,20021,1,2,1500
20004002,20004,20021,2,4,4000
20004003,20004,20021,4,6,6000
20004004,20004,20021,6,8,900
20004005,20004,20021,8,9,400
20004006,20004,20021,9,10,100
20004007,20004,20051,1,2,1500
20004008,20004,20051,2,4,4000
20004009,20004,20051,4,6,6000
20004010,20004,20051,6,8,900
20004011,20004,20051,8,9,400
20004012,20004,20051,9,10,100
20005001,20005,20022,1,2,1500
20005002,20005,20022,2,4,4000
20005003,20005,20022,4,6,6000
20005004,20005,20022,6,8,900
20005005,20005,20022,8,9,400
20005006,20005,20022,9,10,100
20005007,20005,20052,1,2,1500
20005008,20005,20052,2,4,4000
20005009,20005,20052,4,6,6000
20005010,20005,20052,6,8,900
20005011,20005,20052,8,9,400
20005012,20005,20052,9,10,100
20005013,20005,20022,1,2,1500
20005014,20005,20022,2,4,4000
20005015,20005,20022,4,6,6000
20005016,20005,20022,6,8,900
20005017,20005,20022,8,9,400
20005018,20005,20022,9,10,100
20005019,20005,20052,1,2,1500
20005020,20005,20052,2,4,4000
20005021,20005,20052,4,6,6000
20005022,20005,20052,6,8,900
20005023,20005,20052,8,9,400
20005024,20005,20052,9,10,100
20006001,20006,20023,1,2,1500
20006002,20006,20023,2,4,4000
20006003,20006,20023,4,6,6000
20006004,20006,20023,6,8,900
20006005,20006,20023,8,9,400
20006006,20006,20023,9,10,100
20006007,20006,20053,1,2,1500
20006008,20006,20053,2,4,4000
20006009,20006,20053,4,6,6000
20006010,20006,20053,6,8,900
20006011,20006,20053,8,9,400
20006012,20006,20053,9,10,100
20006013,20006,20023,1,2,1500
20006014,20006,20023,2,4,4000
20006015,20006,20023,4,6,6000
20006016,20006,20023,6,8,900
20006017,20006,20023,8,9,400
20006018,20006,20023,9,10,100
20006019,20006,20053,1,2,1500
20006020,20006,20053,2,4,4000
20006021,20006,20053,4,6,6000
20006022,20006,20053,6,8,900
20006023,20006,20053,8,9,400
20006024,20006,20053,9,10,100
20007001,20007,20031,1,2,1500
20007002,20007,20031,2,4,4000
20007003,20007,20031,4,6,6000
20007004,20007,20031,6,8,900
20007005,20007,20031,8,9,400
20007006,20007,20031,9,10,100
20007007,20007,20051,1,2,1500
20007008,20007,20051,2,4,4000
20007009,20007,20051,4,6,6000
20007010,20007,20051,6,8,900
20007011,20007,20051,8,9,400
20007012,20007,20051,9,10,100
20008001,20008,20032,1,2,1500
20008002,20008,20032,2,4,4000
20008003,20008,20032,4,6,6000
20008004,20008,20032,6,8,900
20008005,20008,20032,8,9,400
20008006,20008,20032,9,10,100
20008007,20008,20052,1,2,1500
20008008,20008,20052,2,4,4000
20008009,20008,20052,4,6,6000
20008010,20008,20052,6,8,900
20008011,20008,20052,8,9,400
20008012,20008,20052,9,10,100
20008013,20008,20032,1,2,1500
20008014,20008,20032,2,4,4000
20008015,20008,20032,4,6,6000
20008016,20008,20032,6,8,900
20008017,20008,20032,8,9,400
20008018,20008,20032,9,10,100
20008019,20008,20052,1,2,1500
20008020,20008,20052,2,4,4000
20008021,20008,20052,4,6,6000
20008022,20008,20052,6,8,900
20008023,20008,20052,8,9,400
20008024,20008,20052,9,10,100
20009001,20009,20033,1,2,1500
20009002,20009,20033,2,4,4000
20009003,20009,20033,4,6,6000
20009004,20009,20033,6,8,900
20009005,20009,20033,8,9,400
20009006,20009,20033,9,10,100
20009007,20009,20053,1,2,1500
20009008,20009,20053,2,4,4000
20009009,20009,20053,4,6,6000
20009010,20009,20053,6,8,900
20009011,20009,20053,8,9,400
20009012,20009,20053,9,10,100
20009013,20009,20033,1,2,1500
20009014,20009,20033,2,4,4000
20009015,20009,20033,4,6,6000
20009016,20009,20033,6,8,900
20009017,20009,20033,8,9,400
20009018,20009,20033,9,10,100
20009019,20009,20053,1,2,1500
20009020,20009,20053,2,4,4000
20009021,20009,20053,4,6,6000
20009022,20009,20053,6,8,900
20009023,20009,20053,8,9,400
20009024,20009,20053,9,10,100
20010001,20010,20041,1,2,1500
20010002,20010,20041,2,4,4000
20010003,20010,20041,4,6,6000
20010004,20010,20041,6,8,900
20010005,20010,20041,8,9,400
20010006,20010,20041,9,10,100
20010007,20010,20051,1,2,1500
20010008,20010,20051,2,4,4000
20010009,20010,20051,4,6,6000
20010010,20010,20051,6,8,900
20010011,20010,20051,8,9,400
20010012,20010,20051,9,10,100
20011001,20011,20042,1,2,1500
20011002,20011,20042,2,4,4000
20011003,20011,20042,4,6,6000
20011004,20011,20042,6,8,900
20011005,20011,20042,8,9,400
20011006,20011,20042,9,10,100
20011007,20011,20052,1,2,1500
20011008,20011,20052,2,4,4000
20011009,20011,20052,4,6,6000
20011010,20011,20052,6,8,900
20011011,20011,20052,8,9,400
20011012,20011,20052,9,10,100
20011013,20011,20042,1,2,1500
20011014,20011,20042,2,4,4000
20011015,20011,20042,4,6,6000
20011016,20011,20042,6,8,900
20011017,20011,20042,8,9,400
20011018,20011,20042,9,10,100
20011019,20011,20052,1,2,1500
20011020,20011,20052,2,4,4000
20011021,20011,20052,4,6,6000
20011022,20011,20052,6,8,900
20011023,20011,20052,8,9,400
20011024,20011,20052,9,10,100
20012001,20012,20043,1,2,1500
20012002,20012,20043,2,4,4000
20012003,20012,20043,4,6,6000
20012004,20012,20043,6,8,900
20012005,20012,20043,8,9,400
20012006,20012,20043,9,10,100
20012007,20012,20053,1,2,1500
20012008,20012,20053,2,4,4000
20012009,20012,20053,4,6,6000
20012010,20012,20053,6,8,900
20012011,20012,20053,8,9,400
20012012,20012,20053,9,10,100
20012013,20012,20043,1,2,1500
20012014,20012,20043,2,4,4000
20012015,20012,20043,4,6,6000
20012016,20012,20043,6,8,900
20012017,20012,20043,8,9,400
20012018,20012,20043,9,10,100
20012019,20012,20053,1,2,1500
20012020,20012,20053,2,4,4000
20012021,20012,20053,4,6,6000
20012022,20012,20053,6,8,900
20012023,20012,20053,8,9,400
20012024,20012,20053,9,10,100
