Id,Type,Name,WorldMove,ActivateType,ActivateValue,AccountLinked,BpName,ControlPath,BpName2,ControlPath2,QuestPanelControlBlock,ItemRecommendPopup,HelpUpdateGuideId,ActivatePopup
1,0,정식 튜토 리뉴얼,1,0,,0,,,,,1,,,0
2,0,말하는섬 도입 컷씬,1,9,1,0,,,,,0,,,0
3,0,퀘스트 자동기능I,1,9,3,0,,,,,0,,,0
4,1,퀘스트 자동기능II,0,4,1001,0,,,,,0,,,0
6,1,퀘스트 자동기능III,0,4,1002,0,,,,,0,,,0
11,1,자동 장착,1,5,,0,,,,,0,,,0
12,1,정령탄,1,5,,0,,,,,0,,,0
13,1,요일던전,0,5,,0,,,,,0,,,0
14,1,업적,1,5,,0,,,,,0,,,0
15,1,고급 장비 육성 상자,1,5,,0,,,,,0,1,,0
16,1,장비 레벨업,1,5,,0,,,,,0,,,0
17,1,스킬 레벨업,1,5,,0,,,,,0,,,0
18,1,결투장,1,5,,0,,,,,0,,,0
19,1,합성,1,5,,0,,,,,0,,,0
20,1,혈맹,1,1,14,0,BP_GuildEntranceUI,,,,0,,,1
21,1,무한 던전,1,5,,0,,,,,0,,,0
22,1,룬각인,1,5,,0,,,,,0,,,0
23,1,집혼석,1,5,,0,,,,,0,,,0
24,1,정예 던전,1,5,,0,,,,,0,,,0
25,1,승급,1,1,17,0,BP_EquipmentEnhancementUI,CanvasPanelUpgrade,,,0,,,1
26,1,강화,1,1,13,0,BP_EquipmentEnhancementUI,CanvasPanelEnchant,,,0,,,1
27,1,몬스터 도감,1,5,,0,,,,,0,,,0
28,1,유니크 스킬,1,5,,0,,,,,0,,,0
29,1,채집 던전,1,5,,0,,,,,0,,,0
30,1,엘릭서,1,5,,0,,,,,0,,,0
31,1,탑승펫 소환,1,4,33,0,,,,,0,,,0
32,1,소환석 던전,1,5,,0,,,,,0,,,0
34,1,2차 전직,1,1,,0,BP_Class2ndTransferQuestUI,,,,0,,,0
101,1,친구,1,1,,0,BP_FriendUI,,,,0,,,1
102,1,파티,1,1,,0,BP_PartyMenuUI,,,,0,,,1
105,1,거래소,1,1,,1,BP_MainMenuUI,ButtonAuctionHouse,,,0,,,1
112,1,일일 퀘스트,1,1,19,0,BP_TotalQuestMenuUI,CheckBoxDailyQuest,,,0,,,1
113,1,주간 퀘스트,1,1,20,0,BP_TotalQuestMenuUI,CheckBoxWeeklyQuest,,,0,,,1
114,1,혈맹 기부하기,1,8,1,0,BP_MainMenuUI,ButtonGuildMain,,,0,,,1
115,1,혈맹 가입,1,6,20,0,BP_MainMenuUI,,,,0,,,1
116,1,혈맹 업적,1,8,2,0,BP_GuildUI,ButtonGuildQuest,,,0,,,1
117,1,혈맹 던전,1,1,,0,BP_SelectGuildDungeonUI,,,,0,,,1
118,1,퀘스트 진행도,1,1,,0,BP_TotalQuestMenuUI,,,,0,,,1
119,1,제작,1,1,,0,BP_EquipmentEnhancementUI,CanvasPanelURCrafting,,,0,,,1
201,1,전직,1,2,31,0,BP_ClassTransferQuestUI,,,,0,,,1
202,1,아데나 던전,1,5,,0,,,,,0,,,0
203,1,장비 던전,1,5,,0,,,,,0,,,0
205,1,경험치 던전,1,5,,0,,,,,0,,,0
206,1,칭호,1,1,,0,BP_CharacterTitleUI,,,,0,,,1
207,1,망토,1,1,,0,BP_CapeUI,,,,0,,,1
208,1,탈리스만,1,1,,0,BP_TalismanUI,,,,0,,,1
209,1,정복자의 전당,1,9,,0,BP_ShopUI,CanvasPanelNormalShop,,,0,,,1
210,1,몬스터 카드,1,2,25,0,BP_MonsterBookUI,CheckBoxCard,,,0,,,1
301,1,마그나딘 뷰티샵 소개,1,1,,0,BP_BeautyShopLobbyUI,,,,0,,,1
302,1,2차 전직 시작,1,5,,0,,,,,0,,,0
1001,1,포션 롱터치 기능,0,1,,0,,,,,0,,1,0
1002,1,혈맹 권한 설정,0,1,,0,,,,,0,,2,0
1003,1,육성 공략 안내,0,1,,0,,,,,0,,3,0
1004,1,획득처 안내,0,1,,0,,,,,0,,4,0
1005,1,벽난로,0,1,,0,,,,,0,,5,0
1006,1,탑승 및 지원 안내,0,1,,0,,,,,0,,6,0
1007,1,특성 대항력 안내,0,1,,0,,,,,0,,7,0
1009,1,전투 덱 이름 설정 기능,0,1,,0,,,,,0,,9,0
1010,1,정예던전 핫타임,0,1,,0,,,,,0,,10,0
1011,1,망토 최대 레벨 효과보기,0,1,,0,,,,,0,,11,0
1012,1,탈리스만 랭킹,0,1,,0,,,,,0,,12,0
1013,1,최근 사용 장비 보기,0,1,,0,,,,,0,,13,0
1014,1,통계 예측,0,1,,0,,,,,0,,14,0
1015,1,척살 시스템,0,1,,0,,,,,0,,15,0
2005105,1,거인의 상자,1,4,2005105,0,,,,,0,,,0
2006105,1,거인의 상자,1,4,2006105,0,,,,,0,,,0
2007105,1,거인의 상자,1,4,2007105,0,,,,,0,,,0
2008105,1,거인의 상자,1,4,2008105,0,,,,,0,,,0
2009105,1,거인의 상자,1,4,2009105,0,,,,,0,,,0
2010105,1,거인의 상자,1,4,2010105,0,,,,,0,,,0
2035105,1,거인의 상자,1,4,2035105,0,,,,,0,,,0
2036105,1,거인의 상자,1,4,2036105,0,,,,,0,,,0
2037105,1,거인의 상자,1,4,2037105,0,,,,,0,,,0
2038105,1,거인의 상자,1,4,2038105,0,,,,,0,,,0
2039105,1,거인의 상자,1,4,2039105,0,,,,,0,,,0
2040105,1,거인의 상자,1,4,2040105,0,,,,,0,,,0
2065105,1,거인의 상자,1,4,2065105,0,,,,,0,,,0
2066105,1,거인의 상자,1,4,2066105,0,,,,,0,,,0
2067105,1,거인의 상자,1,4,2067105,0,,,,,0,,,0
2068105,1,거인의 상자,1,4,2068105,0,,,,,0,,,0
2069105,1,거인의 상자,1,4,2069105,0,,,,,0,,,0
2070105,1,거인의 상자,1,4,2070105,0,,,,,0,,,0
2095105,1,거인의 상자,1,4,2095105,0,,,,,0,,,0
2096105,1,거인의 상자,1,4,2096105,0,,,,,0,,,0
2097105,1,거인의 상자,1,4,2097105,0,,,,,0,,,0
2098105,1,거인의 상자,1,4,2098105,0,,,,,0,,,0
2099105,1,거인의 상자,1,4,2099105,0,,,,,0,,,0
2100105,1,거인의 상자,1,4,2100105,0,,,,,0,,,0
