TutorialId,Step,Id,ProcessRequest,SystemMessagePosition,NpcPortrait,NpcName,DialogMessage,TaskType,UIType,SkillActivateType,TaskParam,TaskTargetPosX,TaskTargetPosY,BPName,WidgetName,ControlName,ControlIndexType,ControlIndex,MoviePath,Sound,SkipFadeOutKeep,LogIndex
1,1,1001,0,3,,,,10,4,,,,,,,,4,,./Movies/Lineage2_Intro_720P.mp4,,0,5
1,2,1002,1,3,,,,16,4,,500,,,,,,4,,,,0,
2,1,2001,0,3,,,,2,4,,Tutor_Scene04_01,,,,,,4,,,,1,7
2,2,2002,1,3,,,,16,4,,500,,,,,,4,,,,0,
3,1,3001,0,3,,,,2,4,,CutScene,,,,,,4,,,,0,
3,2,3002,1,2,Noble_03,항구 관리인 프쉬케,"어서 오세요. 말하는 섬에는 처음인가요?
이곳을 누르면, 자동 퀘스트가 진행돼요.",0,3,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_03_1,0,
4,1,4001,0,3,,,,16,3,,1500,,,,,,4,,,,0,
4,2,4002,1,2,Resident_04_03,용병단장 더글라스,"퀘스트가 완료되면
자동 퀘스트가 중지되니,
다시 누르게.",0,3,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_04_1,0,
6,1,6001,1,2,Resident_04_03,용병단장 더글라스,"마지막으로 연습하지.
다시 이곳을 눌러
나에게 말을 걸게.",0,3,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_06_1,0,
11,1,11001,0,2,Officer,경비대장 헤럴드,가방 버튼을 눌러 보게. 가방에선 아이템을 확인할 수 있네.,0,3,,,,,BP_GameUI,MainToolbar,ButtonInventory,4,,,Tutorial_Dialogue_11_1,0,
11,2,11002,1,3,,,,16,3,,,,,,,,4,,,,0,
11,3,11003,0,2,Officer,경비대장 헤럴드,"자동장착 버튼을 누르면,
간편하게 장비를 장착할 수 있지.",0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,ButtonAutoEquip,4,,,Tutorial_Dialogue_11_2,0,
11,4,11004,0,3,,,,16,3,,2000,,,,,,4,,,,0,
11,5,11005,0,3,Officer,경비대장 헤럴드,"이제 막 시작한 자네와 같은 모험가들에게 유용한 기능이니,
잘 활용하길 바라네.",23,3,,,,,,,,4,,,Tutorial_Dialogue_11_3,0,
11,6,11006,1,3,,,,19,3,,,,,,,,4,,,,0,
12,1,12001,1,3,Fernel,페르넬,"<YellowBold>정령탄</>을 사용하면
보다 강력한 공격이 가능하지.",23,3,,,,,,,,4,,,Tutorial_Dialogue_12_1,0,
12,2,12002,0,1,Fernel,페르넬,"이곳을 누르면, 정령탄을 자동으로 사용할 수 있다네.",0,3,,,,,BP_GameUI,PotionUI,ButtonSoulshot,4,,,Tutorial_Dialogue_12_2,0,
12,3,12003,0,3,Fernel,페르넬,이때 정령탄은 <YellowBold>공격할 때 마다 소모</>된다네.,23,3,,,,,,,,4,,,Tutorial_Dialogue_12_3,0,
12,4,12004,0,3,Fernel,페르넬,공격하지 않을 때는 사용되지 않으니 안심하게나.,23,3,,,,,,,,4,,,Tutorial_Dialogue_12_4,0,
12,5,12005,0,3,Fernel,페르넬,"자동 사용을 원하지 않으면, 다시 버튼을 누르면 되네.",23,3,,,,,,,,4,,,Tutorial_Dialogue_12_5,0,
12,6,12006,0,3,Fernel,페르넬,"<YellowBold>정령탄은 상점에서 </>쉽게 구할 수 있으니, 항상 준비해두는 것이 좋다네. 기억하게나!",23,3,,,,,,,,4,,,Tutorial_Dialogue_12_6,0,
12,7,12007,1,3,,,,19,3,,,,,,,,4,,,,0,
13,1,13001,0,1,Student_01_02,니아,요일 던전에 진입하는 방법을 알려 드릴게요.,0,3,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_13_1,0,
13,2,13002,0,1,Student_01_02,니아,요일 던전의 입구는 던전 메뉴의 안에 있어요.,0,3,,,,,BP_MainMenuUI,,CheckBoxDungeon,4,,,Tutorial_Dialogue_13_2,0,
13,3,13003,0,1,Student_01_02,니아,일반 던전을 터치하세요.,0,3,,,,,BP_MainMenuUI,,ButtonDungeonMain,4,,,,0,
13,4,13004,0,3,Student_01_02,니아,다양한 던전들이 보이시죠? ,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_3,0,
13,5,13005,0,3,Student_01_02,니아,"아직은 입장 가능한 던전이 많지 않지만, 성장을 통해 더 다양한 던전을 플레이 가능하게 될 겁니다.",23,3,,,,,,,,4,,,Tutorial_Dialogue_13_4,0,
13,6,13006,0,0,Student_01_02,니아,이제 요일 던전을 선택해 보세요.,0,3,,,,,BP_SelectDungeonUI,,TileViewDungeonList,4,0,,Tutorial_Dialogue_13_5,0,
13,7,13007,1,3,Student_01_02,니아,<YellowBold>요일 던전</>에서는 <YellowBold>매일 새로운 마물</>들이 출몰해요.,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_6,0,
13,8,13008,0,3,Student_01_02,니아,"이 녀석들을 처치하시면, <YellowBold>특별한 보상</>을 받으실 수 있을 거에요!",23,3,,,,,,,,4,,,Tutorial_Dialogue_13_7,0,
13,9,13009,0,3,Student_01_02,니아,강한 마물을 처치하실수록 더욱 귀한 보상을 얻을 테니 어서 빨리 강해지셔야 해요.,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_8,0,
13,10,13010,0,1,Student_01_02,니아,어서 입장 버튼을 누르세요.,0,3,,,,,BP_DailyDungeonUI,,ButtonFreeChallenge,4,,,Tutorial_Dialogue_13_9,0,
13,11,13011,0,3,,,,16,3,,WorldMove,,,,,,4,,,,0,
13,12,13012,0,3,,,,16,3,,2000,,,,,,4,,,,0,
13,13,13013,1,3,,,,16,3,,1,,,,,,4,,,,0,
13,14,13014,0,1,Student_01_02,니아,자동 사냥 버튼을 터치해 보세요.,0,3,,,,,BP_GameUI,,ButtonAuto,4,,,Tutorial_Dialogue_13_10,0,
13,15,13015,1,3,,,,16,3,,1,,,,,,4,,,,0,
13,16,13016,0,3,,,,11,3,,,,,,,,4,,,,0,
13,17,13017,0,3,,,,16,3,,12000,,,,,,4,,,,0,
13,18,13018,0,0,Student_01_02,니아,"이렇게 강력한 몬스터를 쓰러뜨리다니, 대단해요!",0,3,,,,,BP_DailyDungeonResultUI,CanvasPanelRight,ButtonClose,4,,,Tutorial_Dialogue_13_11,0,
13,19,13019,0,3,,,,16,3,,WorldMove,,,,,,4,,,,0,
13,20,13020,1,3,Student_01_02,니아,입장 횟수는 <YellowBold>매일 초기화</> 된대요. 하루하루 잊지 말고 도전하세요!,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_12,0,
13,21,13021,0,3,,,,11,3,,,,,,,,4,,,,0,
13,22,13022,0,3,,,,16,3,,2000,,,,,,4,,,,0,
13,23,13023,0,3,Student_01_02,니아,요일 던전은 <YellowBold>실패해도 도전 횟수가 줄어들지 않는대요.</>도전을 어려워하지 마세요!!,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_13,0,
13,24,13024,0,1,Student_01_02,니아,이번에는 실패했지만 다음에는 꼭 성공할 거에요. ,0,3,,,,,BP_ReviveSceneNEW,,ButtonExit,4,,,Tutorial_Dialogue_13_14,0,
13,25,13025,1,3,,,,16,3,,500,,,,,,4,,,,0,
14,1,14001,0,1,TemplePriest_01,집정관 다니엘,자네의 업적을 열람하고 보상받기 위해서 메인메뉴를 이용해야 하네.,0,3,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_14_1,0,
14,2,14002,0,1,TemplePriest_01,집정관 다니엘,업적을 확인하기 위해서는 우선 도전메뉴를 선택해야 하지.,0,3,,,,,BP_MainMenuUI,,CheckBoxChallenge,4,,,Tutorial_Dialogue_14_2,0,
14,3,14003,0,1,TemplePriest_01,집정관 다니엘,좋아. 이제 업적을 선택해 보게.,0,3,,,,,BP_MainMenuUI,,ButtonAchievement,4,,,Tutorial_Dialogue_14_3,0,
14,4,14004,0,3,TemplePriest_01,집정관 다니엘,"이곳에선 자네의 <YellowBold>업적</>을 인정받고,
그에 따른 <YellowBold>보상</>을 받을 수 있네.",23,3,,,,,,,,4,,,Tutorial_Dialogue_14_4,0,
14,5,14005,0,3,TemplePriest_01,집정관 다니엘,"마침 이미 달성한 <YellowBold>업적</>이 있는 것 같군.
<YellowBold>보상</>을 받아 보도록 하지.",23,3,,,,,,,,4,,,Tutorial_Dialogue_14_5,0,
14,6,14006,0,1,TemplePriest_01,집정관 다니엘,보상받기 버튼을 눌러보게.,0,3,,,,,BP_AchievementUI,TableViewAchievementList,ButtonReward,4,0,,Tutorial_Dialogue_14_6,0,
14,7,14007,0,3,,,,16,3,,2000,,,,,,4,,,,0,
14,8,14008,0,3,TemplePriest_01,집정관 다니엘,잘했네. 공로를 많이 세우면 그에 걸맞는 <YellowBold>호칭과 능력</>을 부여받을 수도 있다네.,23,3,,,,,,,,4,,,Tutorial_Dialogue_14_7,0,
14,9,14009,0,1,TemplePriest_01,집정관 다니엘,바로 이곳을 통해 확인할 수 있지.,0,3,,,,,BP_AchievementUI,,ButtonHeroicGrade,4,,,Tutorial_Dialogue_14_8,0,
14,10,14010,0,1,TemplePriest_01,집정관 다니엘,아직은 쌓아둔 업적이 많지 않아 받을 수 있는 보상이 없군.,0,3,,4500,,,BP_AchievementGradePopup,,TileViewHeroicLevelInfo,4,0,,Tutorial_Dialogue_14_9,0,
14,11,14011,0,1,TemplePriest_01,집정관 다니엘,"업적 등급이 오르면, 캐릭터의 능력도 증가하고 매일 보급품을 보상으로 받을 수 있지.",0,3,,7000,,,BP_AchievementGradePopup,,TileViewHeroicLevelInfo,4,1,,Tutorial_Dialogue_14_10,0,
14,12,14012,0,3,TemplePriest_01,집정관 다니엘,이제 잘 알겠나? 업적은 <YellowBold>다양한 방법</>으로 획득 가능하니 어느 하나도 소홀히 하지 말게.,23,3,,,,,,,,4,,,Tutorial_Dialogue_14_11,0,
14,13,14013,1,3,,,,19,3,,,,,,,,4,,,,0,
15,1,15001,0,2,ItemMerchant_01_02,잡화 상인 아나이스,상점을 통해 특별한 지원품을 받을 수 있답니다.,0,3,,,,,BP_GameUI,MainToolbar,ButtonShop,4,,,Tutorial_Dialogue_15_1,0,
15,2,15002,0,1,ItemMerchant_01_02,잡화 상인 아나이스,일반 상점 메뉴를 선택해보세요.,0,3,,,,,BP_ShopMainUI,,ButtonNormalShop,4,,,,0,
15,3,15003,0,2,ItemMerchant_01_02,잡화 상인 아나이스,"이 상품이에요.
나중에 또 받을 수 있으니 잘 기억해 둬요.",0,3,,,,,BP_ShopUI,,TileViewShopItemList,4,1,,Tutorial_Dialogue_15_2,0,
15,4,15004,0,3,ItemMerchant_01_02,잡화 상인 아나이스,획득한 상자는 가방을 열어 확인해보세요.,23,3,,,,,,,,4,,,Tutorial_Dialogue_15_5,0,
15,5,15005,0,3,ItemMerchant_01_02,잡화 상인 아나이스,상자에서 획득한 장비는 <YellowBold>레벨업</>을 통해더 강해질 수 있어요!,23,3,,,,,,,,4,,,,0,
