Index,Id,Name,Resource,SocketName,Scale,EffectRotationOnly,Offset_X,Offset_Y,Offset_Z
1,1,스턴,Common/Stun_DeBuff_Effect,Socket_Top,0.8,1,,,
2,2,화상,Common/Burn_DeBuff_Effect,Socket_Center,0.5,1,,,
3,3,정령탄 테스트,Common/Positive_Buff_Effect,Socket_Center,1,1,,,
4,4,화상,Common/Burn_DeBuff_Effect,Socket_Center,0.3,1,,,
5,5,독,Common/Poison_DeBuff_Effect,Socket_Center,1,1,,,
6,6,독,Common/Poison_DeBuff_Effect,Socket_Center,1,1,,,
7,7,과열,Common/Negative_DeBuff_Effect,Socket_Center,3,1,,,
8,8,독,Monster/mfx_casting_air_normal_201_kye,Socket_Center,1,1,,,
9,100,레벨업 이펙트,Common/LevelUp_01_jh,Bip01-Head,1,1,,,
1000,1000,보물 파수꾼,BP/BP_PTC_Buff_TreasureGuardian,Socket_Center,1,1,,,
10,1001,긍정 테스트,Common/Positive_Buff_Effect,Socket_Center,1,1,,,
11,1002,재화 테스트,Common/Wealth_Buff_Effect,Socket_Center,1,1,,,
12,1003,HP 테스트,Common/HP_Buff_Effect,Socket_Center,1,1,,,
13,1004,마나실드 테스트,Common/ManaShield_Buff_Effect,Socket_Center,1,1,,,
14,1005,부정 테스트,Common/Negative_DeBuff_Effect,Socket_Center,1,1,,,
15,1006,저주 테스트,Common/Curse_DeBuff_Effect,Socket_Center,1,1,,,
16,1007,출혈 테스트,Common/Bleed_DeBuff_Effect,Socket_Center,1,1,,,
17,1008,화상 테스트,Common/Burn_DeBuff_Effect,Socket_Center,1,1,,,
18,1009,스턴 테스트,Common/Stun_DeBuff_Effect,Socket_Top,1,1,,,
19,1010,도발 테스트,Common/Taunt_DeBuff_Effect,Socket_Top,1,1,,,
20,30001,앱솔루트실드,PC/Human/absolute_loop01,Socket_Center,1,1,,,
21,100001,무적 버프,Common/Positive_Buff_Effect,Socket_Center,,1,,,
22,100003,튼튼 버프,Common/Positive_Buff_Effect,Socket_Center,0.5,1,,,
23,100004,똑똑 버프,Common/Positive_Buff_Effect,Socket_Center,0.4,1,,,
24,301,라텔 이동속도,Common/Ratel_PC_Buff_01,Socket_Center,1,1,,,
25,302,라텔 채집속도,Common/Ratel_PC_Buff_02,Socket_Center,1,1,,,
26,303,라텔 채집량,Common/Ratel_PC_Buff_03,Socket_Center,1,1,,,
27,305,정원의 수호자,PC/Human/SecretEnt_buff_01_gi,Socket_Center,1.5,1,,,
28,100005,정령탄 시작이팩트,Common/SoulShotReady_01,Bip01-R-Finger1,1,1,,,
29,100006,HP물약 사용 이팩트,Common/HpPotionUse_01,Fx_Base,1,1,,,
30,100007,MP물약 사용 이팩트,Common/MpPotionUse_01,Fx_Base,1,1,,,
31,101,전직 이펙트,Common/ClassTransfer_01,Fx_Base,1,1,,,
32,102,전직 이펙트,Common/ClassTransfer_02,Camera,1,1,,,
33,400001,필드 성소 버프 1,Common/Buff_HolyArtifact_01,Socket_Center,1,1,,,
34,400002,필드 성소 버프 2,Common/Buff_HolyArtifact_02,Socket_Center,1,1,,,
35,400003,필드 성소 버프 3,Common/Buff_HolyArtifact_03,Socket_Center,1,1,,,
36,400004,필드 성소 버프 4,Common/Buff_HolyArtifact_04,Socket_Center,1,1,,,
37,400005,필드 성소 버프 5,Common/Buff_HolyArtifact_05,Socket_Center,1,1,,,
38,300001,바르칼로 보호막,Monster/Deathknight/Deathknight_Skill02_Loop_jh,Socket_Center,1.5,1,,,
39,300002,바르칼로 광폭화,Monster/Deathknight/Deathknight_Skill05_Loop_jh,Socket_Center,1.5,1,,,
40,300003,바르칼로 광폭화(무기),Monster/Deathknight/Deathknight_Skill05_Loop_sword_jh,WeaponR,1.2,1,,,
41,302001,"군주 핫타임 버프1(HP,MP)",Common/Buff_GuildMaster_01_jh,Socket_Top,1,1,,,
42,302002,"군주 핫타임 버프2(경험치,코어)",Common/Buff_GuildMaster_02_jh,Socket_Top,1,1,,,
