AchievementLevel,PointToNextLv,LevelIcon,UsingAlphaTexture,NameKey,AdditionalAtkPhy,AdditionalAtkMag,AdditionalDefPhy,AdditionalDefMag,AdditionalHp,AdditionalMp,AdditionalPenetration
0,150,Icon_HeroicRank_00,Icon_HeroicRank_01_Alpha,791000000000,0,0,0,0,0,0,0
1,1300,Icon_HeroicRank_01,Icon_HeroicRank_01_Alpha,791000000001,53,53,64,64,84,84,80
2,3200,Icon_HeroicRank_02,Icon_HeroicRank_01_Alpha,791000000002,90,90,100,100,130,130,140
3,5000,Icon_HeroicRank_03,Icon_HeroicRank_01_Alpha,791000000003,150,150,170,170,230,230,250
4,8250,Icon_HeroicRank_04,Icon_HeroicRank_01_Alpha,791000000004,230,230,260,260,350,350,390
5,11100,Icon_HeroicRank_05,Icon_HeroicRank_01_Alpha,791000000005,320,320,370,370,490,490,560
6,14700,Icon_HeroicRank_06,Icon_HeroicRank_06_Alpha,791000000006,430,430,490,490,650,650,750
7,19900,Icon_HeroicRank_07,Icon_HeroicRank_06_Alpha,791000000007,540,540,630,630,820,820,970
8,24900,Icon_HeroicRank_08,Icon_HeroicRank_06_Alpha,791000000008,670,670,780,780,1010,1010,1200
9,33950,Icon_HeroicRank_09,Icon_HeroicRank_06_Alpha,791000000009,810,810,930,930,1220,1220,1440
10,43400,Icon_HeroicRank_10,Icon_HeroicRank_06_Alpha,791000000010,960,960,1100,1100,1440,1440,1710
11,55450,Icon_HeroicRank_11,Icon_HeroicRank_11_Alpha,791000000011,1110,1110,1280,1280,1670,1670,1990
12,66500,Icon_HeroicRank_12,Icon_HeroicRank_11_Alpha,791000000012,1270,1270,1470,1470,1920,1920,2280
13,80550,Icon_HeroicRank_13,Icon_HeroicRank_11_Alpha,791000000013,1440,1440,1660,1660,2170,2170,2590
14,100600,Icon_HeroicRank_14,Icon_HeroicRank_11_Alpha,791000000014,1620,1620,1870,1870,2440,2440,2910
15,118950,Icon_HeroicRank_15,Icon_HeroicRank_11_Alpha,791000000015,1800,1800,2080,2080,2720,2720,3240
