GroupId,Id,RewardType,RewardItemInfoId,RewardCount,RewardIcon
0,1,Item,911176,1,Icon_Box_EquipLevelMaterial
0,2,Item,400001,30,Icon_SoulShot_01
1,3,Item,911176,1,Icon_Box_EquipLevelMaterial
1,4,Item,400001,40,Icon_SoulShot_01
2,5,Item,911176,1,Icon_Box_EquipLevelMaterial
2,6,Item,400001,50,Icon_SoulShot_01
3,7,Item,911177,1,Icon_Box_EquipLevelMaterial
3,8,Item,400001,60,Icon_SoulShot_01
4,9,Item,911177,1,Icon_Box_EquipLevelMaterial
4,10,Item,400001,70,Icon_SoulShot_01
5,11,Item,911177,1,Icon_Box_EquipLevelMaterial
5,12,Item,400001,80,Icon_SoulShot_01
6,13,Item,911177,1,Icon_Box_EquipLevelMaterial
6,14,Item,400001,90,Icon_SoulShot_01
7,15,Item,911177,1,Icon_Box_EquipLevelMaterial
7,16,Item,400001,100,Icon_SoulShot_01
8,17,Item,911177,1,Icon_Box_EquipLevelMaterial
8,18,Item,400001,110,Icon_SoulShot_01
9,19,Item,911177,1,Icon_Box_EquipLevelMaterial
9,20,Item,400001,120,Icon_SoulShot_01
10,21,Item,911178,1,Icon_Box_EquipLevelMaterial
10,22,Item,400001,130,Icon_SoulShot_01
11,23,Item,911178,1,Icon_Box_EquipLevelMaterial
11,24,Item,400001,140,Icon_SoulShot_01
12,25,Item,911178,1,Icon_Box_EquipLevelMaterial
12,26,Item,400001,150,Icon_SoulShot_01
13,27,Item,911178,1,Icon_Box_EquipLevelMaterial
13,28,Item,400001,160,Icon_SoulShot_01
14,29,Item,911178,1,Icon_Box_EquipLevelMaterial
14,30,Item,400001,170,Icon_SoulShot_01
15,31,Item,911178,1,Icon_Box_EquipLevelMaterial
15,32,Item,400001,180,Icon_SoulShot_01
16,33,Item,911179,1,Icon_Box_EquipLevelMaterial
16,34,Item,400001,190,Icon_SoulShot_01
17,35,Item,911179,1,Icon_Box_EquipLevelMaterial
17,36,Item,400001,200,Icon_SoulShot_01
18,37,Item,911179,1,Icon_Box_EquipLevelMaterial
18,38,Item,400001,210,Icon_SoulShot_01
19,39,Item,911179,1,Icon_Box_EquipLevelMaterial
19,40,Item,400001,220,Icon_SoulShot_01
20,41,Item,911179,1,Icon_Box_EquipLevelMaterial
20,42,Item,400001,230,Icon_SoulShot_01
21,43,Item,911179,1,Icon_Box_EquipLevelMaterial
21,44,Item,400001,240,Icon_SoulShot_01
22,45,Item,911179,1,Icon_Box_EquipLevelMaterial
22,46,Item,400001,250,Icon_SoulShot_01
23,47,Item,911179,1,Icon_Box_EquipLevelMaterial
23,48,Item,400001,260,Icon_SoulShot_01
24,49,Item,911179,1,Icon_Box_EquipLevelMaterial
24,50,Item,400001,270,Icon_SoulShot_01
25,51,Item,911180,1,Icon_Box_EquipLevelMaterial
25,52,Item,400001,280,Icon_SoulShot_01
26,53,Item,911180,1,Icon_Box_EquipLevelMaterial
26,54,Item,400001,290,Icon_SoulShot_01
27,55,Item,911180,1,Icon_Box_EquipLevelMaterial
27,56,Item,400001,300,Icon_SoulShot_01
28,57,Item,911180,1,Icon_Box_EquipLevelMaterial
28,58,Item,400001,310,Icon_SoulShot_01
29,59,Item,911180,1,Icon_Box_EquipLevelMaterial
29,60,Item,400001,320,Icon_SoulShot_01
30,61,Item,911180,1,Icon_Box_EquipLevelMaterial
30,62,Item,400001,330,Icon_SoulShot_01
31,63,Item,911180,1,Icon_Box_EquipLevelMaterial
31,64,Item,400001,340,Icon_SoulShot_01
32,65,Item,911180,1,Icon_Box_EquipLevelMaterial
32,66,Item,400001,350,Icon_SoulShot_01
33,67,Item,911180,1,Icon_Box_EquipLevelMaterial
33,68,Item,400001,360,Icon_SoulShot_01
34,69,Item,911180,1,Icon_Box_EquipLevelMaterial
34,70,Item,400001,370,Icon_SoulShot_01
35,71,Item,911181,1,Icon_Box_EquipLevelMaterial
35,72,Item,400001,380,Icon_SoulShot_01
36,73,Item,911181,1,Icon_Box_EquipLevelMaterial
36,74,Item,400001,390,Icon_SoulShot_01
37,75,Item,911181,1,Icon_Box_EquipLevelMaterial
37,76,Item,400001,400,Icon_SoulShot_01
38,77,Item,911181,1,Icon_Box_EquipLevelMaterial
38,78,Item,400001,410,Icon_SoulShot_01
39,79,Item,911181,1,Icon_Box_EquipLevelMaterial
39,80,Item,400001,420,Icon_SoulShot_01
40,81,Item,911181,1,Icon_Box_EquipLevelMaterial
40,82,Item,400001,430,Icon_SoulShot_01
41,83,Item,911181,1,Icon_Box_EquipLevelMaterial
41,84,Item,400001,440,Icon_SoulShot_01
42,85,Item,911181,1,Icon_Box_EquipLevelMaterial
42,86,Item,400001,450,Icon_SoulShot_01
43,87,Item,911181,1,Icon_Box_EquipLevelMaterial
43,88,Item,400001,460,Icon_SoulShot_01
44,89,Item,911181,1,Icon_Box_EquipLevelMaterial
44,90,Item,400001,470,Icon_SoulShot_01
45,91,Item,911181,1,Icon_Box_EquipLevelMaterial
45,92,Item,400001,480,Icon_SoulShot_01
46,93,Item,911181,1,Icon_Box_EquipLevelMaterial
46,94,Item,400001,490,Icon_SoulShot_01
47,95,Item,911181,1,Icon_Box_EquipLevelMaterial
47,96,Item,400001,500,Icon_SoulShot_01
48,97,Item,911181,1,Icon_Box_EquipLevelMaterial
48,98,Item,400001,510,Icon_SoulShot_01
49,99,Item,911181,1,Icon_Box_EquipLevelMaterial
49,100,Item,400001,520,Icon_SoulShot_01
50,101,Item,911181,1,Icon_Box_EquipLevelMaterial
50,102,Item,400001,530,Icon_SoulShot_01
