Type,NameKey,Description
AttackPowerPhy,91000000001,
AttackPowerMag,91000000002,
AttackPowerPhyMul,91000000003,
AttackPowerMagMul,91000000004,
AddAttackPowerNormalAttack,91000000005,
AttackPowerMulPartyCount,91000000006,
AttackSpeedMul,91000000007,
CombatPower,91000000008,
SkillCoolTime,91000000009,
CriticalRate,91000000010,
AntiCriticalRate,91000000011,
CriticalDamageMul,91000000012,
CriticalValue,91000000013,
AntiCriticalValue,91000000014,
CriticalValueMul,91000000015,
AntiCriticalValueMul,91000000016,
DefensePowerPhy,91000000017,
DefensePowerMag,91000000018,
DefensePowerPhyMul,91000000019,
DefensePowerMagMul,91000000020,
DodgeValue,91000000021,
DodgeValueMul,91000000022,
DodgeRate,91000000023,
HitValue,91000000024,
HitValueMul,91000000025,
HitRate,91000000026,
IncreaseDamageMul,91000000027,
IncreaseDamagePhyMul,91000000028,
IncreaseDamageMagMul,91000000029,
SlowActorIncreaseDamageMul,91000000030,
AddIgnoreDefenseDamage,91000000031,
DecreaseDamageMul,91000000032,
DecreaseDamagePhyMul,91000000033,
DecreaseDamageMagMul,91000000034,
AddDecreaseDamage,91000000035,
ParryingRate,91000000036,
ParryingReduceDamageRate,91000000037,
Exp,91000000038,
ExpGainRate,91000000039,
AggroMul,91000000040,
HP,91000000041,
HPRecovery,91000000042,
HPStealRate,91000000043,
ItemDropRateAdd,91000000044,
MaxHP,91000000045,
MaxHPMul,91000000046,
MaxMP,91000000047,
MaxMPMul,91000000048,
MP,91000000049,
MPCostMul,91000000050,
MPRecovery,91000000051,
MoveSpeed,91000000052,
MoveSpeedMul,91000000053,
SlowResistRate,91000000054,
StunResistRate,91000000055,
CCResistRate,91000000056,
PullingResistRate,91000000057,
KnockBaskResistRate,91000000058,
Adena,91000000059,
AdenaGainRate,91000000060,
FreeDiamond,91000000061,
PayDiamond,91000000062,
QuestTicket,91000000063,
QuestSweepTicket,91000000064,
RunePiece,91000000065,
SkillPoint,91000000066,
FriendshipPoint,91000000067,
Topaz,91000000068,
Mileage,91000000069,
Invincible,91000000070,
OneKill,91000000071,
Smart,91000000072,
Strong,91000000073,
ClassExp,91000000074,
GuildCoin,91000000075,
AchievementPoint,91000000076,
CastleSiegeFestivalCoupon,91000000077,
PvpTicket,91000000078,
PvpHonorPoint,91000000079,
Level,91000000080,
Penetration,91000000081,
Resilience,91000000082,
IncreaseSkillRange,91000000083,
IncreaseSkillHitCount,91000000084,
GatheringSpeedMul,91000000085,
GatheringAmountMul,91000000086,
ManaShieldRate,91000000087,
PkBlock,91000000088,
MonsterCoreDropRateAdd,91000000089,
BattlePoint,91000000090,
IncreaseComboExpireTime,91000000091,
