Group,Type,Day,RewardType,RewardItemInfoId,RewardCount,RewardIcon
22,Beginner,1,Item,911133,1,Icon_GachaItem_ArmorS
22,Beginner,2,Item,910252,1,Icon_Box_Adena_03
22,Beginner,3,Item,430014,1,Icon_SoulCrystal_10
22,Beginner,4,Item,910252,1,Icon_Box_Adena_03
22,Beginner,5,Item,910004,3,Icon_Box_Scroll_01
22,Beginner,6,Item,910006,5,Icon_GachaItem_Transcendence
22,Beginner,7,Item,911012,1,Icon_GachaItem_WeaponR
22,Normal,1,Item,910218,3,Icon_Box_EquipLevelMaterial
22,Normal,2,Item,910205,1,Icon_GachaItem_Soulcrystal
22,Normal,3,Item,490112,1,Icon_RidingPetArmor_Saddle_01
22,Normal,4,Item,910237,1,Icon_Gacha_EnchantScroll
22,Normal,5,Item,910252,1,Icon_Box_Adena_03
22,Normal,6,Item,910237,1,Icon_Gacha_EnchantScroll
22,Normal,7,Item,911011,1,Icon_Shop_Gacha_Armor_01
22,Returner,1,Item,911011,1,Icon_Shop_Gacha_Armor_01
22,Returner,2,Item,910252,1,Icon_Box_Adena_03
22,Returner,3,Item,480011,3,Icon_ArmorLevelMaterial_01
22,Returner,4,Item,910252,1,Icon_Box_Adena_03
22,Returner,5,Item,911180,1,Icon_Box_EquipLevelMaterial
22,Returner,6,Item,910258,1,Icon_Box_Adena_03
22,Returner,7,Item,420002,10,Icon_Asset_Upgrade_02
102,Beginner,1,Item,30910225,1,Icon_GachaItem_EquipmentA
102,Beginner,2,Item,910004,1,Icon_Box_Scroll_01
102,Beginner,3,Item,911178,3,Icon_Box_EquipLevelMaterial
102,Beginner,4,Item,911178,5,Icon_Box_EquipLevelMaterial
102,Beginner,5,Item,30910225,2,Icon_GachaItem_EquipmentA
102,Beginner,6,Item,911179,5,Icon_Box_EquipLevelMaterial
102,Beginner,7,Item,910005,2,Icon_Box_BlessedScroll_01
102,Normal,1,Item,30910225,1,Icon_GachaItem_EquipmentA
102,Normal,2,Item,910004,1,Icon_Box_Scroll_01
102,Normal,3,Item,911178,3,Icon_Box_EquipLevelMaterial
102,Normal,4,Item,911178,5,Icon_Box_EquipLevelMaterial
102,Normal,5,Item,30910225,2,Icon_GachaItem_EquipmentA
102,Normal,6,Item,911179,5,Icon_Box_EquipLevelMaterial
102,Normal,7,Item,910005,2,Icon_Box_BlessedScroll_01
102,Returner,1,Item,30910225,1,Icon_GachaItem_EquipmentA
102,Returner,2,Item,910004,1,Icon_Box_Scroll_01
102,Returner,3,Item,911178,3,Icon_Box_EquipLevelMaterial
