Id,GroupId,Name,UnusedGrade,ItemGrade,ItemMaxGrade
1,1,AUCTION_HOUSE_TYPE_ALL,0,S,UR
2,2,AUCTION_HOUSE_TYPE_ALLETC,1,,
201,11,AUCTION_SUB_GROUP_SWORD,0,S,UR
202,11,AUCTION_SUB_GROUP_DUALSWORD,0,S,UR
203,11,AUCTION_SUB_GROUP_DAGGER,0,S,UR
204,11,AUCTION_SUB_GROUP_SPEAR,0,S,UR
205,11,AUCTION_SUB_GROUP_BOW,0,S,UR
206,11,AUCTION_SUB_GROUP_STAFF,0,S,UR
301,12,AUCTION_SUB_GROUP_HELMET,0,S,UR
302,12,AUCTION_SUB_GROUP_ARMOR,0,S,UR
303,12,AUCTION_SUB_GROUP_GLOVES,0,S,UR
304,12,AUCTION_SUB_GROUP_BOOTS,0,S,UR
401,13,AUCTION_SUB_GROUP_EARRING,0,S,SR
402,13,AUCTION_SUB_GROUP_RING,0,S,SR
403,13,AUCTION_SUB_GROUP_NECKLACE,0,S,SR
501,14,AUCTION_SUB_GROUP_ATTACKPOWER,0,S,SR
502,14,AUCTION_SUB_GROUP_DEFENSEPOWER,0,S,SR
503,14,AUCTION_SUB_GROUP_HP,0,S,SR
504,14,AUCTION_SUB_GROUP_HIT,0,S,SR
505,14,AUCTION_SUB_GROUP_DODGE,0,S,SR
506,14,AUCTION_SUB_GROUP_CRITICAL,0,S,SR
507,14,AUCTION_SUB_GROUP_ANTICRITICAL,0,S,SR
508,14,AUCTION_SUB_GROUP_PENETRATION,0,S,SR
509,14,AUCTION_SUB_GROUP_RESILIENCE,0,S,SR
601,15,PET_EQUIPMENT_HELMET,0,S,SR
602,15,PET_EQUIPMENT_SADDLE,0,S,SR
603,15,PET_EQUIPMENT_ARMOR,0,S,SR
604,15,PET_EQUIPMENT_HOOF,0,S,SR
10001,51,COMBINATION_ENCHANTMATERIAL,1,,
10002,51,COMBINATION_UPGRADEMATERIAL,1,,
10003,51,AUCTION_SUB_GROUP_PROTECTIONJEWEL,1,,
10004,51,AUCTION_SUB_GROUP_ABILITYSTONE,0,S,SR
10005,51,AUCTION_SUB_GROUP_LIMITBREAK,0,SR,UR
10101,52,AUCTION_HOUSE_TYPE_HERB,1,,
10102,52,AUCTION_SUB_GROUP_RECIPE,1,,
10201,53,AUCTION_SUB_GROUP_EQUIP_MATERIAL,0,S,SR
10202,53,AUCTION_SUB_GROUP_PET_EQUIP_MATERIAL,0,S,SR
10203,53,AUCTION_SUB_GROUP_SOULCRYSTAL_MATERIAL,1,S,SR
10301,54,AUCTION_SUB_GROUP_TALKINGSISLANDEASTERN,0,C,B
10302,54,AUCTION_SUB_GROUP_TALKINGSISLANDEASWESTERN,0,C,S
10303,54,AUCTION_SUB_GROUP_ELVENRUINS1,0,A,A
10304,54,AUCTION_SUB_GROUP_ELVENRUINS2,0,A,R
10305,54,AUCTION_SUB_GROUP_GLUDINMAINROAD,0,C,S
10306,54,AUCTION_SUB_GROUP_GLUDIOPLAIN,0,C,S
10307,54,AUCTION_SUB_GROUP_WINDAWOOD,0,C,S
10308,54,AUCTION_SUB_GROUP_WASTELAND,0,C,S
