Id,Param1,NameKey,BuffType,ClientType,Param,Param2,EffectTypeNameKey,Group,DbSaveType,PvPSaveType,RealTimeDbSave,OverlayType,StackType,StackCount,FireRate,EndCondition,RemainWhenDead,Duration,ExDurationType,ExDuration,Period,VisualEffectId,ExtendVisualEffectId,ReductionRate,IsDebuff,IsTransition,ExcpetRoomType,IconTexture,CameraShake,CameraShakeIntensity,Sound,DescKey,ExceptEraseBuff,MaxStackOtherBuff,PeriodApplyType,SkillFireCondition,FireSkillInfoId,ExceptRecovery,ExDurationParam,IsOwnerTransition,ExcpetActorType,DescAddBuffId,GetBuffVisible,RemoveBuffEnterRoomType
11,0,1019,SoulShot,,,0,1019,,None,0,0,Allow,Common,1,10000,WeaponChange,0,5000,,,,100005,,,0,0,,Icon_Buff_AttackPower,,,PC/Skill/SKill_SoulShot_Cast_01,783000000011,1,,0,,,0,,0,,,0,
12,0,781000000012,,KnockDown,,0,131000300124,1003,None,0,0,Allow,Common,1,10000,,0,5000,,,,,,5000,1,0,,Icon_Debuff_KnockDown,,,,783000000012,1,,0,,,0,,0,,,0,
301,1,781000000301,,Common,,0,731000004174,,None,0,0,Allow,Common,1,10000,RoomOut,0,180000,,,,301,,,0,0,,Icon_Buff_MoveSpeed,,,,783000000301,1,,0,,,0,,1,,,0,
302,2,781000000301,,Common,,0,782000000302,,None,0,0,Allow,Common,1,10000,RoomOut,0,120000,,,,302,,,0,0,,Icon_Buff_GatheringSpeed,,,,783000000302,1,,0,,,0,,1,,,0,
303,3,781000000301,,Common,,0,782000000303,,None,0,0,Allow,Common,1,10000,RoomOut,0,60000,,,,303,,,0,0,,Icon_Buff_GatheringAmount,,,,783000000303,1,,0,,,0,,1,,,0,
304,0,61000000033,,Common,,0,782000000304,,None,0,0,Allow,Common,1,10000,RoomOut,0,10000,,,,,,,0,0,,Icon_Buff_GatheringAmount,,,,783000000304,1,,0,,,0,,0,,,0,
305,0,10000305,,,,0,10000305,,None,0,0,Allow,Common,1,10000,,0,0,,,5000,,,,0,0,,Icon_Buff_AttackPower,,,,292000000305,1,,0,,,0,,0,,,0,
306,0,781000000306,,,,0,781000000306,,None,0,0,Allow,Common,1,10000,,0,5000,,,,305,,,0,0,,Icon_Buff_AttackPower,,,,292000000306,1,,0,,,0,,0,,,0,
401,0,10000019,,,,0,10000019,,None,0,0,Allow,Common,1,10000,,0,0,,,2000,100001,,,0,0,,,,,,292000000401,1,,0,,,0,,0,,,0,
402,0,781000000402,,,,0,781000000402,,None,0,0,Allow,Common,1,10000,,0,1000,,,1000,100001,,,0,0,,,,,,783000000402,1,,0,,,0,,0,,,0,
403,0,781000000403,,,,0,731000000657,,None,0,0,Allow,Common,1,10000,,0,2000,,,,100001,,,0,0,,Icon_Buff_Invincible,,,,783000000403,1,,0,,,0,,0,,,0,
451,0,781000000452,,,,0,731000000657,,None,0,0,Allow,Common,1,10000,,0,2000,AttackSuccess,1,,,,,0,0,,Icon_Buff_Invincible,,,,783000000453,1,,0,,,0,,0,,,0,
452,0,781000000452,,,,0,731000004174,,None,0,0,Allow,Common,1,10000,,0,5000,AttackSuccess,1,,100001,,,0,0,,Icon_Buff_MoveSpeed,,,,783000000452,1,,0,,,0,,0,,,0,
453,0,781000000453,,,,0,731000000657,,None,0,0,Allow,Common,1,10000,,0,2000,AttackSuccess,1,,,,,0,0,,Icon_Buff_Invincible,,,,783000000453,1,,0,,,0,,0,,,0,
454,0,781000000453,,,,0,731000004174,,None,0,0,Allow,Common,1,10000,,0,10000,AttackSuccess,1,,100001,,,0,0,,Icon_Buff_MoveSpeed,,,,783000000452,1,,0,,,0,,0,,,0,
501,0,731000004217,PkBlockItem,PkBlock,,0,731000004217,,None,0,0,Accrue,Common,1,10000,,0,60000,,,,,,,0,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld,SiegeWorld",Icon_PVPTicket_01,,,,783000000501,1,,0,,,0,,0,,,1,
