Id,NameKey,CapeType,DescriptionKey,IconTexture,MaxLevel,OptionCount,AcquireLevel,AcquireCapeInfoId,AcquireCapeLevel,AcquireCondition,AcquireConditionValue,ActivateItem,ActivateItemValue,OptionChangeItem,OptionChangeCount,OptionChangeCashCost,ChangeOptionGroup
70001,1111000000001,Guild,1112000000001,,30,3,75,,,GuildActive,,,,,,,
70002,1111000000002,Fortress,1112000000002,,30,4,75,,,FortressActive,,,,,,,
70003,1111000000003,Castle,1112000000003,,30,5,75,,,CastleActive,,,,,,,
71001,1111000000004,Private,1112000000004,,30,3,75,,,None,,1300001,1,1303001,1,,71001101
71002,1111000000005,Private,1112000000005,,30,3,75,,,None,,1300002,1,1303001,1,,71002101
71003,1111000000006,Private,1112000000006,,30,4,75,,,None,,1300003,1,1303001,1,,71003101
71004,1111000000007,Private,1112000000007,,30,4,75,,,None,,1300004,1,1303001,1,,71004101
71006,1111000000009,Private,1112000000009,,30,5,75,,,None,,1300006,1,1303002,1,,71006101
71007,1111000000010,Private,1112000000010,,30,5,75,,,None,,1300007,1,1303003,1,,71007101
71008,1111000000011,Private,1112000000011,,30,5,75,,,None,,1300008,1,1303005,1,,71008101
