Id,GroupId,RequiredId,NameKey,DescKey,TaskType,TaskCount,TaskContentType,NpcAutoMoveID,RewardType,RewardItemInfoId,RewardCount,DelayTime,DialogNpcPortrait,DialogNpcNameKey,DialogKey
1111,Human_F1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1112,Human_F1,1111,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1113,Human_F1,1112,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1114,Human_F1,1113,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1115,Human_F1,1114,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1116,Human_F1,1115,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1117,Human_F1,1116,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1121,Human_R1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1122,Human_R1,1121,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1123,Human_R1,1122,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1124,Human_R1,1123,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1125,Human_R1,1124,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1126,Human_R1,1125,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1127,Human_R1,1126,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1131,Human_M1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1132,Human_M1,1131,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1133,Human_M1,1132,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1134,Human_M1,1133,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1135,Human_M1,1134,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1136,Human_M1,1135,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1137,Human_M1,1136,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1211,Elf_F1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1212,Elf_F1,1211,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1213,Elf_F1,1212,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1214,Elf_F1,1213,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1215,Elf_F1,1214,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1216,Elf_F1,1215,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1217,Elf_F1,1216,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1221,Elf_R1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1222,Elf_R1,1221,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1223,Elf_R1,1222,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1224,Elf_R1,1223,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1225,Elf_R1,1224,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1226,Elf_R1,1225,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1227,Elf_R1,1226,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1231,Elf_M1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1232,Elf_M1,1231,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1233,Elf_M1,1232,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1234,Elf_M1,1233,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1235,Elf_M1,1234,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1236,Elf_M1,1235,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1237,Elf_M1,1236,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1311,Dark_F1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1312,Dark_F1,1311,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1313,Dark_F1,1312,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1314,Dark_F1,1313,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1315,Dark_F1,1314,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1316,Dark_F1,1315,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1317,Dark_F1,1316,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1321,Dark_R1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1322,Dark_R1,1321,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1323,Dark_R1,1322,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1324,Dark_R1,1323,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1325,Dark_R1,1324,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1326,Dark_R1,1325,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1327,Dark_R1,1326,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1331,Dark_M1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1332,Dark_M1,1331,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1333,Dark_M1,1332,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1334,Dark_M1,1333,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1335,Dark_M1,1334,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1336,Dark_M1,1335,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1337,Dark_M1,1336,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1411,Dwarf_F1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1412,Dwarf_F1,1411,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1413,Dwarf_F1,1412,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1414,Dwarf_F1,1413,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1415,Dwarf_F1,1414,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1416,Dwarf_F1,1415,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1417,Dwarf_F1,1416,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1421,Dwarf_R1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1422,Dwarf_R1,1421,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
