Id,GroupType,TitleKey,DescKey,TaskType,TaskCondition,TaskCount,RewardActivityPoint,RewardGroupId
5,Exp,711000000005,712000000005,Count_GachaFree,,2,10,4
6,Exp,711000000006,712000000006,Count_TowerSweepClear,,1,20,5
7,Exp,711000000007,712000000007,Count_SendFriendlyPoint,,10,30,10
8,Exp,711000000008,712000000008,Count_DailyDungeonClear,All,1,30,1
10,Exp,711000000010,712000000010,Count_Donation,,1,20,9
11,Exp,711000000011,712000000011,Count_Arena,,2,50,6
12,Exp,711000000012,712000000012,Count_ClanAttendanceCheck,,1,10,11
14,Exp,711000000014,712000000014,Count_MissionDailyClear,,8,50,2
15,Exp,711000000015,712000000015,Count_MissionWeeklyClear,,6,60,2
17,Exp,711000000017,712000000017,Count_DungeonQuestClear,,1,60,1
20,Exp,711000000020,712000000020,Count_Gathering,,20,40,8
22,Exp,711000000022,712000000022,Count_GachaItemGrade,Advanced,1,20,3
35,Exp,711000000035,712000000035,Count_EquipmentDungeonClear,All,1,40,1
36,Exp,711000000036,712000000036,Count_AdenaDungeonClear,All,1,25,1
37,Exp,711000000037,712000000037,Count_ExpDungeonClear,All,1,25,1
38,Exp,711000000038,712000000038,Count_SummonStoneDungeonClear,All,1,30,13
