Type,ActorStatType,NameKey,IsPercentage,IsTime,Order,ClassInfoIdList,IconTexture,Revision
Attached,,661000000001,0,0,,,,0
AttackPowerPhy,AttackPowerPhy,91000000001,0,0,,,,2.5
AttackPowerMag,AttackPowerMag,91000000002,0,0,,,Icon_Stat_03,2.5
AttackPowerPhyMul,AttackPowerPhyMul,292000040003,1,0,10,,Icon_Stat_03,0
AttackPowerMagMul,AttackPowerMagMul,292000040004,1,0,11,,,0
AddAttackPowerNormalAttack,AddAttackPowerNormalAttack,292000040005,1,0,,,,0
AttackPowerMulPartyCount,AttackPowerMulPartyCount,292000040006,1,0,,,,0
AttackSpeedMul,AttackSpeedMul,292000040007,1,0,9,,,0
Buff,,661000000009,0,0,,,,0
CriticalDamageMul,CriticalDamageMul,292000040008,1,0,6,,,0
CriticalRate,CriticalRate,661000000011,1,0,2,,,0
AntiCriticalRate,AntiCriticalRate,661000000012,1,0,4,,,0
DamagePhy,,292000040011,0,0,,,,0
DamageMag,,292000040012,0,0,,,,0
DefenseIgnoreDamage,,292000040013,0,0,,,,0
DecreaseTargetHP,,292000040014,0,0,,,,0
DecreaseTargetHPMul,,292000040015,1,0,,,,0
DefensePowerPhy,DefensePowerPhy,91000000017,0,0,,,,1.5
DefensePowerMag,DefensePowerMag,91000000018,0,0,,,Icon_Stat_04,1.5
DefensePowerPhyMul,DefensePowerPhyMul,292000040018,1,0,12,,Icon_Stat_04,0
DefensePowerMagMul,DefensePowerMagMul,292000040019,1,0,13,,,0
DodgeValue,DodgeValue,91000000021,0,0,18,,,1
DodgeValueMul,,292000040021,1,0,,,,0
DodgeRate,DodgeRate,782000024241,1,0,19,,,0
HitValue,HitValue,91000000024,0,0,16,,,1
HitValueMul,,292000040024,1,0,,,,0
HitRate,HitRate,782000023241,1,0,17,,,0
IncreaseDamageMul,IncreaseDamageMul,91000000027,1,0,7,,,0
IncreaseDamagePhyMul,IncreaseDamagePhyMul,91000000028,1,0,,,,0
IncreaseDamageMagMul,IncreaseDamageMagMul,91000000028,1,0,,,,0
SlowActorIncreaseDamageMul,SlowActorIncreaseDamageMul,91000000030,1,0,,,,0
AddIgnoreDefenseDamage,AddIgnoreDefenseDamage,91000000031,0,0,22,,,2.5
DecreaseDamageMul,DecreaseDamageMul,91000000032,1,0,8,,,0
DecreaseDamagePhyMul,DecreaseDamagePhyMul,91000000033,1,0,,,,0
DecreaseDamageMagMul,DecreaseDamageMagMul,91000000034,1,0,,,,0
AddDecreaseDamage,AddDecreaseDamage,91000000035,0,0,23,,,2.5
ParryingRate,ParryingRate,661000000037,1,0,14,"5,35,95",,0
ParryingReduceDamageRate,ParryingReduceDamageRate,661000000038,1,0,15,"5,35,95",,0
DotDamagePhy,,292000040037,0,0,,,,0
DotDamageMag,,292000040038,0,0,,,,0
HPHeal,,292000040039,0,0,,,,0
DotHeal,,292000040040,0,0,,,,0
GroundObject,,661000000043,0,0,,,,0
AggroMul,AggroMul,292000040041,1,0,,,,0
HP,HP,91000000041,0,0,,,,0
HPMul,,661000000046,1,0,,,,0
HPRecovery,HPRecovery,91000000042,0,0,26,,,0.2
HPStealRate,HPStealRate,91000000043,1,0,28,,,0
HPSteal,,292000040044,0,0,,,,0
VampiricTouch,,292000040045,0,0,,,,0
Invincible,,91000000070,0,0,,,,0
Invisible,,782000100002,0,0,,,,0
ItemDropRate,,661000000053,0,0,,,,0
MaxHP,MaxHP,91000000045,0,0,,,Icon_Stat_01,1.5
MaxHPMul,MaxHPMul,292000040047,1,0,24,,,0
MaxMP,MaxMP,91000000047,0,0,,,Icon_Stat_02,1
MaxMPMul,MaxMPMul,292000040049,1,0,25,,,0
MoveSpeedMul,MoveSpeedMul,292000040050,1,0,30,,,0
MP,MP,91000000049,0,0,,,,0
MPMul,,661000000060,1,0,,,,0
MPCostMul,MPCostMul,292000040051,1,0,29,,,0
MPCostReduce,,292000040052,0,0,,,,0
MPRecovery,MPRecovery,91000000051,0,0,27,,,0.15
OneKill,,661000000064,0,0,,,,0
Projectile,,661000000065,0,0,,,,0
SkillCoolTime,SkillCoolTime,91000000009,0,1,38,,,0
Smart,,661000000067,0,0,,,,0
SoulShotAttackBonus,,661000000068,0,0,,,,0
Strong,,661000000069,0,0,,,,0
Stun,,171000000001,0,0,,,,0
Taunt,,292000040055,0,0,,,,0
TargetFix,,292000040056,0,0,,,,0
TargetTeleport,,292000040057,0,0,,,,0
Pulling,,292000040058,0,0,,,,0
PullingResistRate,,292000040059,1,0,,,,0
KnockBackResistRate,,91000000058,1,0,,,,0
Elixir,,1024,0,0,,,,0
None,,661000000078,0,0,,,,0
SkillInfoId,,661000000079,0,0,,,,0
Max,,661000000080,0,0,,,,0
Exp,Exp,1017,0,0,,,,0
ExpGainRate,ExpGainRate,91000000039,1,0,37,,,0
Adena,,1002,0,0,,,,0
AdenaGainRate,AdenaGainRate,91000000060,1,0,36,,,0
FreeDiamond,,91000000061,0,0,,,,0
PayDiamond,,91000000062,0,0,,,,0
GuildCoin,,1009,0,0,,,,0
RunePiece,,1004,0,0,,,,0
SkillPoint,,1003,0,0,,,,0
SweepTicket,,661000000090,0,0,,,,0
ItemDrop,,661000000091,0,0,,,,0
SlowResistRate,SlowResistRate,91000000054,1,0,33,,,0
StunResistRate,StunResistRate,91000000055,1,0,31,,,0
CCResistRate,CCResistRate,91000000056,1,0,35,,,0
IncreaseSkillRange,,91000000083,0,0,,,,0
IncreaseSkillHitCount,,91000000084,0,0,,,,0
IncreaseComboExpireTime,IncreaseComboExpireTime,292000040068,0,1,,,,0
Penetration,Penetration,91000000081,0,0,20,,,2
Resilience,Resilience,91000000082,0,0,21,,,2
GatheringSpeedMul,,91000000085,0,0,,,,0
GatheringAmountMul,,91000000086,0,0,,,,0
CriticalValue,CriticalValue,292000040071,0,0,1,,,1.5
AntiCriticalValue,AntiCriticalValue,292000040072,0,0,3,,,1.5
CriticalValueMul,,292000040073,1,0,,,,0
AntiCriticalValueMul,,292000040074,1,0,,,,0
MentalRule,,781000720461,0,0,,,,0
NormalSkillDamageMul,,661000000107,1,0,,,,0
SkillCoolTimeRate,SkillCoolTimeRate,661000000108,1,0,39,,,0
DecreaseTargetMP,,661000000109,0,0,,,,0
DecreaseTargetMPMul,,661000000110,1,0,,,,0
MPHeal,,661000000111,0,0,,,,0
DefensePowerMulPartyCount,,661000000112,1,0,,,,0
Recovery,,661000000113,0,0,,,,0
EraseBuff,,661000000114,0,0,,,,0
HpReduceLimit,,661000000115,0,0,,,,0
IncreaseHealMul,,661000000116,1,0,,,,0
IncreaseDamageMtMul,IncreaseDamageMtMul,661000000117,1,0,,,,0
DecreaseDamageMtMul,DecreaseDamageMtMul,661000000118,1,0,,,,0
NormalSkillDamageMtMul,,661000000119,1,0,,,,0
NormalSkillIncreaseHealMul,,661000000120,1,0,,,,0
StunResistMtRate,StunResistMtRate,661000000121,1,0,32,,,0
SlowResistMtRate,SlowResistMtRate,661000000122,1,0,34,,,0
AntiCriticalMtRate,AntiCriticalMtRate,661000000123,1,0,5,,,0
MonsterIncreaseDamageMul,MonsterIncreaseDamageMul,661000000124,1,0,,,,0
MonsterDecreaseDamageMul,MonsterDecreaseDamageMul,661000000125,1,0,,,,0
NormalSkillMonsterDamageMul,NormalSkillMonsterDamageMul,661000000126,1,0,,,,0
NormalSkillMonsterDamageMtMul,NormalSkillMonsterDamageMtMul,661000000127,1,0,,,,0
