Grade,OccupationPeriod,Day,RewardType,RewardItemInfo,RewardCount,UnBindType
A,1,1,Item,911191,1,0
A,1,2,Item,480042,1,1
A,1,3,Item,490010,20,0
A,1,4,Item,480041,1,1
A,1,5,Item,490010,20,0
A,1,6,Item,480042,1,1
A,1,7,Item,490066,10,1
A,2,1,Item,911191,1,0
A,2,2,Item,480042,1,1
A,2,3,Item,490010,22,0
A,2,4,Item,480041,1,1
A,2,5,Item,490010,22,0
A,2,6,Item,480042,1,1
A,2,7,Item,490066,11,1
A,3,1,Item,911191,1,0
A,3,2,Item,480042,1,1
A,3,3,Item,490010,22,0
A,3,4,Item,480041,1,1
A,3,5,Item,490010,22,0
A,3,6,Item,480042,1,1
A,3,7,Item,490066,11,1
A,4,1,Item,911191,1,0
A,4,2,Item,480042,1,1
A,4,3,Item,490010,24,0
A,4,4,Item,480041,1,1
A,4,5,Item,490010,24,0
A,4,6,Item,480042,1,1
A,4,7,Item,490066,12,1
A,5,1,Item,911191,1,0
A,5,2,Item,480042,1,1
A,5,3,Item,490010,24,0
A,5,4,Item,480041,1,1
A,5,5,Item,490010,24,0
A,5,6,Item,480042,1,1
A,5,7,Item,490066,12,1
A,6,1,Item,911191,1,0
A,6,2,Item,480042,1,1
A,6,3,Item,490010,26,0
A,6,4,Item,480041,1,1
A,6,5,Item,490010,26,0
A,6,6,Item,480042,1,1
A,6,7,Item,490066,13,1
A,7,1,Item,911191,1,0
A,7,2,Item,480042,1,1
A,7,3,Item,490010,26,0
A,7,4,Item,480041,1,1
A,7,5,Item,490010,26,0
A,7,6,Item,480042,1,1
A,7,7,Item,490066,13,1
A,8,1,Item,911191,1,0
A,8,2,Item,480042,1,1
A,8,3,Item,490010,28,0
A,8,4,Item,480041,1,1
A,8,5,Item,490010,28,0
A,8,6,Item,480042,1,1
A,8,7,Item,490066,14,1
A,9,1,Item,911191,1,0
A,9,2,Item,480042,1,1
A,9,3,Item,490010,28,0
A,9,4,Item,480041,1,1
A,9,5,Item,490010,28,0
A,9,6,Item,480042,1,1
A,9,7,Item,490066,14,1
A,10,1,Item,911191,1,0
A,10,2,Item,480042,1,1
A,10,3,Item,490010,30,0
A,10,4,Item,480041,1,1
A,10,5,Item,490010,30,0
A,10,6,Item,480042,1,1
A,10,7,Item,490066,15,1
S,1,1,Item,911191,1,0
S,1,2,Item,10914014,1,1
S,1,3,Item,490010,50,0
S,1,4,Item,10914017,1,1
S,1,5,Item,490010,50,0
S,1,6,Item,10914020,1,1
S,1,7,Item,490066,20,1
S,2,1,Item,911191,1,0
S,2,2,Item,10914014,1,1
S,2,3,Item,490010,55,0
S,2,4,Item,10914017,1,1
S,2,5,Item,490010,55,0
S,2,6,Item,10914020,1,1
S,2,7,Item,490066,22,1
S,3,1,Item,911191,1,0
S,3,2,Item,10914014,1,1
S,3,3,Item,490010,55,0
S,3,4,Item,10914017,1,1
S,3,5,Item,490010,55,0
S,3,6,Item,10914020,1,1
S,3,7,Item,490066,22,1
S,4,1,Item,911191,1,0
S,4,2,Item,10914014,1,1
S,4,3,Item,490010,60,0
S,4,4,Item,10914017,1,1
S,4,5,Item,490010,60,0
S,4,6,Item,10914020,1,1
S,4,7,Item,490066,24,1
S,5,1,Item,911191,1,0
S,5,2,Item,10914014,1,1
S,5,3,Item,490010,60,0
S,5,4,Item,10914017,1,1
S,5,5,Item,490010,60,0
S,5,6,Item,10914020,1,1
S,5,7,Item,490066,24,1
S,6,1,Item,911191,1,0
S,6,2,Item,10914014,1,1
S,6,3,Item,490010,65,0
S,6,4,Item,10914017,1,1
S,6,5,Item,490010,65,0
S,6,6,Item,10914020,1,1
S,6,7,Item,490066,26,1
S,7,1,Item,911191,1,0
S,7,2,Item,10914014,1,1
S,7,3,Item,490010,65,0
S,7,4,Item,10914017,1,1
S,7,5,Item,490010,65,0
S,7,6,Item,10914020,1,1
S,7,7,Item,490066,26,1
S,8,1,Item,911191,1,0
S,8,2,Item,10914014,1,1
S,8,3,Item,490010,70,0
S,8,4,Item,10914017,1,1
S,8,5,Item,490010,70,0
S,8,6,Item,10914020,1,1
S,8,7,Item,490066,28,1
S,9,1,Item,911191,1,0
S,9,2,Item,10914014,1,1
S,9,3,Item,490010,70,0
S,9,4,Item,10914017,1,1
S,9,5,Item,490010,70,0
S,9,6,Item,10914020,1,1
S,9,7,Item,490066,28,1
S,10,1,Item,911191,1,0
S,10,2,Item,10914014,1,1
S,10,3,Item,490010,75,0
S,10,4,Item,10914017,1,1
S,10,5,Item,490010,75,0
S,10,6,Item,10914020,1,1
S,10,7,Item,490066,30,1
R,1,1,Item,911191,4,0
R,1,2,Item,10914015,1,1
R,1,3,Item,490011,10,0
R,1,4,Item,10914018,1,1
R,1,5,Item,490011,10,0
R,1,6,Item,10914021,1,1
R,1,7,Item,490066,40,1
R,2,1,Item,911191,4,0
R,2,2,Item,10914015,1,1
R,2,3,Item,490011,11,0
R,2,4,Item,10914018,1,1
R,2,5,Item,490011,11,0
R,2,6,Item,10914021,1,1
R,2,7,Item,490066,44,1
R,3,1,Item,911191,4,0
R,3,2,Item,10914015,1,1
R,3,3,Item,490011,11,0
R,3,4,Item,10914018,1,1
R,3,5,Item,490011,11,0
R,3,6,Item,10914021,1,1
R,3,7,Item,490066,44,1
R,4,1,Item,911191,4,0
R,4,2,Item,10914015,1,1
R,4,3,Item,490011,12,0
R,4,4,Item,10914018,1,1
R,4,5,Item,490011,12,0
R,4,6,Item,10914021,1,1
R,4,7,Item,490066,48,1
R,5,1,Item,911191,4,0
R,5,2,Item,10914015,1,1
R,5,3,Item,490011,12,0
R,5,4,Item,10914018,1,1
R,5,5,Item,490011,12,0
R,5,6,Item,10914021,1,1
R,5,7,Item,490066,48,1
R,6,1,Item,911191,4,0
R,6,2,Item,10914015,1,1
R,6,3,Item,490011,13,0
R,6,4,Item,10914018,1,1
R,6,5,Item,490011,13,0
R,6,6,Item,10914021,1,1
R,6,7,Item,490066,52,1
R,7,1,Item,911191,4,0
R,7,2,Item,10914015,1,1
R,7,3,Item,490011,13,0
R,7,4,Item,10914018,1,1
R,7,5,Item,490011,13,0
R,7,6,Item,10914021,1,1
R,7,7,Item,490066,52,1
R,8,1,Item,911191,4,0
R,8,2,Item,10914015,1,1
R,8,3,Item,490011,14,0
R,8,4,Item,10914018,1,1
R,8,5,Item,490011,14,0
R,8,6,Item,10914021,1,1
R,8,7,Item,490066,56,1
R,9,1,Item,911191,4,0
R,9,2,Item,10914015,1,1
R,9,3,Item,490011,14,0
R,9,4,Item,10914018,1,1
R,9,5,Item,490011,14,0
R,9,6,Item,10914021,1,1
R,9,7,Item,490066,56,1
R,10,1,Item,911191,4,0
R,10,2,Item,10914015,1,1
R,10,3,Item,490011,15,0
R,10,4,Item,10914018,1,1
R,10,5,Item,490011,15,0
R,10,6,Item,10914021,1,1
R,10,7,Item,490066,60,1
SR,1,1,Item,911191,8,0
SR,1,2,Item,10914016,1,1
SR,1,3,Item,490011,20,0
SR,1,4,Item,10914019,1,1
SR,1,5,Item,490011,20,0
SR,1,6,Item,10914022,1,1
SR,1,7,Item,490066,80,1
SR,2,1,Item,911191,8,0
SR,2,2,Item,10914016,1,1
SR,2,3,Item,490011,22,0
SR,2,4,Item,10914019,1,1
SR,2,5,Item,490011,22,0
SR,2,6,Item,10914022,1,1
SR,2,7,Item,490066,88,1
SR,3,1,Item,911191,8,0
SR,3,2,Item,10914016,1,1
SR,3,3,Item,490011,22,0
SR,3,4,Item,10914019,1,1
SR,3,5,Item,490011,22,0
SR,3,6,Item,10914022,1,1
SR,3,7,Item,490066,88,1
SR,4,1,Item,911191,8,0
SR,4,2,Item,10914016,1,1
SR,4,3,Item,490011,24,0
SR,4,4,Item,10914019,1,1
SR,4,5,Item,490011,24,0
SR,4,6,Item,10914022,1,1
SR,4,7,Item,490066,96,1
SR,5,1,Item,911191,8,0
SR,5,2,Item,10914016,1,1
SR,5,3,Item,490011,24,0
SR,5,4,Item,10914019,1,1
SR,5,5,Item,490011,24,0
SR,5,6,Item,10914022,1,1
SR,5,7,Item,490066,96,1
SR,6,1,Item,911191,8,0
SR,6,2,Item,10914016,1,1
SR,6,3,Item,490011,26,0
SR,6,4,Item,10914019,1,1
SR,6,5,Item,490011,26,0
SR,6,6,Item,10914022,1,1
SR,6,7,Item,490066,104,1
SR,7,1,Item,911191,8,0
SR,7,2,Item,10914016,1,1
SR,7,3,Item,490011,26,0
SR,7,4,Item,10914019,1,1
SR,7,5,Item,490011,26,0
SR,7,6,Item,10914022,1,1
SR,7,7,Item,490066,104,1
SR,8,1,Item,911191,8,0
SR,8,2,Item,10914016,1,1
SR,8,3,Item,490011,28,0
SR,8,4,Item,10914019,1,1
SR,8,5,Item,490011,28,0
