Id,RequiredManagerGrade,PotionType,ItemCraftGroupId,GradeLimit,CraftLimit,CraftLimitValue
2,1,Player,2021,Knight,Daily,0
3,1,Player,2061,Knight,Daily,0
4,1,Player,2009,Knight,Daily,0
5,1,Player,2013,Knight,Daily,0
6,2,Player,2001,Knight,Daily,0
7,2,Player,2005,Knight,Daily,0
8,2,Player,2053,Knight,Daily,0
9,2,Player,2057,Knight,Daily,0
10,2,Player,2045,Knight,Daily,0
13,3,Player,2037,Knight,Daily,0
14,3,Player,2041,Knight,Daily,0
15,3,Player,2025,Knight,Daily,0
16,3,Player,2029,Knight,Daily,0
101,1,Guild,2501,AssistantMaster,Daily,0
102,1,Guild,2505,AssistantMaster,Daily,0
103,1,Guild,2509,AssistantMaster,Daily,0
104,2,Guild,2513,AssistantMaster,Weekly,0
105,2,Guild,2517,AssistantMaster,Daily,0
106,2,Guild,2521,AssistantMaster,Weekly,0
107,3,Guild,2525,AssistantMaster,Weekly,3
108,3,Guild,2529,AssistantMaster,Weekly,3
