Id,ManagerGrade,QuestType,ReplaceString1Key,NameKey,ReplaceString2Key,QuestDesc1Key,QuestDesc2Key,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GroupType,GreaterThanOrEqual,RewardContribution,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
1,Basic,Player,731000000193,9410000000101,731000000193,9420000000101,9430000000001,Count_KillMonster_Region,1,50,,800001,,0,Item,500001,15,Item,500002,10,Item,500003,10,Field,0,,,,,,,
2,Expert,Player,731000000194,9410000000101,731000000194,9420000000101,9430000000002,Count_KillMonster_Region,2,50,,800002,,0,Item,500001,15,Item,500051,3,Adena,,10000,Field,0,,,,,,,
3,Basic,Player,731000000157,9410000000101,731000000157,9420000000101,9430000000101,Count_KillMonster_Region,3,75,,800003,,0,Item,500002,10,Item,500052,3,Adena,,10000,Field,0,,,,,,,
4,Expert,Player,731000000158,9410000000101,731000000158,9420000000101,9430000000102,Count_KillMonster_Region,4,75,,800004,,0,Item,500003,10,Item,500053,5,Adena,,10000,Field,0,,,,,,,
5,Basic,Player,731000000199,9410000000101,731000000199,9420000000101,9430000000103,Count_KillMonster_Region,5,75,,800005,,0,Item,500003,10,Item,500071,10,Item,500119,2,Field,0,,,,,,,
6,Expert,Player,731000000196,9410000000101,731000000196,9420000000101,9430000000104,Count_KillMonster_Region,6,75,,800006,,0,Item,500051,3,Item,500071,10,Item,500119,2,Field,0,,,,,,,
7,Basic,Player,731000000174,9410000000101,731000000174,9420000000137,9430000000105,Count_KillMonster_Region,7,100,,800007,,0,Item,500052,3,Item,500071,10,Item,500119,2,Field,0,,,,,,,
8,Expert,Player,731000000140,9410000000101,731000000140,9420000000101,9430000000106,Count_KillMonster_Region,8,100,,800008,,0,Item,500053,5,Item,500071,10,Item,400001,1500,Field,0,,,,,,,
9,Basic,Player,731000000175,9410000000101,731000000175,9420000000101,9430000000107,Count_KillMonster_Region,9,100,,800009,,0,Item,500051,3,Item,500052,3,Item,400001,1500,Field,0,,,,,,,
10,Expert,Player,731000000186,9410000000101,731000000186,9420000000101,9430000000108,Count_KillMonster_Region,10,100,,800010,,0,Item,500052,3,Item,500053,5,Item,400001,1500,Field,0,,,,,,,
11,Basic,Player,731000000155,9410000000101,731000000155,9420000000101,9430000000109,Count_KillMonster_Region,11,125,,800011,,0,Item,500052,3,Item,500053,5,Item,500071,10,Field,0,,,,,,,
12,Expert,Player,731000000144,9410000000101,731000000144,9420000000101,9430000000110,Count_KillMonster_Region,12,125,,800012,,0,Item,500051,3,Item,500052,3,Item,500071,10,Field,0,,,,,,,
13,Basic,Player,731000000147,9410000000101,731000000147,9420000000101,9430000000111,Count_KillMonster_Region,13,125,,800013,,0,Item,500001,15,Item,500002,10,Adena,,10000,Field,0,,,,,,,
14,Expert,Player,731000000147,9410000000101,731000000147,9420000000101,9430000000111,Count_KillMonster_Region,13,200,,800013,,0,Item,500002,10,Item,500003,10,Adena,,10000,Field,0,,,,,,,
15,Basic,Player,731000000184,9410000000101,731000000184,9420000000101,9430000000112,Count_KillMonster_Region,14,125,,800014,,0,Item,500001,15,Item,500002,10,Item,500003,10,Field,0,,,,,,,
16,Expert,Player,731000000184,9410000000101,731000000184,9420000000101,9430000000112,Count_KillMonster_Region,14,200,,800014,,0,Item,500001,15,Item,500051,3,Adena,,10000,Field,0,,,,,,,
17,Basic,Player,731000000173,9410000000101,731000000173,9420000000101,9430000000180,Count_KillMonster_Region,15,150,,800015,,0,Item,500002,10,Item,500052,3,Adena,,10000,Field,0,,,,,,,
18,Expert,Player,731000000173,9410000000101,731000000173,9420000000101,9430000000180,Count_KillMonster_Region,15,225,,800015,,0,Item,500003,10,Item,500053,5,Adena,,10000,Field,0,,,,,,,
19,Prestigious,Player,731000000173,9410000000101,731000000173,9420000000101,9430000000180,Count_KillMonster_Region,15,300,,800015,,0,Item,500003,10,Item,500071,10,Item,500119,2,Field,0,,,,,,,
20,Basic,Player,731000000169,9410000000101,731000000169,9420000000101,9430000000114,Count_KillMonster_Region,16,150,,800016,,0,Item,500051,3,Item,500071,10,Item,500119,2,Field,0,,,,,,,
21,Expert,Player,731000000169,9410000000101,731000000169,9420000000101,9430000000114,Count_KillMonster_Region,16,225,,800016,,0,Item,500052,3,Item,500071,10,Item,500119,2,Field,0,,,,,,,
22,Prestigious,Player,731000000169,9410000000101,731000000169,9420000000101,9430000000114,Count_KillMonster_Region,16,300,,800016,,0,Item,500053,5,Item,500071,10,Item,400001,1500,Field,0,,,,,,,
23,Basic,Player,731000000168,9410000000101,731000000168,9420000000101,9430000000181,Count_KillMonster_Region,17,150,,800017,,0,Item,500051,3,Item,500052,3,Item,400001,1500,Field,0,,,,,,,
24,Expert,Player,731000000168,9410000000101,731000000168,9420000000101,9430000000181,Count_KillMonster_Region,17,225,,800017,,0,Item,500052,3,Item,500053,5,Item,400001,1500,Field,0,,,,,,,
25,Prestigious,Player,731000000168,9410000000101,731000000168,9420000000101,9430000000181,Count_KillMonster_Region,17,300,,800017,,0,Item,500052,3,Item,500053,5,Item,500071,10,Field,0,,,,,,,
101,Basic,Player,731000000152,9410000000171,731000000152,9420000000101,9430000000171,Count_KillMonster_Region,200,50,EliteDungeon,801001,23,0,Item,500001,15,Item,500002,10,Item,500003,10,Elite,0,,,,,,,
102,Expert,Player,101000001202,9410000000171,101000001202,9420000000101,9430000000172,Count_KillMonster_Region,201,50,EliteDungeon,801002,102,0,Item,500001,15,Item,500051,3,Adena,,10000,Elite,0,,,,,,,
103,Basic,Player,731000000125,9410000000171,731000000125,9420000000101,9430000000173,Count_KillMonster_Region,202,75,EliteDungeon,801003,105,0,Item,500002,10,Item,500052,3,Adena,,10000,Elite,0,,,,,,,
104,Expert,Player,101000001206,9410000000171,101000001206,9420000000101,9430000000174,Count_KillMonster_Region,203,75,EliteDungeon,801004,106,0,Item,500003,10,Item,500053,5,Adena,,10000,Elite,0,,,,,,,
105,Basic,Player,731000000141,9410000000171,731000000141,9420000000137,9430000000175,Count_KillMonster_Region,204,100,EliteDungeon,801005,108,0,Item,500003,10,Item,500071,10,Item,500119,2,Elite,0,,,,,,,
106,Expert,Player,731000000142,9410000000171,731000000142,9420000000101,9430000000176,Count_KillMonster_Region,205,100,EliteDungeon,801006,109,0,Item,500051,3,Item,500071,10,Item,500119,2,Elite,0,,,,,,,
107,Basic,Player,731000000166,9410000000171,731000000166,9420000000101,9430000000177,Count_KillMonster_Region,206,125,EliteDungeon,801007,110,0,Item,500052,3,Item,500071,10,Item,500119,2,Elite,0,,,,,,,
108,Expert,Player,731000000166,9410000000171,731000000166,9420000000101,9430000000177,Count_KillMonster_Region,206,200,EliteDungeon,801007,110,0,Item,500053,5,Item,500071,10,Item,400001,1500,Elite,0,,,,,,,
109,Basic,Player,731000000167,9410000000171,731000000167,9420000000101,9430000000178,Count_KillMonster_Region,207,125,EliteDungeon,801008,111,0,Item,500051,3,Item,500052,3,Item,400001,1500,Elite,0,,,,,,,
110,Expert,Player,731000000167,9410000000171,731000000167,9420000000101,9430000000178,Count_KillMonster_Region,207,200,EliteDungeon,801008,111,0,Item,500052,3,Item,500053,5,Item,400001,1500,Elite,0,,,,,,,
111,Basic,Player,801000113081,9410000000171,801000113081,9420000000101,9430000000179,Count_KillMonster_Region,208,125,EliteDungeon,801009,127,0,Item,500052,3,Item,500053,5,Item,500071,10,Elite,0,,,,,,,
112,Expert,Player,801000113081,9410000000171,801000113081,9420000000101,9430000000179,Count_KillMonster_Region,208,200,EliteDungeon,801009,127,0,Item,500051,3,Item,500052,3,Item,500071,10,Elite,0,,,,,,,
113,Expert,Player,731000004294,9410000000171,731000004294,9420000000101,9430000000113,Count_KillMonster_Region,209,100,EliteDungeon,801010,133,0,Item,500001,15,Item,500002,10,Adena,,10000,Elite,0,,,,,,,
114,Prestigious,Player,731000004294,9410000000171,731000004294,9420000000101,9430000000113,Count_KillMonster_Region,209,200,EliteDungeon,801010,133,0,Item,500002,10,Item,500003,10,Adena,,10000,Elite,0,,,,,,,
115,Basic,Player,731000004295,9410000000171,731000004295,9420000000101,9430000000115,Count_KillMonster_Region,210,150,EliteDungeon,801011,132,0,Item,500001,15,Item,500002,10,Item,500003,10,Elite,0,,,,,,,
116,Expert,Player,731000004295,9410000000171,731000004295,9420000000101,9430000000115,Count_KillMonster_Region,210,225,EliteDungeon,801011,132,0,Item,500001,15,Item,500051,3,Adena,,10000,Elite,0,,,,,,,
117,Prestigious,Player,731000004295,9410000000171,731000004295,9420000000101,9430000000115,Count_KillMonster_Region,210,300,EliteDungeon,801011,132,0,Item,500002,10,Item,500052,3,Adena,,10000,Elite,0,,,,,,,
118,Basic,Player,731000004296,9410000000171,731000004296,9420000000101,9430000000118,Count_KillMonster_Region,211,150,EliteDungeon,801012,134,0,Item,500003,10,Item,500053,5,Adena,,10000,Elite,0,,,,,,,
119,Expert,Player,731000004296,9410000000171,731000004296,9420000000101,9430000000118,Count_KillMonster_Region,211,225,EliteDungeon,801012,134,0,Item,500003,10,Item,500071,10,Item,500119,2,Elite,0,,,,,,,
120,Prestigious,Player,731000004296,9410000000171,731000004296,9420000000101,9430000000118,Count_KillMonster_Region,211,300,EliteDungeon,801012,134,0,Item,500051,3,Item,500071,10,Item,500119,2,Elite,0,,,,,,,
121,Expert,Player,731000004297,9410000000171,731000004297,9420000000101,9430000000121,Count_KillMonster_Region,212,100,EliteDungeon,801013,135,0,Item,500052,3,Item,500071,10,Item,500119,2,Elite,0,,,,,,,
122,Prestigious,Player,731000004297,9410000000171,731000004297,9420000000101,9430000000121,Count_KillMonster_Region,212,200,EliteDungeon,801013,135,0,Item,500053,5,Item,500071,10,Item,400001,1500,Elite,0,,,,,,,
201,Prestigious,Player,161000011000,9410000000131,2001,9420000000101,9430000000201,Count_KillMonster_Region,11000,15,DailyDungeon,,4,0,Item,500051,3,Item,500052,3,Item,400001,1500,Daily,0,,,,,,,
202,Basic,Player,161000011000,9410000000131,2001,9420000000101,9430000000201,Count_KillMonster_Region,11000,30,DailyDungeon,,4,0,Item,500052,3,Item,500053,5,Item,400001,1500,Daily,0,,,,,,,
203,Prestigious,Player,2003,9410000000131,2003,9420000000101,9430000000131,Count_KillMonster_Region,13000,2,CollectDungeon,,29,0,Item,500052,3,Item,500053,5,Item,500071,10,Daily,0,,,,,,,
204,Basic,Player,2003,9410000000131,2003,9420000000101,9430000000131,Count_KillMonster_Region,13000,5,CollectDungeon,,29,0,Item,500051,3,Item,500052,3,Item,500071,10,Daily,0,,,,,,,
205,Prestigious,Player,161000018400,9410000000135,2004,9420000000101,9430000000135,Count_KillMonster_Region,18400,50,EquipDungeon,,114,0,Item,500001,15,Item,500002,10,Adena,,10000,Daily,0,,,,,,,
206,Basic,Player,161000018400,9410000000135,2004,9420000000101,9430000000135,Count_KillMonster_Region,18400,100,EquipDungeon,,114,0,Item,500002,10,Item,500003,10,Adena,,10000,Daily,0,,,,,,,
207,Prestigious,Player,161000018100,9410000000132,2005,9420000000101,9430000000132,Count_KillMonster_Region,18100,7,AdenaDungeon,,113,0,Item,500001,15,Item,500002,10,Item,500003,10,Daily,0,,,,,,,
208,Basic,Player,161000018100,9410000000132,2005,9420000000101,9430000000132,Count_KillMonster_Region,18100,14,AdenaDungeon,,113,0,Item,500001,15,Item,500051,3,Adena,,10000,Daily,0,,,,,,,
209,Prestigious,Player,161000018200,9410000000133,731000003038,9420000000101,9430000000133,Count_KillMonster_Region,18200,150,ExpDungeon,,112,0,Item,500002,10,Item,500052,3,Adena,,10000,Daily,0,,,,,,,
210,Basic,Player,161000018200,9410000000133,731000003038,9420000000101,9430000000133,Count_KillMonster_Region,18200,200,ExpDungeon,,112,0,Item,500003,10,Item,500053,5,Adena,,10000,Daily,0,,,,,,,
211,Prestigious,Player,161000018300,9410000000131,731000003912,9420000000101,9439000000211,Count_KillMonster_Region,18300,75,SummonStoneDungeon,,114,0,Item,500003,10,Item,500071,10,Item,500119,2,Daily,0,,,,,,,
212,Basic,Player,161000018300,9410000000131,731000003912,9420000000101,9439000000211,Count_KillMonster_Region,18300,125,SummonStoneDungeon,,114,0,Item,500051,3,Item,500071,10,Item,500119,2,Daily,0,,,,,,,
301,Basic,Player,0,9410000000301,9490000000301,9420000000101,9430000000301,Count_KillMonster_Region,20000,50,BagExpendables,,,0,Item,500052,3,Item,500071,10,Item,500119,2,Field,0,,,,,,,
302,Expert,Player,0,9410000000301,9490000000301,9420000000101,9430000000301,Count_KillMonster_Region,20000,100,BagExpendables,,,0,Item,500053,5,Item,500071,10,Item,400001,1500,Field,0,,,,,,,
303,Prestigious,Player,0,9410000000303,9490000000303,9420000000101,9430000000303,Count_KillMonster_Region,20001,1,BagExpendables,,,0,Item,500051,3,Item,500052,3,Item,400001,1500,Boss,0,,,,,,,
351,Expert,Player,0,9410000000351,0,9420000000301,9430000000395,Count_KillPlayer,,10,,,,0,Item,500052,3,Item,500053,5,Item,400001,1500,Pvp,0,,,,,,,
352,Prestigious,Player,0,9410000000351,0,9420000000301,9430000000395,Count_KillPlayer,,20,,,,0,Item,500052,3,Item,500053,5,Item,500071,10,Pvp,0,,,,,,,
401,Basic,Player,10020298,9410000000006,731000000194,9420000000401,9430000000401,Count_KillMonsterTarget,20298,1,,800101,,0,Item,500051,3,Item,500052,3,Item,500071,10,Boss,0,,,,,,,
402,Expert,Player,10020398,9410000000006,731000000157,9420000000401,9430000000402,Count_KillMonsterTarget,20398,1,,800102,,0,Item,500001,15,Item,500002,10,Adena,,10000,Boss,0,,,,,,,
403,Prestigious,Player,10020498,9410000000006,731000000158,9420000000401,9430000000403,Count_KillMonsterTarget,20498,1,,800103,,0,Item,500002,10,Item,500003,10,Adena,,10000,Boss,0,,,,,,,
404,Basic,Player,10220560,9410000000006,731000000199,9420000000401,9430000000404,Count_KillMonsterTarget,20598,1,,800104,,0,Item,500001,15,Item,500002,10,Item,500003,10,Boss,0,,,,,,,
405,Expert,Player,10020698,9410000000006,731000000196,9420000000401,9430000000405,Count_KillMonsterTarget,20698,1,,800105,,0,Item,500001,15,Item,500051,3,Adena,,10000,Boss,0,,,,,,,
406,Prestigious,Player,10020798,9410000000006,731000000174,9420000000401,9430000000406,Count_KillMonsterTarget,20798,1,,800106,,0,Item,500002,10,Item,500052,3,Adena,,10000,Boss,0,,,,,,,
