Lv,MaximumGuildMemberCount,GuildWarehouseCount,NextLevelNeedExp,AssignableAssistantMaster,AssignableKnightsLeader,AssignableRoyalGuardLeader,PresentCount,PrizeCount
1,30,30,6930,0,0,0,3,5
2,30,30,30624,0,0,0,3,5
3,30,30,80784,1,0,0,3,5
4,30,30,144936,1,0,0,3,5
5,30,40,264000,1,1,0,5,5
6,30,40,373464,1,1,0,5,10
7,30,40,511632,1,1,0,5,10
8,30,40,692208,1,1,0,5,15
9,30,40,853632,1,1,0,5,15
10,30,50,1067040,1,2,1,7,20
11,31,50,1338120,1,2,1,7,20
12,32,50,1585920,1,2,1,7,25
13,33,50,1847880,1,2,1,7,25
14,34,50,2124000,1,2,1,7,30
15,35,60,2718720,1,3,1,10,30
16,36,60,2803680,1,3,1,10,35
17,37,60,3370080,1,3,1,10,35
18,38,60,3964800,1,3,1,10,40
19,39,60,4587840,1,3,1,10,40
20,40,70,5380800,1,3,2,12,45
21,41,70,6074640,1,3,2,12,45
22,42,70,6796800,1,3,2,12,50
23,43,70,7547280,1,3,2,12,50
24,44,70,8326080,1,3,2,12,55
25,45,80,9345600,1,3,2,12,55
26,46,80,10195200,1,3,2,15,60
27,47,80,11073120,1,3,2,15,60
28,48,80,11979360,1,3,2,15,65
29,49,80,12234240,1,3,2,15,65
30,50,90,0,1,3,2,15,70
