Id,TaskType,TaskCondition,TaskCount,RewardRatio,NameKey,CostAdena,AdenaRewardGroupId,CostDiamond,DiamondRewardGroupId,ContentsType,UseLevelReward
1,Count_TowerSweepClear,,1,1,2006,300,1,2,101,,
2,Count_Gathering,,20,10,2003,20000,2,100,102,,
4,Count_DailyDungeonClear,Easy,1,1,571000000004,25000,4,100,104,,
5,Count_DailyDungeonClear,Normal,1,1,571000000004,25000,5,100,105,,
6,Count_DailyDungeonClear,Hard,1,1,571000000004,25000,6,100,106,,
7,Count_DailyDungeonClear,Hell,1,1,571000000004,25000,7,100,107,,
8,Count_MissionDailyClear,,12,1,731000001032,10000,8,40,108,MissionDaily,1
9,Count_MissionWeeklyClear,,10,1,731000001043,18750,9,75,109,MissionWeekly,1
10,Count_DungeonQuestClear,200,1,1,731000000152,7000,10,75,110,,
11,Count_DungeonQuestClear,201,1,1,101000001202,12000,11,65,111,,
12,Count_DungeonQuestClear,202,1,1,731000000125,17000,12,100,112,,
13,Count_DungeonQuestClear,203,1,1,101000001206,22000,13,120,113,,
14,Count_DungeonQuestClear,204,1,1,731000000141,27000,14,160,114,,
15,Count_DungeonQuestClear,205,1,1,731000000142,32000,15,180,115,,
16,Count_DungeonQuestClear,206,1,1,731000000166,37000,16,220,116,,
17,Count_DungeonQuestClear,207,1,1,731000000167,42000,17,240,117,,
18,Count_AdenaDungeonClear,Easy,1,1,2005,10000,21,60,121,,
19,Count_AdenaDungeonClear,Normal,1,1,2005,20000,22,120,122,,
20,Count_AdenaDungeonClear,Hard,1,1,2005,24000,23,160,123,,
21,Count_AdenaDungeonClear,Hell,1,1,2005,30000,24,200,124,,
22,Count_EquipmentDungeonClear,Easy,1,1,2004,50000,31,200,131,,
23,Count_EquipmentDungeonClear,Normal,1,1,2004,50000,32,200,132,,
24,Count_EquipmentDungeonClear,Hard,1,1,2004,50000,33,200,133,,
25,Count_EquipmentDungeonClear,Hell,1,1,2004,50000,34,200,134,,
26,Count_ExpDungeonClear,Easy,1,1,731000003038,50000,41,200,141,DungeonExpEasy,1
27,Count_ExpDungeonClear,Normal,1,1,731000003038,50000,41,200,141,DungeonExpNormal,1
28,Count_ExpDungeonClear,Hard,1,1,731000003038,50000,41,200,141,DungeonExpHard,1
29,Count_ExpDungeonClear,Hell,1,1,731000003038,50000,41,200,141,DungeonExpHell,1
32,Count_SummonStoneDungeonClear,Easy,1,1,731000003912,50000,51,200,151,,
33,Count_DungeonQuestClear,208,1,1,801000113081,45000,18,260,118,,
34,Count_SummonStoneDungeonClear,Normal,1,1,731000003912,50000,52,200,152,,
35,Count_SummonStoneDungeonClear,Hard,1,1,731000003912,50000,53,200,153,,
36,Count_SummonStoneDungeonClear,Hell,1,1,731000003912,50000,54,200,154,,
37,Count_DailyDungeonClear,Difficulty5,1,1,571000000004,30000,19,120,119,,
38,Count_AdenaDungeonClear,Difficulty5,1,1,2005,40000,25,240,125,,
39,Count_EquipmentDungeonClear,Difficulty5,1,1,2004,50000,35,200,135,,
40,Count_ExpDungeonClear,Difficulty5,1,1,731000003038,50000,41,200,141,DungeonExpDifficulty5,1
41,Count_DungeonQuestClear,209,1,1,161000000209,50000,60,280,160,,
42,Count_DungeonQuestClear,210,1,1,161000000210,55000,61,300,161,,
43,Count_DungeonQuestClear,211,1,1,161000000211,60000,62,320,162,,
44,Count_DungeonQuestClear,212,1,1,161000000212,65000,63,340,163,,
45,Count_DailyDungeonClear,Difficulty6,1,1,571000000004,35000,20,150,120,,
47,Count_EquipmentDungeonClear,Difficulty6,1,1,2004,50000,36,200,136,,
48,Count_ExpDungeonClear,Difficulty6,1,1,191000000205,50000,41,200,141,DungeonExpDifficulty6,1
49,Count_SummonStoneDungeonClear,Difficulty5,1,1,731000003912,50000,55,200,155,,
50,Count_DungeonQuestClear,213,1,1,731000006174,70000,64,360,164,,
51,Count_DungeonQuestClear,214,1,1,731000006175,75000,65,380,165,,
52,Count_DungeonQuestClear,215,1,1,731000006176,80000,66,400,166,,
