Id,GroupId,NameKey,Type,FlagConditionGroupId,DisplayLevel,Grade,EquipmentType1,EquipmentType2,WeaponType,ArmorType,Material,GachaInfoId,SoulCrystalType,PetEquipmentType,SummonGemGroupId,AcquirePerformanceType,AuctionSubGroupId,AuctionTradingUnit,IconTexture,MaxStackableCount,UseStacks,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,BasicOptionGroupId,ChangeOptionGroupId,AbilityInfoGroupId,SellingPrice,ExchangeAverageCost,ExchangeLowestPercent,ExchangeHighestPercent,ForceBind,ProvidingExp,RequiredAdena,CoolTime,Resource,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5,TypeDescKey,ClassType,LimitDescKey,UsingDescKey,ReplaceString1,ReplaceString2,DescKey,UseType,UseLevel,MaxUseLevel,UnusedCompose,Rarity,VisualEffectId,InventoryType,BagType,LootEffect,GMToolUnused,AutoIncludeGachaUnused,UseClassTransfer,Usable,UseQuickSlot,Loadable,ItemInfoId,ItemBoxClassType,PeriodItem,GrowCode,UsableGrowCodeListString,IconMarkTexture,AbilityInfoPreviewId,ItemUseDesc,ContentsType
1114,1114,561000001114,Equipment,0,,C,Weapon,,Sword,,,,,,,RareItem,0,1,Weapon_Shield_RevolutionShield_06,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"SamuraiLongSword_04,SamuraiShield_04",,,,,,562000110010,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1116,1116,561000001114,Equipment,0,,C,Weapon,,Sword,,,,,,,RareItem,0,1,Weapon_Shield_RevolutionShield_06,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"SamuraiLongSword_06,SamuraiShield_06",,,,,,562000110010,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1124,1124,561000001114,Equipment,0,,C,Weapon,,Sword,,,,,,,RareItem,0,1,Weapon_Shield_RevolutionShield_06,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"RevolutionSword_04,RevolutionShield_04",,,,,,562000110010,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1126,1126,561000001114,Equipment,0,,C,Weapon,,Sword,,,,,,,RareItem,0,1,Weapon_Shield_RevolutionShield_06,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"RevolutionSword_06,RevolutionShield_06",,,,,,562000110010,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1134,1134,561000001114,Equipment,0,,C,Weapon,,Sword,,,,,,,RareItem,0,1,Weapon_Shield_RevolutionShield_06,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"DynastySword_04,DynastyShield_04",,,,,,562000110010,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1136,1136,561000001114,Equipment,0,,C,Weapon,,Sword,,,,,,,RareItem,0,1,Weapon_Shield_RevolutionShield_06,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"DynastySword_06,DynastyShield_06",,,,,,562000110010,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1144,1144,561000001114,Equipment,0,,C,Weapon,,Sword,,,,,,,RareItem,0,1,Weapon_Shield_RevolutionShield_06,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"Dynamis_04,DynamisShield_04",,,,,,562000110010,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1146,1146,561000001114,Equipment,0,,C,Weapon,,Sword,,,,,,,RareItem,0,1,Weapon_Shield_RevolutionShield_06,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"Dynamis_06,DynamisShield_06",,,,,,562000110010,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1214,1214,561000001214,Equipment,0,,C,Weapon,,Spear,,,,,,,RareItem,0,1,Weapon_Spear_Lance_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,Lance_04,,,,,,561000001214,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1216,1216,561000001214,Equipment,0,,C,Weapon,,Spear,,,,,,,RareItem,0,1,Weapon_Spear_Lance_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,Lance_06,,,,,,561000001214,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1224,1224,561000001214,Equipment,0,,C,Weapon,,Spear,,,,,,,RareItem,0,1,Weapon_Spear_Lance_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,Scorpion_04,,,,,,561000001214,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1226,1226,561000001214,Equipment,0,,C,Weapon,,Spear,,,,,,,RareItem,0,1,Weapon_Spear_Lance_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,Scorpion_06,,,,,,561000001214,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1234,1234,561000001214,Equipment,0,,C,Weapon,,Spear,,,,,,,RareItem,0,1,Weapon_Spear_Lance_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,GreatAxe_04,,,,,,561000001214,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1236,1236,561000001214,Equipment,0,,C,Weapon,,Spear,,,,,,,RareItem,0,1,Weapon_Spear_Lance_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,GreatAxe_06,,,,,,561000001214,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1244,1244,561000001214,Equipment,0,,C,Weapon,,Spear,,,,,,,RareItem,0,1,Weapon_Spear_Lance_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,Excidium_04,,,,,,561000001214,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1246,1246,561000001214,Equipment,0,,C,Weapon,,Spear,,,,,,,RareItem,0,1,Weapon_Spear_Lance_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,Excidium_06,,,,,,561000001214,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1314,1314,561000001314,Equipment,0,,C,Weapon,,DualSword,,,,,,,RareItem,0,1,Weapon_Sword_DynastySword_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"DualSamuraiSword_04,DualSamuraiSword_04",,,,,,561000001314,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
1316,1316,561000001314,Equipment,0,,C,Weapon,,DualSword,,,,,,,RareItem,0,1,Weapon_Sword_DynastySword_05,1,0,AttackPowerPhy,1,,,,,,,,0,0,9500,10500,0,,,,"DualSamuraiSword_06,DualSamuraiSword_06",,,,,,561000001314,2,0,0,0,0,0,,,,1,Normal,,Default,Etc,Normal,1,1,0,0,0,0,,2,,1,"1, 300, 310",,,,
