Id,InfoId,Desc
Adena,490002,ASSETS_ADENA
Cash,490003,ASSETS_BONUSCASH
PaidCash,490004,ASSETS_PAIDCASH
GuildCoin,490006,ASSETS_GUILDCOIN
FestivalCoupon,490059,ASSETS_FESTIVALCOUPON
PvpTicket,490061,ASSETS_PVPTICKET
Mileage,490035,ASSETS_GACHAMILEAGE
FriendshipPoint,490034,ASSETS_FRIENDLYPOINT
SkillPoint,490033,ASSETS_SKILLPOINT
Topaz,490036,ASSETS_TOPAZ
Rune,490005,ASSETS_RUNE
BloodCrystal,400002,ASSETS_BLOODTOCKEN
SoulShot,400001,ASSETS_SOULSHOT
GuildAdena,490062,ASSETS_GUILDADENA
GuildRedStarStone,490065,ASSETS_GUILD_REDSTARSTONE
HonorCoin,490073,ASSETS_HORNORCOIN
BraveCoin,490074,ASSETS_BRAVECOIN
AncientCoin,490075,ASSETS_ANCIENTCOIN
GreenDiamond,490079,ASSETS_GREENDIAMOND
SoulPowder,1111111,ASSETS_SOULPOWDER
MasteryCoin,30001000,ASSETS_MASTERYCOIN
