Id,Type,GroupId,SwapPrint,SideType,ItemInfoId,LimitPeriod,LimitCount,ItemBind,ResultNameKey,Param1Key,Param1Count,Param2Key,Param3Key,ItemCount,ResultRate,CostType,CostValue,EventId,EventDropId,MainType,UseConditionType,UseConditionParam,EventItemPeriodId
1,Elixir,1,0,Result,451001,None,,0,0,0,0,0,0,1,1,,,,,,,,
2,Elixir,1,0,Material,450001,None,,0,0,0,0,0,0,1,,,,,,,,,
3,Elixir,1,0,Material,450002,None,,0,0,0,0,0,0,1,,,,,,,,,
4,Elixir,1,0,Material,450003,None,,0,0,0,0,0,0,1,,,,,,,,,
5,Elixir,1,0,Material,450004,None,,0,0,0,0,0,0,1,,,,,,,,,
6,Elixir,1,0,Material,452001,None,,0,0,0,0,0,0,1,,,,,,,,,
7,Elixir,1,0,Cost,,None,,0,0,0,0,0,0,,,Adena,1600,,,,,,
8,Elixir,2,0,Result,451002,None,,0,0,0,0,0,0,1,1,,,,,,,,
9,Elixir,2,0,Material,450001,None,,0,0,0,0,0,0,1,,,,,,,,,
10,Elixir,2,0,Material,450002,None,,0,0,0,0,0,0,1,,,,,,,,,
11,Elixir,2,0,Material,450003,None,,0,0,0,0,0,0,1,,,,,,,,,
12,Elixir,2,0,Material,450004,None,,0,0,0,0,0,0,1,,,,,,,,,
13,Elixir,2,0,Material,452002,None,,0,0,0,0,0,0,1,,,,,,,,,
14,Elixir,2,0,Cost,,None,,0,0,0,0,0,0,,,Adena,1600,,,,,,
15,Elixir,3,0,Result,451003,None,,0,0,0,0,0,0,1,1,,,,,,,,
16,Elixir,3,0,Material,450001,None,,0,0,0,0,0,0,1,,,,,,,,,
17,Elixir,3,0,Material,450002,None,,0,0,0,0,0,0,1,,,,,,,,,
18,Elixir,3,0,Material,450003,None,,0,0,0,0,0,0,1,,,,,,,,,
19,Elixir,3,0,Material,450004,None,,0,0,0,0,0,0,1,,,,,,,,,
20,Elixir,3,0,Material,452003,None,,0,0,0,0,0,0,1,,,,,,,,,
21,Elixir,3,0,Cost,,None,,0,0,0,0,0,0,,,Adena,1600,,,,,,
22,Elixir,4,0,Result,451004,None,,0,0,0,0,0,0,1,1,,,,,,,,
23,Elixir,4,0,Material,450001,None,,0,0,0,0,0,0,1,,,,,,,,,
24,Elixir,4,0,Material,450002,None,,0,0,0,0,0,0,1,,,,,,,,,
25,Elixir,4,0,Material,450003,None,,0,0,0,0,0,0,1,,,,,,,,,
26,Elixir,4,0,Material,450004,None,,0,0,0,0,0,0,1,,,,,,,,,
27,Elixir,4,0,Material,452004,None,,0,0,0,0,0,0,1,,,,,,,,,
28,Elixir,4,0,Cost,,None,,0,0,0,0,0,0,,,Adena,1600,,,,,,
29,Elixir,5,0,Result,451005,None,,0,0,0,0,0,0,1,1,,,,,,,,
30,Elixir,5,0,Material,450001,None,,0,0,0,0,0,0,2,,,,,,,,,
31,Elixir,5,0,Material,450002,None,,0,0,0,0,0,0,2,,,,,,,,,
32,Elixir,5,0,Material,450003,None,,0,0,0,0,0,0,2,,,,,,,,,
33,Elixir,5,0,Material,450004,None,,0,0,0,0,0,0,2,,,,,,,,,
34,Elixir,5,0,Material,452001,None,,0,0,0,0,0,0,2,,,,,,,,,
35,Elixir,5,0,Cost,,None,,0,0,0,0,0,0,,,Adena,4800,,,,,,
36,Elixir,6,0,Result,451006,None,,0,0,0,0,0,0,1,1,,,,,,,,
37,Elixir,6,0,Material,450001,None,,0,0,0,0,0,0,2,,,,,,,,,
38,Elixir,6,0,Material,450002,None,,0,0,0,0,0,0,2,,,,,,,,,
39,Elixir,6,0,Material,450003,None,,0,0,0,0,0,0,2,,,,,,,,,
40,Elixir,6,0,Material,450004,None,,0,0,0,0,0,0,2,,,,,,,,,
41,Elixir,6,0,Material,452002,None,,0,0,0,0,0,0,2,,,,,,,,,
42,Elixir,6,0,Cost,,None,,0,0,0,0,0,0,,,Adena,4800,,,,,,
43,Elixir,7,0,Result,451007,None,,0,0,0,0,0,0,1,1,,,,,,,,
44,Elixir,7,0,Material,450001,None,,0,0,0,0,0,0,2,,,,,,,,,
45,Elixir,7,0,Material,450002,None,,0,0,0,0,0,0,2,,,,,,,,,
46,Elixir,7,0,Material,450003,None,,0,0,0,0,0,0,2,,,,,,,,,
