Id,DisassembleType,ItemInfoId,ItemType,EquipmentType,ItemGrade,CostType,CostValue
470005,ItemInfoId,470005,,,,,
470004,ItemInfoId,470004,,,,,
470003,ItemInfoId,470003,,,,,
470007,ItemInfoId,470007,,,,,
471002,ItemInfoId,471002,,,,,
10470010,ItemInfoId,471005,,,,,
10470001,ItemInfoId,10470001,,,,,
10471001,ItemInfoId,10471001,,,,,
1300006,ItemInfoId,1300006,,,,,
1300007,ItemInfoId,1300007,,,,,
110013,ItemInfoId,110013,,,,,
110023,ItemInfoId,110023,,,,,
110033,ItemInfoId,110033,,,,,
110043,ItemInfoId,110043,,,,,
110053,ItemInfoId,110053,,,,,
110063,ItemInfoId,110063,,,,,
120013,ItemInfoId,120013,,,,,
120023,ItemInfoId,120023,,,,,
120033,ItemInfoId,120033,,,,,
120043,ItemInfoId,120043,,,,,
120053,ItemInfoId,120053,,,,,
120063,ItemInfoId,120063,,,,,
130013,ItemInfoId,130013,,,,,
130023,ItemInfoId,130023,,,,,
130033,ItemInfoId,130033,,,,,
130043,ItemInfoId,130043,,,,,
130053,ItemInfoId,130053,,,,,
130063,ItemInfoId,130063,,,,,
140013,ItemInfoId,140013,,,,,
140023,ItemInfoId,140023,,,,,
140033,ItemInfoId,140033,,,,,
140043,ItemInfoId,140043,,,,,
140053,ItemInfoId,140053,,,,,
140063,ItemInfoId,140063,,,,,
150013,ItemInfoId,150013,,,,,
150023,ItemInfoId,150023,,,,,
150033,ItemInfoId,150033,,,,,
150043,ItemInfoId,150043,,,,,
150053,ItemInfoId,150053,,,,,
150063,ItemInfoId,150063,,,,,
160013,ItemInfoId,160013,,,,,
160023,ItemInfoId,160023,,,,,
160033,ItemInfoId,160033,,,,,
160043,ItemInfoId,160043,,,,,
160053,ItemInfoId,160053,,,,,
160063,ItemInfoId,160063,,,,,
210013,ItemInfoId,210013,,,,,
220013,ItemInfoId,220013,,,,,
230013,ItemInfoId,230013,,,,,
240013,ItemInfoId,240013,,,,,
210023,ItemInfoId,210023,,,,,
220023,ItemInfoId,220023,,,,,
230023,ItemInfoId,230023,,,,,
240023,ItemInfoId,240023,,,,,
210033,ItemInfoId,210033,,,,,
220033,ItemInfoId,220033,,,,,
230033,ItemInfoId,230033,,,,,
240033,ItemInfoId,240033,,,,,
210043,ItemInfoId,210043,,,,,
220043,ItemInfoId,220043,,,,,
230043,ItemInfoId,230043,,,,,
240043,ItemInfoId,240043,,,,,
210053,ItemInfoId,210053,,,,,
220053,ItemInfoId,220053,,,,,
230053,ItemInfoId,230053,,,,,
240053,ItemInfoId,240053,,,,,
210063,ItemInfoId,210063,,,,,
220063,ItemInfoId,220063,,,,,
230063,ItemInfoId,230063,,,,,
240063,ItemInfoId,240063,,,,,
210073,ItemInfoId,210073,,,,,
220073,ItemInfoId,220073,,,,,
230073,ItemInfoId,230073,,,,,
240073,ItemInfoId,240073,,,,,
210083,ItemInfoId,210083,,,,,
