GroupId,Type,ItemInfoId,ClassOnly,MinItemCount,MaxItemCount,DropRate,UnBindRate,SpecialNotifyType,EventItemPeriodId
101,Item,230050,0,1,1,80,0,,
101,Item,240050,0,1,1,50,0,,
101,Item,210040,0,1,1,30,0,,
201,Item,450001,0,2,2,10000,0,,
202,Item,450002,0,2,2,10000,0,,
203,Item,450003,0,2,2,10000,0,,
204,Item,450004,0,2,2,10000,0,,
205,Item,470022,0,5,5,10000,0,,
300,Item,500301,0,1,1,10,0,RareItem,
300,Item,500302,0,1,1,30,0,NormalItem,
300,Item,500303,0,1,1,70,0,,
300,Item,500304,0,1,1,70,0,,
300,Item,440001,0,5,5,50,0,,
300,Item,440011,0,5,5,50,0,,
300,Item,400001,0,50,50,50,0,,
300,Item,449999,0,1,1,50,0,,
300,Item,480001,0,1,1,33,0,,
300,Item,480002,0,1,1,33,0,,
300,Item,480003,0,1,1,33,0,,
300,Item,480004,0,1,1,22,0,,
300,Item,480005,0,1,1,22,0,,
300,Item,480006,0,1,1,22,0,,
300,Item,480007,0,1,1,11,0,NormalItem,
300,Item,480008,0,1,1,11,0,NormalItem,
300,Item,480009,0,1,1,11,0,NormalItem,
300,Item,1000101,0,1,1,30,0,NormalItem,
300,Item,1000201,0,1,1,2,0,RareItem,
300,Item,1001101,0,1,2,100,0,,
300,Item,1001201,0,1,2,30,0,,
300,Item,1000201,0,1,1,2,0,RareItem,
300,Item,500100,0,1,1,100,0,,
310,Item,490066,0,0,0,1000,0,,
310,Item,400000,0,1,1,35,0,UniqueItem,
310,Item,490066,0,1,2,522,0,RareItem,
310,Item,460003,0,1,1,88,,UniqueItem,
310,Item,460013,0,1,1,88,,UniqueItem,
400,Item,500401,0,1,1,10,0,RareItem,
400,Item,500402,0,1,1,30,0,NormalItem,
400,Item,500403,0,1,1,70,0,,
400,Item,500404,0,1,1,70,0,,
400,Item,440001,0,7,7,50,0,,
400,Item,440011,0,7,7,50,0,,
400,Item,400001,0,100,100,50,0,,
400,Item,449999,0,1,1,50,0,,
400,Item,480001,0,1,1,33,0,,
400,Item,480002,0,1,1,33,0,,
400,Item,480003,0,1,1,33,0,,
400,Item,480004,0,1,1,22,0,,
400,Item,480005,0,1,1,22,0,,
400,Item,480006,0,1,1,22,0,,
400,Item,480007,0,1,1,11,0,NormalItem,
400,Item,480008,0,1,1,11,0,NormalItem,
400,Item,480009,0,1,1,11,0,NormalItem,
400,Item,1000101,0,1,1,30,,NormalItem,
400,Item,1000201,0,1,1,2,,RareItem,
400,Item,1001101,0,1,3,100,,,
400,Item,1001201,0,1,3,30,,,
400,Item,500100,0,1,1,100,,,
410,Item,490066,0,0,0,1000,0,,
410,Item,400000,0,1,1,35,0,UniqueItem,
410,Item,490066,0,1,4,522,0,RareItem,
410,Item,460003,0,1,1,88,,UniqueItem,
410,Item,460013,0,1,1,88,,UniqueItem,
500,Item,500501,0,1,1,10,0,RareItem,
500,Item,500502,0,1,1,30,0,NormalItem,
500,Item,500503,0,1,1,70,0,,
500,Item,500504,0,1,1,70,0,,
500,Item,440001,0,10,10,50,0,,
500,Item,440011,0,10,10,50,0,,
500,Item,400001,0,120,120,50,0,,
500,Item,449999,0,1,1,50,0,,
500,Item,480001,0,1,1,33,0,,
500,Item,480002,0,1,1,33,0,,
500,Item,480003,0,1,1,33,0,,
500,Item,480004,0,1,1,22,0,,
500,Item,480005,0,1,1,22,0,,
500,Item,480006,0,1,1,22,0,,
500,Item,480007,0,1,1,11,0,NormalItem,
500,Item,480008,0,1,1,11,0,NormalItem,
500,Item,480009,0,1,1,11,0,NormalItem,
500,Item,480010,0,1,1,11,0,RareItem,
500,Item,480011,0,1,1,11,0,RareItem,
500,Item,480012,0,1,1,11,0,RareItem,
500,Item,1000101,0,1,1,30,0,NormalItem,
500,Item,1000201,0,1,1,2,0,RareItem,
500,Item,1001101,0,2,3,100,0,,
500,Item,1001201,0,2,3,30,0,,
500,Item,500100,0,1,1,100,0,,
510,Item,490066,0,0,0,1000,0,,
510,Item,400000,0,1,1,35,0,UniqueItem,
510,Item,490066,0,1,4,522,0,RareItem,
510,Item,460003,0,1,1,88,0,UniqueItem,
510,Item,460013,0,1,1,88,0,UniqueItem,
600,Item,500601,0,1,1,10,0,RareItem,
600,Item,500602,0,1,1,30,0,NormalItem,
600,Item,500603,0,1,1,70,0,,
600,Item,500604,0,1,1,70,0,,
600,Item,440001,0,12,12,50,0,,
600,Item,440011,0,12,12,50,0,,
600,Item,400001,0,150,150,50,0,,
600,Item,449999,0,1,1,50,0,,
600,Item,480004,0,1,1,22,0,,
600,Item,480005,0,1,1,22,0,,
600,Item,480006,0,1,1,22,0,,
600,Item,480007,0,1,1,11,0,NormalItem,
600,Item,480008,0,1,1,11,0,NormalItem,
600,Item,480009,0,1,1,11,0,NormalItem,
600,Item,480010,0,1,1,11,0,RareItem,
600,Item,480011,0,1,1,11,0,RareItem,
600,Item,480012,0,1,1,11,0,RareItem,
600,Item,1000101,0,1,1,30,0,NormalItem,
600,Item,1000201,0,1,1,2,0,RareItem,
600,Item,1001101,0,3,3,100,0,,
600,Item,1001201,0,3,3,30,0,,
600,Item,500100,0,1,1,100,0,,
610,Item,490066,0,0,0,1000,0,,
610,Item,400000,0,1,1,35,0,UniqueItem,
610,Item,490066,0,1,4,522,0,RareItem,
610,Item,460003,0,1,1,88,0,UniqueItem,
610,Item,460013,0,1,1,88,0,UniqueItem,
700,Item,500701,0,1,1,10,0,RareItem,
700,Item,500702,0,1,1,30,0,NormalItem,
700,Item,500703,0,1,1,70,0,,
700,Item,500704,0,1,1,70,0,,
700,Item,440001,0,15,15,50,0,,
700,Item,440011,0,15,15,50,0,,
700,Item,400001,0,170,170,50,0,,
700,Item,449999,0,1,1,50,0,,
700,Item,480004,0,1,1,33,0,,
700,Item,480005,0,1,1,33,0,,
700,Item,480006,0,1,1,33,0,,
700,Item,480007,0,1,1,22,0,NormalItem,
700,Item,480008,0,1,1,22,0,NormalItem,
700,Item,480009,0,1,1,22,0,NormalItem,
700,Item,480010,0,1,1,11,0,RareItem,
700,Item,480011,0,1,1,11,0,RareItem,
700,Item,480012,0,1,1,11,0,RareItem,
700,Item,1000102,0,1,1,30,0,NormalItem,
700,Item,1000202,0,1,1,2,0,RareItem,
700,Item,1001102,0,1,2,100,0,,
700,Item,1001202,0,1,2,30,0,,
700,Item,500119,0,1,1,50,0,,
700,Item,500120,0,1,1,30,0,RareItem,
700,Item,500100,0,1,1,100,0,,
710,Item,490066,0,0,0,1000,0,,
710,Item,400000,0,1,1,35,0,UniqueItem,
710,Item,490066,0,2,6,522,0,RareItem,
710,Item,460003,0,1,1,88,0,UniqueItem,
710,Item,460013,0,1,1,88,0,UniqueItem,
800,Item,500801,0,1,1,10,0,RareItem,
800,Item,500802,0,1,1,30,0,NormalItem,
800,Item,500803,0,1,1,70,0,,
