ItemType,ItemGrade,EquipmentType,Level,TotalExpForNextLevel,ProvidingExp,RequiredAdena,EffectIncreaseRate
Equipment,C,Weapon,1,52,70,900,0
Equipment,C,Weapon,2,104,88,1100,500
Equipment,C,Weapon,3,156,105,1400,1000
Equipment,C,Weapon,4,208,123,1600,1500
Equipment,C,Weapon,5,260,140,1800,2000
Equipment,C,Weapon,6,312,158,2000,2500
Equipment,C,Weapon,7,364,175,2300,3000
Equipment,C,Weapon,8,416,193,2500,3500
Equipment,C,Weapon,9,468,210,2700,4000
Equipment,C,Weapon,10,520,228,2900,4500
Equipment,C,Weapon,11,572,245,3200,5000
Equipment,C,Weapon,12,624,263,3400,5500
Equipment,C,Weapon,13,676,280,3600,6000
Equipment,C,Weapon,14,728,298,3800,6500
Equipment,C,Weapon,15,780,315,4100,7000
Equipment,C,Weapon,16,832,333,4300,7500
Equipment,C,Weapon,17,884,350,4500,8000
Equipment,C,Weapon,18,936,368,4700,8500
Equipment,C,Weapon,19,988,385,5000,9000
Equipment,C,Weapon,20,1040,403,5200,9500
Equipment,C,Weapon,21,1092,420,5400,10000
Equipment,C,Weapon,22,1144,438,5600,10500
Equipment,C,Weapon,23,1196,455,5900,11000
Equipment,C,Weapon,24,1248,473,6100,11500
Equipment,C,Weapon,25,1300,490,6300,12000
Equipment,C,Weapon,26,1352,508,6500,12500
Equipment,C,Weapon,27,1404,525,6800,13000
Equipment,C,Weapon,28,1456,543,7000,13500
Equipment,C,Weapon,29,1508,560,7200,14000
Equipment,C,Weapon,30,1560,578,7400,14500
Equipment,B,Weapon,1,130,212,2600,0
Equipment,B,Weapon,2,260,265,3200,400
Equipment,B,Weapon,3,390,318,3900,800
Equipment,B,Weapon,4,520,371,4500,1200
Equipment,B,Weapon,5,650,424,5200,1600
Equipment,B,Weapon,6,780,477,5800,2000
Equipment,B,Weapon,7,910,530,6500,2400
Equipment,B,Weapon,8,1040,583,7100,2800
Equipment,B,Weapon,9,1170,636,7800,3200
Equipment,B,Weapon,10,1300,689,8400,3600
Equipment,B,Weapon,11,1430,742,9100,4000
Equipment,B,Weapon,12,1560,795,9700,4400
Equipment,B,Weapon,13,1690,848,10400,4800
Equipment,B,Weapon,14,1820,901,11000,5200
Equipment,B,Weapon,15,1950,954,11700,5600
Equipment,B,Weapon,16,2080,1007,12300,6000
Equipment,B,Weapon,17,2210,1060,12900,6400
Equipment,B,Weapon,18,2340,1113,13600,6800
Equipment,B,Weapon,19,2470,1166,14200,7200
Equipment,B,Weapon,20,2600,1219,14900,7600
Equipment,B,Weapon,21,2730,1272,15500,8000
Equipment,B,Weapon,22,2860,1325,16200,8400
Equipment,B,Weapon,23,2990,1378,16800,8800
Equipment,B,Weapon,24,3120,1431,17500,9200
Equipment,B,Weapon,25,3250,1484,18100,9600
Equipment,B,Weapon,26,3380,1537,18800,10000
Equipment,B,Weapon,27,3510,1590,19400,10400
Equipment,B,Weapon,28,3640,1643,20100,10800
Equipment,B,Weapon,29,3770,1696,20700,11200
Equipment,B,Weapon,30,3900,1749,21400,11600
Equipment,A,Weapon,1,325,655,7600,0
Equipment,A,Weapon,2,650,819,9500,350
Equipment,A,Weapon,3,975,983,11400,700
Equipment,A,Weapon,4,1300,1146,13300,1050
Equipment,A,Weapon,5,1625,1310,15200,1400
Equipment,A,Weapon,6,1950,1474,17100,1750
Equipment,A,Weapon,7,2275,1638,19000,2100
Equipment,A,Weapon,8,2600,1801,20800,2450
Equipment,A,Weapon,9,2925,1965,22700,2800
Equipment,A,Weapon,10,3250,2129,24600,3150
Equipment,A,Weapon,11,3575,2293,26500,3500
Equipment,A,Weapon,12,3900,2456,28400,3850
Equipment,A,Weapon,13,4225,2620,30300,4200
Equipment,A,Weapon,14,4550,2784,32200,4550
Equipment,A,Weapon,15,4875,2948,34100,4900
Equipment,A,Weapon,16,5200,3111,36000,5250
Equipment,A,Weapon,17,5525,3275,37900,5600
Equipment,A,Weapon,18,5850,3439,39800,5950
Equipment,A,Weapon,19,6175,3603,41700,6300
Equipment,A,Weapon,20,6500,3766,43600,6650
Equipment,A,Weapon,21,6825,3930,45500,7000
Equipment,A,Weapon,22,7150,4094,47400,7350
Equipment,A,Weapon,23,7475,4258,49300,7700
Equipment,A,Weapon,24,7800,4421,51200,8050
Equipment,A,Weapon,25,8125,4585,53100,8400
Equipment,A,Weapon,26,8450,4749,55000,8750
Equipment,A,Weapon,27,8775,4913,56900,9100
Equipment,A,Weapon,28,9100,5076,58700,9450
Equipment,A,Weapon,29,9425,5240,60600,9800
Equipment,A,Weapon,30,9750,5404,62500,10150
Equipment,S,Weapon,1,819,1820,19900,0
Equipment,S,Weapon,2,1638,2275,24900,300
Equipment,S,Weapon,3,2457,2730,29800,600
Equipment,S,Weapon,4,3276,3185,34800,900
