Key,AdditionalCutSceneName,KeepHeadMesh,HideNPC,HidePC,HideGadget
BossEmersion_Orbis,CutScene,0,0,0,0
BossEmersion_Boreas,CutScene,0,0,0,0
Scene01_Cut01,Scene01_SubLevel,0,0,0,0
Scene01_Cut03,Scene01_SubLevel,0,0,0,0
Tutor_Scene01_01,Streaming_outdoor02,0,0,0,0
Tutor_Scene01_02,"Scene01_SubLevel,Streaming_outdoor02",0,0,0,0
Tutor_Scene02_01,Scene01_SubLevel,0,0,0,0
Tutor_Scene02_02,"Scene01_SubLevel,Streaming_outdoor02",0,0,0,0
Tutor_Scene03_01,Streaming_indoor,0,0,0,0
Tutor_Scene03_02,Streaming_indoor,0,0,0,0
Tutor_Scene03_04,Streaming_indoor,0,0,0,0
BarrierEntrance,T_Sub_002,0,0,0,0
Victory,"OthersideRift_CutScene,ElvenRuins_CutScene",0,0,0,0
Finish,"OthersideRift_CutScene,ElvenRuins_CutScene",1,0,0,0
CastleSiege_Win_Attacker,,0,1,1,1
CastleSiege_Win_Defender,,0,1,1,1
CastleSiege_Lose,,0,1,1,1
FortressSiege_Win_Attacker,,0,1,1,1
FortressSiege_Win_Defender,,0,1,1,1
FortressSiege_Draw,,0,1,1,1
Alert,,0,1,1,1
Farewell,,0,1,1,1
Leonard,,0,1,1,0
Trisha,,0,1,1,1
Boranta,,0,1,1,1
Ramog,,0,1,1,1
GuardianOfRecord,,0,1,1,1
GoddessOfTest,,0,1,1,1
UncomportableTruth,,0,1,1,1
