Id,MxLevel,ForceTurn,NameKey,DescKey,TaskType,TaskCondition,NpcAutoMoveID,TaskCount,RewardExp,RewardAdena,RewardIcon,MissionIcon
10001,17,,491000000001,492000000001,Count_KillMonsterTarget,20204,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10002,17,,491000000002,492000000002,Count_KillMonsterTarget,20214,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10003,17,,491000000003,492000000003,Count_KillMonsterTarget,20219,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10004,17,,491000000006,492000000006,Count_KillMonsterTarget,20203,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10005,17,,491000000001,492000000001,Count_KillMonsterTarget,20204,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10006,17,,491000000002,492000000002,Count_KillMonsterTarget,20214,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10007,17,,491000000003,492000000003,Count_KillMonsterTarget,20219,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10008,17,,491000000001,492000000001,Count_KillMonsterTarget,20204,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10009,17,,491000000002,492000000002,Count_KillMonsterTarget,20214,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10010,17,,491000000003,492000000003,Count_KillMonsterTarget,20219,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10011,17,,491000000006,492000000006,Count_KillMonsterTarget,20203,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10012,17,,491000000001,492000000001,Count_KillMonsterTarget,20204,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10013,17,,491000000002,492000000002,Count_KillMonsterTarget,20214,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10014,17,,491000000003,492000000003,Count_KillMonsterTarget,20219,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10015,17,,491000000001,492000000001,Count_KillMonsterTarget,20204,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
